"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"GU",7749,418,,,2276,,3993,,435,627,,,7748,133,3,,,33,,79,,4,14,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"GU",7745,419,,,2275,,3991,,434,626,,,7745,131,3,,,33,,77,,4,14,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"GU",7736,417,,,2273,,3986,,431,629,,,7734,131,3,,,33,,76,,4,15,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"GU",7729,412,,,2272,,3976,,430,639,,,7715,130,3,,,33,,76,,4,14,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"GU",7720,412,,,2272,,3976,,430,630,,,7715,130,3,,,33,,76,,4,14,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"GU",7703,411,,,2269,,3959,,427,637,,,7689,130,3,,,32,,75,,4,16,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"GU",7695,411,,,2269,,3959,,427,629,,,7689,130,3,,,32,,75,,4,16,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"GU",7683,405,,,2261,,3933,,423,661,,,7636,130,3,,,32,,74,,4,17,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"GU",7649,405,,,2261,,3933,,423,627,,,7636,130,3,,,32,,74,,4,17,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"GU",7618,389,,,2251,,3914,,416,648,,,7579,129,3,,,32,,74,,4,16,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"GU",7587,389,,,2251,,3914,,416,617,,,,129,3,,,32,,74,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"GU",7568,382,,,2247,,3901,,410,628,,,,129,3,,,32,,73,,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"GU",7547,382,,,2247,,3901,,410,607,,,,128,3,,,32,,73,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"GU",7521,364,,,2241,,3861,,406,649,,,,128,,,,,,,,,128,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"GU",7484,364,,,2241,,3861,,406,612,,,,127,,,,,,,,,127,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"GU",7444,354,,,2234,,3814,,400,642,,,,124,,,,,,,,,124,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"GU",7412,354,,,2234,,3814,,400,610,,,,124,,,,,,,,,124,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"GU",7378,351,,,2227,,3755,,396,649,,,,123,,,,,,,,,123,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"GU",7327,351,396,,2227,,3755,,396,598,,,,123,,,,,,,,,123,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"GU",7308,348,,,2219,,3726,,391,624,,,,121,,,,,,,,,121,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"GU",7270,348,,,2219,,3726,,391,586,,,,121,,,,,,,,,121,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"GU",7257,346,,,2199,,3682,,389,641,,,,121,,,,,,,,,121,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"GU",7202,346,,,2199,,3682,,389,586,,,,119,,,,,,,,,119,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"GU",7168,337,,,2189,,3604,,382,656,,,,119,,,,,,,,,119,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"GU",7106,337,,,2189,,3604,,382,594,,,,118,,,,,,,,,118,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"GU",7039,335,,,2176,,3513,,378,637,,,,113,,,,,,,,,113,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"GU",7004,335,,,2176,,3513,,378,602,,,,113,,,,,,,,,113,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"GU",6920,330,,,2108,,3408,,367,707,,,,112,,,,,,,,,112,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"GU",6818,330,,,2108,,3408,,367,605,,,,112,,,,,,,,,112,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"GU",6705,328,,,2035,,3210,,350,782,,,,109,,,,,,,,,109,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"GU",6549,328,,,2035,,3210,,350,626,,,,106,,,,,,,,,106,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"GU",6346,315,,,1750,,3048,,334,899,,,,100,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"GU",6121,315,,,1750,,3048,,334,674,,,,94,,,,,,,,,94,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"GU",5755,312,,,1677,,2878,,312,576,,,,91,,,,,,,,,91,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"GU",5233,309,,,1261,,2744,,307,612,,,,89,,,,,,,,,89,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,
20201104,"GU",4903,306,,,1213,,2633,,304,447,,,,83,,,,,,,,,83,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,
20201101,"GU",4690,299,,,1132,,2481,,288,490,,,,79,,,,,,,,,79,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,
20201028,"GU",4466,293,,,1107,,2379,,275,412,,,,77,,,,,,,,,77,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,
20201025,"GU",4216,285,,,1036,,2194,,259,442,,,,71,,,,,,,,,71,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,
20201021,"GU",3968,278,,,1003,,2082,,248,357,,,,69,,,,,,,,,69,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
20201018,"GU",3675,274,,,899,,1805,,234,463,,,,66,,,,,,,,,66,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,
20201014,"GU",3341,272,,,858,,1690,,231,290,,,,61,,,,,,,,,61,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011,"GU",3078,257,,,588,,1062,,197,974,,,,60,,,,,,,,,60,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
20201007,"GU",2868,257,,,588,,1062,,197,764,,,,57,,,,,,,,,57,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,
20201004,"GU",2699,257,,,588,,1062,,197,595,,,,52,,,,,,,,,52,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,
20200930,"GU",2488,257,,,588,,1062,,197,384,,,,49,,,,,,,,,49,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
20200927,"GU",2354,257,,,588,,1062,,197,250,,,,43,,,,,,,,,43,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,
20200923,"GU",2235,253,,,567,,1001,,192,222,,,,37,,,,,,,,,37,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
20200920,"GU",2117,251,,,534,,914,,200,218,,,,34,,,,,,,,,34,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
20200916,"GU",2013,249,,,513,,874,,193,184,,,,29,,,,,,,,,29,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20200913,"GU",1891,242,,,489,,801,,171,188,,,,26,,,,,,,,,26,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20200909,"GU",1758,239,,,423,,783,,166,147,,,,21,,,,,,,,,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
20200906,"GU",1671,232,,,359,,677,,156,247,,,,16,,,,,,,,,16,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
20200902,"GU",1494,229,,,337,,628,,148,152,,,,13,,,,,,,,,13,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20200830,"GU",1347,192,,,242,,461,,117,335,,,,10,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
20200826,"GU",1120,164,,,220,,429,,108,199,,,,9,,,,,,,,,9,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
20200823,"GU",820,123,,,179,,306,,61,151,,,,7,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20200819,"GU",599,69,,,165,,256,,38,71,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200816,"GU",516,49,,,156,,219,,28,64,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200812,"GU",449,44,,,151,,200,,22,32,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200809,"GU",412,37,,,120,,112,,119,24,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200805,"GU",397,,,,135,,0,,219,43,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200802,"GU",367,35,,,126,,128,,44,34,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200729,"GU",354,35,,,126,,128,,44,21,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200726,"GU",337,35,,,126,,128,,29,19,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200722,"GU",332,35,,,126,,128,,27,16,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200719,"GU",319,35,,,125,,126,,19,14,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200715,"GU",314,34,,,125,,123,,19,13,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200712,"GU",312,34,,,124,,122,,19,13,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200708,"GU",301,34,,,122,,121,,18,14,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200705,"GU",301,34,,,118,,115,,17,17,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200701,"GU",280,33,,,115,,103,,19,10,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200628,"GU",247,30,,,98,,97,,12,10,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200624,"GU",231,30,,,91,,90,,13,7,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200621,"GU",222,30,,,87,,85,,13,7,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200617,"GU",192,13,,,86,,85,,5,3,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200614,"GU",185,7,,,86,,85,,4,3,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,"GU",183,6,,,86,,83,,4,4,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,"GU",179,6,,,84,,82,,4,3,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,"GU",179,6,,,84,,82,,4,3,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,"GU",175,6,,,82,,81,,3,3,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,"GU",171,,,,75,,72,,24,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,"GU",166,,,,72,,71,,23,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200520,"GU",165,,,,72,,71,,22,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200517,"GU",154,,,,61,,70,,23,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200513,"GU",151,,,,61,,70,,20,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200510,"GU",151,,,,61,,70,,20,,,,,5,,,,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200506,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200503,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200429,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200426,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200422,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200419,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200415,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200412,"GU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
