"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"HI",27891,3646,580,,6068,,8008,,1035,8554,,,27891,445,40,4,,244,,137,,6,14,,,445,2226,151,15,,521,,660,,38,841,,,841,,,,,,,,,,,,,
20210303,"HI",27640,3646,580,,6068,,8008,,1035,8303,,,27640,441,40,4,,244,,137,,6,10,,,441,2226,151,15,,521,,660,,38,841,,,841,,,,,,,,,,,,,
20210228,"HI",27559,3547,566,,5962,,7814,,1019,8651,,,27559,439,37,4,,233,,130,,6,29,,,439,2214,149,14,,514,,649,,35,853,,,853,,,,,,,,,,,,,
20210224,"HI",27320,3547,566,,5962,,7814,,1019,8412,,,27320,435,37,4,,233,,130,,6,25,,,435,2204,149,14,,514,,649,,35,843,,,843,,,,,,,,,,,,,
20210221,"HI",27174,3505,561,,5900,,7690,,1008,8510,,,27174,431,37,5,,233,,130,,6,20,,,431,2182,147,14,,510,,637,,33,841,,,841,,,,,,,,,,,,,
20210217,"HI",26935,3505,561,,5900,,7690,,1008,8271,,,26935,427,37,1,,233,,130,,6,20,,,427,2174,147,14,,510,,637,,33,833,,,833,,,,,,,,,,,,,
20210214,"HI",26856,3422,538,,5802,,7578,,954,8562,,,26856,426,36,5,,229,,129,,6,21,,,426,2149,140,11,,504,,618,,34,842,,,842,,,,,,,,,,,,,
20210210,"HI",26584,3422,538,,5802,,7578,,954,8290,,,26584,423,36,5,,229,,129,,6,18,,,423,2140,140,11,,504,,618,,34,833,,,833,,,,,,,,,,,,,
20210207,"HI",26468,3310,506,,5651,,7412,,923,8666,,,26468,418,36,5,,223,,128,,5,21,,,418,2106,136,11,,494,,598,,33,834,,,834,,,,,,,,,,,,,
20210203,"HI",26081,3310,506,,5651,,7412,,923,8279,,,26081,414,36,5,,223,,128,,5,17,,,414,2096,136,11,,494,,598,,33,824,,,824,,,,,,,,,,,,,
