"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"IA",339671,200406,10190,,3397,888,824,,2379,121587,20380,190216,129075,5558,5154,134,,61,19,16,,47,127,138,5420,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"IA",337688,192482,10131,,3377,888,824,,2379,127607,13508,192482,131698,5501,5103,133,,61,18,16,,45,125,137,5364,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"IA",336333,191710,10090,,3363,888,824,,2379,127079,13453,191710,131170,5471,5076,132,,61,18,16,,47,121,135,5336,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"IA",334246,190520,10027,,3342,888,824,,2379,126266,13370,190520,130356,5415,5022,131,,61,17,16,,47,121,135,5280,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"IA",332644,189607,9979,,3326,888,824,,2379,125641,13306,189607,129731,5336,4948,130,,61,17,16,,47,117,133,5203,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"IA",330513,195003,9915,,3305,888,824,,2379,118199,19831,185087,125595,5306,4923,127,,61,17,16,,47,115,132,5174,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"IA",329257,194262,9878,,3293,888,824,,2379,117733,19755,184384,125118,5236,4859,125,,60,17,16,,45,114,131,5105,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"IA",326575,192679,9797,,3266,888,824,,2379,116742,19595,182882,124098,5174,4804,121,,60,16,16,,47,110,130,5044,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"IA",324445,191423,9733,,3244,888,824,,2379,115954,19467,181689,123289,5108,4744,120,,60,15,16,,47,106,129,4979,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"IA",321837,193102,9655,,3218,888,824,,2379,111771,19310,180229,122298,4975,4618,116,,60,15,15,,47,104,128,4847,0,,,,,,,,,,,,,,,,,,,,,,,,,,
