"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"ID",172931,99914,1008,,1219,2054,409,,13191,55136,17344,73958,81629,1879,1761,9,,17,35,,,41,16,186,1682,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"ID",172288,99480,1005,,1211,2037,409,,13153,54993,17288,73544,81456,1876,1761,9,,17,35,,,41,13,186,1682,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"ID",171140,98727,995,,1202,2028,405,,13091,54692,17223,72960,80957,1860,1741,9,,17,35,,,41,17,184,1664,12,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"ID",170289,98199,992,,1198,2026,404,,13027,54443,17175,72523,80591,1840,1729,9,,17,35,,,39,11,182,1652,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"ID",169150,97446,989,,1185,2024,403,,12973,54130,17096,71901,80153,1826,1716,9,,17,35,,,38,11,181,1639,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"ID",168353,96917,984,,1167,2014,389,,12928,53954,17051,71387,79915,1817,1708,9,,16,35,,,37,12,180,1630,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"ID",167483,96322,978,,1160,2002,387,,12886,53748,16992,70914,79577,1803,1689,9,,16,35,,,36,18,178,1612,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"ID",166553,95660,972,,1153,1989,384,,12825,53570,16907,70332,79314,1791,1680,9,,16,35,,,36,15,177,1605,9,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"ID",165209,94748,963,,1142,1982,381,,12741,53252,16802,69537,78870,1767,1644,9,,15,34,,,36,29,170,1575,22,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"ID",164163,93988,955,,1144,1977,378,,12652,53069,16714,68910,78539,1748,1634,9,,15,34,,,36,20,169,1565,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"ID",162683,93054,946,,1133,1957,374,,12503,52716,16575,68166,77942,1725,1611,9,,15,33,,,37,20,167,1545,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"ID",161212,91944,935,,1120,1946,370,,12393,52504,16438,67302,77472,1714,1601,9,,15,33,,,37,19,167,1535,12,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"ID",159506,90426,931,,1102,1937,364,,12252,52494,16231,66035,77240,1669,1557,9,,15,33,,,36,19,165,1490,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"ID",157588,88596,913,,1070,1899,357,,12087,52666,15973,64534,77081,1635,1532,8,,14,32,,,36,13,162,1466,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"ID",155554,86875,896,,1051,1885,350,,11937,52560,15768,63189,76597,1607,1506,8,,13,31,,,34,15,157,1441,9,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"ID",152364,84590,884,,1034,1848,331,,11740,51937,15498,61685,75181,1564,1469,8,,13,30,,,31,13,152,1405,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"ID",149667,82705,865,,1012,1818,324,,11547,51396,15292,60261,74114,1534,1428,8,,13,29,,,26,30,149,1360,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"ID",146106,80468,842,,986,1790,316,,11314,50390,15024,58658,72424,1488,1390,8,,13,29,,,23,25,145,1322,21,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"ID",142507,77979,11065,,957,1765,307,,11065,49607,14739,56846,70922,1448,1347,8,,12,27,,,23,31,144,1276,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"ID",139864,76069,817,,944,1752,300,,10893,49089,14534,55441,69889,1403,1319,8,,12,27,,,23,14,142,1250,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"ID",136215,73597,792,,906,1689,290,,10687,48254,14286,53579,68350,1354,1273,8,,11,24,,,21,17,139,1202,13,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"ID",133985,72078,785,,880,1673,276,,10528,47765,14127,52383,67475,1324,1250,8,,11,24,,,21,8,137,1180,7,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"ID",129960,69424,757,,832,1630,274,,10254,46789,13836,50428,65696,1280,1202,8,,11,21,,,19,19,134,1130,16,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"ID",125452,66850,730,,802,1587,273,0,9925,45285,13554,48591,63307,1231,1150,8,,11,21,,,19,22,128,1082,21,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"ID",121179,64435,720,,766,1556,263,0,9668,43771,13280,46947,60952,1175,1090,8,,9,20,,,18,30,121,1025,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"ID",116203,61430,694,,723,1455,258,0,9315,42328,12980,44812,58410,1103,1031,8,,9,18,,,18,19,115,970,18,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"ID",110510,58632,677,,698,1390,247,0,8943,39923,12650,42979,54880,1035,967,7,,9,18,,,16,18,111,908,16,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"ID",104734,55855,653,,673,1353,235,0,8566,37399,12293,41108,51332,991,931,7,,9,18,,,16,10,109,874,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"ID",100484,53327,637,,650,1300,231,0,8241,36098,12042,39664,48777,920,850,7,,9,17,,,16,21,104,797,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"ID",96503,51916,620,,639,1297,225,0,7993,33813,11778,38298,46426,895,837,7,,9,17,,,16,0,103,783,9,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"ID",91653,49479,604,,610,1238,215,0,7689,31818,11484,36487,43681,849,787,7,,9,16,,,16,14,98,737,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"ID",86435,46861,578,,578,1163,204,0,7367,29684,11129,34539,40766,812,760,6,,9,14,,,15,8,94,710,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"ID",82245,44692,558,,552,1105,200,0,7100,28038,10830,32804,38610,759,698,5,,8,13,,,14,21,90,649,20,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"ID",77121,41984,541,,526,1067,183,0,6773,26047,10444,30854,35822,733,668,5,,8,13,,,14,25,86,622,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"ID",72961,39917,530,,505,997,179,0,6513,24320,10140,29395,33425,686,633,5,,6,13,,,14,15,85,586,15,,,,,,,,,,,,,,,,,,,,,,,,,,
20201104,"ID",68314,37241,505,,474,966,164,0,6225,22739,9756,27482,31075,664,622,5,,6,13,,,14,4,83,577,4,,,,,,,,,,,,,,,,,,,,,,,,,,
20201101,"ID",65088,35386,491,,452,947,160,0,6023,21629,9444,26113,29530,630,588,5,,5,13,,,14,5,81,544,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20201028,"ID",61785,33279,475,,426,914,155,0,5762,20774,9139,24546,28099,599,563,5,,4,12,,,13,2,80,517,2,,,,,,,,,,,,,,,,,,,,,,,,,,
20201025,"ID",59344,31952,465,,418,892,149,0,5593,19875,8930,23507,26906,573,530,4,,4,9,,,10,16,75,482,16,,,,,,,,,,,,,,,,,,,,,,,,,,
20201021,"ID",55650,29930,448,,400,852,144,0,5302,18574,8621,21929,25099,546,518,4,,4,9,,,10,2,71,474,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20201018,"ID",53092,28456,435,,389,824,137,0,5128,17723,8403,20805,23883,528,496,4,,3,9,,,9,14,64,458,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20201014,"ID",49892,26491,416,,360,764,132,0,4923,16806,8112,19118,22661,516,490,4,,3,8,,,9,4,63,452,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011,"ID",48066,25372,407,,352,734,127,0,4804,16270,7958,18245,21862,507,482,4,,3,8,,,7,3,61,444,2,,,,,,,,,,,,,,,,,,,,,,,,,,
20201007,"ID",45753,23956,386,,337,718,120,0,4652,15584,7716,17102,20934,500,466,4,,3,7,,,7,13,58,430,12,,,,,,,,,,,,,,,,,,,,,,,,,,
20201004,"ID",43964,22947,376,,318,657,115,0,4530,15021,7519,16275,20169,482,453,4,,3,7,,,6,9,57,417,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20200930,"ID",42048,20773,369,,308,633,114,1356,4251,14244,7318,15458,19271,469,444,4,,3,7,,,6,5,57,408,4,,,,,,,,,,,,,,,,,,,,,,,,,,
20200927,"ID",40501,19837,367,,295,597,103,1311,4136,13855,7108,14722,18670,460,435,4,,3,6,,,5,7,56,399,5,,,,,,,,,,,,,,,,,,,,,,,,,,
20200923,"ID",38743,18894,354,,287,580,96,1258,3999,13275,6901,13924,17917,454,431,4,,3,6,,,5,5,55,395,4,,,,,,,,,,,,,,,,,,,,,,,,,,
