"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13216,,1959,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13216,,1959,,383,,,,
20200528,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14882,,2402,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14882,,2402,,503,,,,
20200604,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17100,,2743,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17100,,2743,,523,,,,
20200611,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18840,,3144,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18840,,3144,,554,,,,
20200618,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20550,,3433,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20550,,3433,,580,,,,
20200625,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21390,,3649,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21390,,3649,,593,,,,
20200702,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22005,,3728,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22005,,3728,,602,,,,
20200709,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22833,,3856,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22833,,3856,,614,,,,
20200716,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23234,,3895,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23234,,3895,,630,,,,
20200723,"IL",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23607,,3974,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23607,,3974,,643,,,,
