"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"IL",1198335,470333,110701,219967,27074,1492,1125,,41054,326589,219967,651779,326589,23014,12202,3668,3291,737,26,20,,120,2950,3291,16773,2950,,,,,,,,,,,,,,18640190,6066122,1362411,1263482,720684,15305,18976,,534214,8658996,1263482,8717712,8658996
20210303,"IL",1191520,465088,109838,218440,26699,1467,1117,,40637,328234,218440,644846,328234,22853,12118,3646,3262,735,26,20,,123,2923,3262,16668,2923,,,,,,,,,,,,,,18315522,5949931,1335717,1241793,700911,14954,18510,,524856,8528850,1241793,8544879,8528850
20210228,"IL",1186696,462072,109364,217645,26532,1460,1116,,40417,328090,217645,640961,328090,22735,12054,3630,3243,733,25,20,,120,2910,3243,16582,2910,,,,,,,,,,,,,,18136253,5876959,1319840,1229335,690094,14791,18317,,520169,8466748,1229335,8440170,8466748
20210224,"IL",1179342,458272,108573,216461,26300,1454,1107,,40113,327062,216461,635819,327062,22575,11949,3609,3228,731,25,20,,122,2891,3228,16456,2891,,,,,,,,,,,,,,17804537,5766309,1294141,1208823,672028,14482,17868,,511347,8319539,1208823,8276175,8319539
20210221,"IL",1174409,455515,108086,215726,26123,1451,1101,,39930,326477,215726,632206,326477,22466,11892,3589,3210,727,25,19,,120,2884,3210,16372,2884,,,,,,,,,,,,,,17622800,5692404,1279380,1196555,661109,14290,17618,,506614,8254830,1196555,8171415,8254830
20210217,"IL",1166717,448628,106960,213866,25773,1437,1082,,39647,329324,213866,623527,329324,22224,11741,3569,3183,717,24,18,,121,2851,3183,16190,2851,,,,,,,,,,,,,,17320814,5586965,1255831,1178424,643701,14027,17178,,498330,8126358,1178424,8016032,8126358
20210214,"IL",1162154,446425,106583,213254,25643,1428,1075,,39473,328273,213254,620627,328273,22121,11697,3552,3155,714,24,18,,119,2842,3155,16124,2842,,,,,,,,,,,,,,17171858,5526535,1243152,1168069,633814,13888,17070,,493953,8075377,1168069,7928412,8075377
20210210,"IL",1152995,438120,105375,211176,25214,1404,1055,,39237,331414,211176,610405,331414,21869,11550,3513,3131,705,24,18,,118,2810,3131,15928,2810,,,,,,,,,,,,,,16822385,5408895,1217176,1146262,614951,13536,16550,,485161,7919854,1146262,7756269,7919854
20210207,"IL",1146341,434835,104786,210358,25006,1395,1054,,39031,329876,210358,606107,329876,21738,11488,3498,3109,700,24,18,,117,2784,3109,15845,2784,,,,,,,,,,,,,,16636585,5334127,1202212,1134342,605389,13365,16322,,480297,7850531,1134342,7651712,7850531
20210203,"IL",1134231,425928,103253,207760,24520,1369,1038,,38709,331654,207760,594817,331654,21420,11310,3467,3067,694,24,18,,116,2724,3067,15629,2724,,,,,,,,,,,,,,16258348,5212410,1174461,1112358,586370,12996,15865,,470742,7673146,1112358,7472844,7673146
20210131,"IL",1126301,421319,102467,206408,24224,1359,1030,,38475,331019,206408,588874,331019,21253,11234,3448,3038,693,24,18,,115,2683,3038,15532,2683,,,,,,,,,,,,,,16039292,5136000,1160545,1099567,576021,12811,15629,,465774,7572945,1099567,7366780,7572945
20210127,"IL",1112181,413657,100901,204050,23817,1344,1018,,37982,329412,204050,578719,329412,20949,11073,3403,2993,680,23,18,,114,2645,2993,15311,2645,,,,,,,,,,,,,,15633443,5007329,1132006,1075106,557029,12411,15186,,456094,7378282,1075106,7180055,7378282
20210124,"IL",1101819,408665,99897,202302,23494,1337,1006,,37691,327427,202302,572090,327427,20680,10929,3385,2958,675,23,18,,111,2581,2958,15141,2581,,,,,,,,,,,,,,15409832,4923891,1115092,1059719,545078,12186,14957,,450033,7288876,1059719,7061237,7288876
20210120,"IL",1081354,397751,97768,198666,22884,1301,987,,37070,324927,198666,557761,324927,20285,10722,3326,2903,662,23,16,,113,2520,2903,14862,2520,,,,,,,,,,,,,,14984649,4787978,1085804,1033608,526120,11811,14441,,440081,7084806,1033608,6866235,7084806
20210117,"IL",1068829,391270,96613,196426,22567,1271,981,,36673,323028,196426,549375,323028,20050,10599,3293,2880,656,22,16,,110,2474,2880,14696,2474,,,,,,,,,,,,,,14763993,4711566,1070268,1018882,517492,11572,14269,,434252,6985692,1018882,6759419,6985692
20210113,"IL",1046030,380981,94410,192666,21975,1242,968,,35848,317940,192666,535424,317940,19617,10351,3243,2845,641,22,16,,108,2391,2845,14381,2391,,,,,,,,,,,,,,14339584,4583191,1040450,993777,503913,11205,13804,,423743,6769501,993777,6576306,6769501
20210110,"IL",1028750,372030,92695,189259,21438,1222,947,,35257,315902,189259,523589,315902,19293,10175,3212,2803,627,22,16,,108,2330,2803,14160,2330,,,,,,,,,,,,,,14103289,4506069,1025383,978869,496593,11015,13556,,418088,6653716,978869,6470704,6653716
20210106,"IL",999288,351820,88916,181763,20345,1170,910,,33799,320565,181763,496960,320565,18735,9681,3126,2729,602,21,16,,102,2458,2729,13548,2458,,,,,,,,,,,,,,13698428,4322745,986825,944260,479981,10596,13098,,402385,6538538,944260,6215630,6538538
20210103,"IL",979821,349595,33627,181020,20230,1163,907,,33627,304743,181020,494058,304743,18322,9644,3112,2708,598,21,16,,102,2121,2708,13493,2121,,,,,,,,,,,,,,13482117,4304958,983114,940251,478208,10547,13054,,400581,6351404,940251,6190462,6351404
20201230,"IL",955380,337553,86757,176980,19632,1139,890,,32777,299652,176980,478748,299652,17811,9375,3062,2655,585,20,16,,101,1997,2655,13159,1997,,,,,,,,,,,,,,13178017,4218234,964459,924335,472022,10369,12839,,393320,6182439,924335,6071243,6182439
20201227,"IL",937909,327665,85221,173818,19145,1121,874,,32113,297952,173818,466139,297952,17336,9096,3025,2619,575,20,16,,96,1889,2619,12828,1889,,,,,,,,,,,,,,12985612,4148198,951047,912181,466576,10214,12680,,388223,6096493,912181,5976938,6096493
20201223,"IL",918070,317012,83397,169816,18472,1103,854,,31402,296014,169816,452240,296014,16842,8841,2969,2553,553,19,15,,95,1797,2553,12492,1797,,,,,,,,,,,,,,12688071,4058752,932707,895874,458983,10001,12452,,379881,5939421,895874,5852776,5939421
20201220,"IL",900370,309007,81990,167071,17996,1084,836,,30708,291678,167071,441621,291678,16407,8618,2926,2500,535,19,14,,94,1701,2500,12206,1701,,,,,,,,,,,,,,12434525,3977990,917241,880575,451996,9817,12279,,372980,5811647,880575,5742303,5811647
20201216,"IL",870600,297235,79665,162320,17327,1029,811,,29756,282457,162320,425823,282457,15777,8242,2857,2440,520,18,13,,88,1599,2440,11738,1599,,,,,,,,,,,,,,12055288,3856612,891066,857635,440157,9459,11936,,362742,5625681,857635,5571972,5625681
20201213,"IL",848904,289004,78015,158728,16790,1004,801,,29137,275425,158728,414751,275425,15339,8017,2817,2394,502,18,13,,85,1493,2394,11452,1493,,,,,,,,,,,,,,11776832,3767154,872939,838301,432028,9240,11750,,355931,5489489,838301,5449042,5489489
20201209,"IL",812430,275220,75253,153319,15997,954,777,,27883,263027,153319,396084,263027,14613,7608,2749,2309,484,18,13,,85,1347,2309,10957,1347,,,,,,,,,,,,,,11367345,3638403,844999,811930,419801,8916,11449,,346597,5285250,811930,5270165,5285250
20201206,"IL",787573,265890,73391,149496,15465,926,762,,27031,254612,149496,383465,254612,14116,7327,2695,2252,475,17,13,,82,1255,2252,10609,1255,,,,,,,,,,,,,,11101214,3553071,826395,793225,411283,8705,11246,,340271,5157018,793225,5150971,5157018
20201202,"IL",748603,252503,70513,143795,14746,864,744,,25812,239626,143795,365182,239626,13397,6911,2628,2177,461,17,12,,77,1114,2177,10106,1114,,,,,,,,,,,,,,10699586,3434976,799294,768787,398570,8329,10950,,330013,4948667,768787,4982132,4948667
20201129,"IL",720114,241602,68789,140237,14056,839,729,,24674,229188,140237,350689,229188,12882,6633,2584,2131,450,16,11,,67,990,2131,9761,990,,,,,,,,,,,,,,10431018,3350898,783230,752609,389140,8143,10778,,321625,4814595,752609,4863814,4814595
20201125,"IL",685467,231372,66519,136076,13503,794,708,,23561,212934,136076,336457,212934,12440,6402,2537,2084,438,16,11,,63,889,2084,9467,889,,,,,,,,,,,,,,10104537,3259051,762290,734142,380947,7930,10624,,313131,4636422,734142,4733973,4636422
20201122,"IL",656298,221179,64638,132353,12947,767,689,,22541,201184,132353,322761,201184,12051,6171,2504,2052,432,16,10,,64,802,2052,9197,802,,,,,,,,,,,,,,9801419,3167273,742947,714535,371444,7698,10430,,305018,4482074,714535,4604810,4482074
20201118,"IL",606771,204935,61474,125490,12042,719,671,,20901,180539,125490,300742,180539,11468,5826,2455,1986,419,15,10,,65,692,1986,8790,692,,,,,,,,,,,,,,9359227,3019700,713037,681692,352584,7330,9946,,293098,4281840,681692,4395695,4281840
20201115,"IL",573616,194046,59468,121589,11453,682,661,,19878,165839,121589,286188,165839,11162,5648,2422,1955,409,15,10,,62,641,1955,8566,641,,,,,,,,,,,,,,9070868,2926984,694923,660870,340376,7092,9772,,284974,4145877,660870,4264121,4145877
20201111,"IL",523840,176440,56158,113641,10591,637,640,,18238,147495,113641,262704,147495,10798,5408,2384,1923,406,15,10,,58,594,1923,8281,594,,,,,,,,,,,,,,8664483,2787254,667540,626379,322098,6754,9365,,272856,3972237,626379,4065867,3972237
