"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"IN",667262,452265,44471,,8987,,,,72744,88795,38378,350560,278324,12737,9096,939,,70,,,,1591,1041,275,6823,5639,,,,,,,,,,,,,,3150418,2172766,239719,,59652,,,,381330,296951,121315,1536679,1492424
20210303,"IN",663511,449508,44223,,8920,,,,72481,88379,38141,347686,277684,12633,9009,930,,70,,,,1578,1046,272,6744,5617,,,,,,,,,,,,,,3127593,2159492,238005,,59124,,,,379816,291156,120306,1523011,1484276
20210228,"IN",661673,447593,44033,,8886,,,,72251,88910,38020,346294,277359,12573,8965,927,,69,,,,1569,1043,270,6700,5603,,,,,,,,,,,,,,3117201,2148520,236469,,58863,,,,376281,297068,119816,1516821,1480564
20210224,"IN",658043,445100,43820,,8836,,,,71976,88311,37817,343763,276463,12467,8877,924,,69,,,,1554,1043,266,6616,5585,,,,,,,,,,,,,,3093689,2134972,234864,,58360,,,,374576,290917,118859,1503458,1471372
20210221,"IN",655541,442703,43596,,8786,,,,71682,88774,37646,341921,275974,12372,8804,914,,67,,,,1543,1044,262,6548,5562,,,,,,,,,,,,,,3083893,2085220,229756,,56241,,,,364678,347998,117561,1479897,1486435
20210217,"IN",651453,439842,43362,,8721,,,,71392,88136,37384,339061,275008,12250,8714,907,,66,,,,1528,1035,255,6463,5532,,,,,,,,,,,,,,3062008,2103543,231039,,57434,,,,366783,303209,117446,1484815,1459747
20210214,"IN",648875,437157,43111,,8659,,,,71043,88905,37220,337258,274397,12173,8648,904,,64,,,,1518,1039,251,6410,5512,,,,,,,,,,,,,,3049828,2096441,230217,,57224,,,,365990,299956,116964,1477870,1454994
20210210,"IN",643305,433344,42798,,8568,,,,70628,87967,36948,333439,272918,12001,8531,889,,64,,,,1489,1028,248,6302,5451,,,,,,,,,,,,,,3021613,2080269,228287,,56696,,,,364284,292077,115865,1461915,1443833
20210207,"IN",639711,429670,42419,,8493,,,,70183,88946,36764,330961,271986,11817,8382,877,,62,,,,1465,1031,245,6186,5386,,,,,,,,,,,,,,3006430,2059500,226033,,56174,,,,359865,304858,115206,1452484,1438740
20210203,"IN",631331,424181,41940,,8356,,,,69381,87473,36394,325737,269200,10091,7058,795,,57,,,,1280,901,220,5251,4620,,,,,,,,,,,,,,2973618,2040811,223891,,55515,,,,357861,295540,113835,1433629,1426154
