"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"KS",295861,209752,14330,,5525,2074,,,12197,51983,39177,182461,74223,4812,3721,235,,64,38,,,245,509,310,3795,707,9387,7118,752,,173,67,,,623,654,1350,7167,870,1270547,806291,61246,,24634,8140,,,45244,324992,95804,699286,475457
20210303,"KS",295109,209133,14291,,5492,2069,,,12144,51980,39072,181823,74214,4816,3724,236,,63,37,,,243,513,308,3799,709,9355,7092,749,,173,67,,,621,653,1345,7142,868,1264760,802054,60877,,24390,8098,,,44868,324473,95201,694741,474818
20210228,"KS",293663,207907,14199,,5435,2059,,,12047,52016,38929,180592,74142,4735,3665,230,,61,37,,,239,503,306,3737,692,9249,7006,740,,171,67,,,617,648,1336,7054,859,1254463,794535,60235,,24091,8018,,,44283,323301,94373,687192,472898
20210224,"KS",292837,207207,14150,,5412,2051,,,11983,52034,38820,179866,74151,4724,3656,230,,60,37,,,239,502,304,3729,691,9189,6965,736,,171,67,,,613,637,1328,7012,849,1248768,790688,59884,,23877,7980,,,43923,322416,93837,683093,471838
20210221,"KS",290832,205615,14056,,5344,2037,,,11849,51931,38566,178256,74010,4614,3568,227,,58,36,,,234,491,297,3643,674,9071,6866,732,,169,67,,,602,635,1313,6912,846,1238423,783518,59299,,23627,7888,,,43196,320895,92894,675660,469869
20210217,"KS",288717,203804,13968,,5281,2022,,,11735,51907,38359,176564,73794,4521,3500,222,,57,36,,,228,478,290,3576,655,9002,6818,727,,169,67,,,592,629,1300,6862,840,1229298,775959,58762,,23393,7830,,,42693,320661,92194,667859,469245
20210214,"KS",286102,201605,13826,,5221,1999,,,11583,51868,38059,174410,73633,4364,3371,214,,57,35,,,224,463,283,3450,631,8887,6723,719,,167,67,,,585,626,1288,6768,831,1217589,767389,57957,,23123,7722,,,41993,319405,91130,658625,467834
20210210,"KS",284894,200542,13777,,5197,1986,,,11503,51889,37932,173464,73498,4303,3325,212,,54,34,,,222,456,281,3408,614,8840,6682,716,,167,67,,,581,627,1284,6727,829,1211493,762939,57552,,22970,7674,,,41612,318746,90580,654377,466536
20210207,"KS",281562,197834,13617,,5123,1964,,,11322,51702,37589,170887,73086,4101,3172,204,,51,32,,,213,429,273,3244,584,8680,6555,703,,165,67,,,568,622,1268,6592,820,1197053,752278,56573,,22602,7558,,,40823,317219,89443,644150,463460
20210203,"KS",278915,195609,13488,,5064,1950,,,11213,51591,37306,169027,72582,3895,3005,195,,48,31,,,204,412,261,3079,555,8578,6473,694,,163,65,,,562,621,1256,6504,818,1186849,744513,55982,,22355,7494,,,40388,316117,88648,638411,459790
