"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"KY",410709,286431,26883,,3680,833,374,16253,,76255,17452,300330,92927,4819,3981,371,,23,4,2,118,,320,73,4219,527,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"KY",407373,263025,26476,,3624,823,374,15899,,97152,17329,297396,92648,4704,3838,369,,22,4,2,112,,357,71,4116,517,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"KY",404622,262754,26247,,3603,813,369,15733,,95103,17185,294780,92657,4637,3776,364,,22,4,2,112,,357,71,4051,515,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"KY",400307,261743,26161,,3590,809,369,15655,,91980,16990,291102,92215,4527,3684,355,,22,4,2,110,,350,69,3951,507,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"KY",396997,259646,25922,,3555,803,364,15455,,91252,16838,287899,92260,4447,3620,346,,22,4,1,106,,348,68,3878,501,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"KY",391772,256350,25594,,3513,789,359,15214,,89953,16608,283398,91766,4336,3521,336,,22,4,1,106,,346,67,3774,495,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"KY",388798,253424,25306,,3486,751,355,14954,,90522,16452,279690,92656,4282,3475,331,,22,4,1,106,,343,66,3722,494,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"KY",383032,249944,24919,,3420,742,347,14677,,88983,16231,274077,92724,4175,3387,323,,22,4,1,105,,333,66,3632,477,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"KY",377790,246596,24631,,3375,735,341,14502,,87610,16095,269836,91859,4051,3275,317,,21,4,1,103,,330,66,3512,473,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"KY",369519,241550,24141,,3304,716,333,14239,,85236,15880,262834,90805,3863,3115,308,,20,3,1,97,,319,65,3341,457,,,,,,,,,,,,,,,,,,,,,,,,,,
