"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"LA",433785,218332,136460,,16684,1527,492,,34552,25738,,,433785,9748,5798,3723,,75,15,13,,39,85,238,8966,544,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"LA",431771,218332,136460,,16684,1527,492,,34552,23724,,,431771,9668,5798,3723,,75,15,13,,39,5,238,8966,464,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"LA",430100,215019,134591,,16558,1494,489,,34062,27887,,,430100,9608,5697,3684,,73,14,13,,39,88,238,8966,404,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"LA",426925,215019,134591,,16558,1494,489,,34062,24712,,,426925,9528,5697,3684,,73,14,13,,39,8,238,8966,324,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"LA",424176,212551,133455,,16452,1479,485,,33741,26013,,,424176,9466,5619,3637,,70,12,12,,38,78,217,8149,1100,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"LA",421018,212551,133455,,16452,1479,485,,33741,22855,,,421018,9391,5619,3637,,70,12,12,,38,3,217,8149,1025,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"LA",419891,208107,130870,,16290,1434,476,,33108,29606,,,419891,9292,5504,3567,,68,11,10,,36,96,217,8149,926,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"LA",414687,208107,130870,,16290,1434,476,,33108,24402,,,414687,9212,5504,3567,,68,11,10,,36,16,217,8149,846,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"LA",411812,201219,127645,,16033,1370,457,,32257,32831,,,411812,9119,5342,3478,,64,10,10,,36,179,217,8149,753,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"LA",406235,201219,127645,,16033,1370,457,,32257,27254,,,406235,9006,5342,3478,,64,10,10,,36,66,217,8149,640,,,,,,,,,,,,,,,,,,,,,,,,,,
