"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106,,3755,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106,,3755,,344,,,,
20200528,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,,349,,,,
20200604,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,,349,,,,
20200611,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22561,,4705,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22561,,4705,,365,,,,
20200618,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23013,,4899,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23013,,4899,,369,,,,
20200625,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23321,,5023,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23321,,5023,,369,,,,
20200702,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23497,,5141,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23497,,5141,,369,,,,
20200709,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23630,,5241,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23630,,5241,,369,,,,
20200716,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23760,,5312,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23760,,5312,,368,,,,
20200723,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23900,,5387,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23900,,5387,,369,,,,
20200730,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24144,,5477,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24144,,5477,,376,,,,
20200806,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24450,,5541,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24450,,5541,,376,,,,
20200813,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24552,,5621,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24552,,5621,,377,,,,
20200820,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24551,,5693,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24551,,5693,,379,,,,
20200827,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24584,,5772,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24584,,5772,,379,,,,
20200903,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24635,,5824,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24635,,5824,,380,,,,
20200910,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24680,,5878,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24680,,5878,,381,,,,
20200917,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24755,,5941,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24755,,5941,,382,,,,
20200924,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24811,,6011,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24811,,6011,,383,,,,
20201001,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24921,,6086,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24921,,6086,,384,,,,
20201008,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25155,,6168,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25155,,6168,,387,,,,
20201015,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25246,,6236,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25246,,6236,,389,,,,
20201022,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25428,,6314,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25428,,6314,,390,,,,
20201029,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25626,,6390,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25626,,6390,,391,,,,
20201105,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25838,,6464,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25838,,6464,,391,,,,
20201112,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26143,,6538,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26143,,6538,,392,,,,
20201119,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26691,,6645,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26691,,6645,,398,,,,
20201126,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26991,,6697,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26991,,6697,,400,,,,
20201203,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27868,,6843,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27868,,6843,,402,,,,
20201210,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28546,,6965,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28546,,6965,,403,,,,
20201217,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29264,,7084,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29264,,7084,,408,,,,
20201224,"MA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29907,,7191,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29907,,7191,,412,,,,
