"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MA",591356,219467,35342,125873,16039,504,156,,47605,146370,125873,319113,146370,16417,12022,1069,1289,414,11,5,,1373,234,1289,14894,234,19713,10414,1900,3041,709,10,7,,1957,1675,3041,14997,1675,,,,,,,,,,,,,
20210303,"MA",584743,219467,35342,125873,16039,504,156,,47605,139757,125873,319113,139757,16252,12022,1069,1289,414,11,5,,1373,69,1289,14894,69,19713,10414,1900,3041,709,10,7,,1957,1675,3041,14997,1675,,,,,,,,,,,,,
20210228,"MA",581148,214783,34754,123533,15684,488,151,,46412,145343,123533,312272,145343,16118,11817,1053,1247,410,11,5,,1328,247,1247,14624,247,19444,10270,1890,2988,700,10,7,,1898,1681,2988,14775,1681,,,,,,,,,,,,,
20210224,"MA",573885,214783,34754,123533,15684,488,151,,46412,138080,123533,312272,138080,15945,11817,1053,1247,410,11,5,,1328,74,1247,14624,74,19444,10270,1890,2988,700,10,7,,1898,1681,2988,14775,1681,,,,,,,,,,,,,
20210221,"MA",569284,209474,34064,121028,15240,470,149,,45007,143852,121028,304404,143852,15826,11596,1042,1216,405,11,5,,1280,271,1216,14339,271,19176,10114,1866,2952,691,10,7,,1851,1685,2952,14539,1685,,,,,,,,,,,,,
20210217,"MA",561936,209474,34064,121028,15240,470,149,,45007,136504,121028,304404,136504,15623,11596,1042,1216,405,11,5,,1280,68,1216,14339,68,19176,10114,1866,2952,691,10,7,,1851,1685,2952,14539,1685,,,,,,,,,,,,,
20210214,"MA",557777,203625,33334,118232,14813,456,146,,43456,143715,118232,295830,143715,15484,11290,1025,1181,393,11,5,,1233,346,1181,13957,346,18859,9923,1849,2890,677,9,7,,1806,1698,2890,14271,1698,,,,,,,,,,,,,
20210210,"MA",548946,203625,33334,118232,14813,456,146,,43456,134884,118232,295830,134884,15207,11290,1025,1181,393,11,5,,1233,69,1181,13957,69,18859,9923,1849,2890,677,9,7,,1806,1698,2890,14271,1698,,,,,,,,,,,,,
20210207,"MA",543934,195421,32267,114639,14171,444,138,,41491,145363,114639,283932,145363,14999,10944,996,1128,376,11,5,,1174,365,1128,13506,365,18402,9649,1823,2812,649,10,7,,1743,1709,2812,13881,1709,,,,,,,,,,,,,
20210203,"MA",531117,195421,32267,114639,14171,444,138,,41491,132546,114639,283932,132546,14708,10944,996,1128,376,11,5,,1174,74,1128,13506,74,18402,9649,1823,2812,649,10,7,,1743,1709,2812,13881,1709,,,,,,,,,,,,,
20210131,"MA",524025,186108,30867,110612,13409,431,130,,39223,143245,110612,270168,143245,14577,10674,980,1083,357,11,5,,1121,346,1083,13148,346,18008,9421,1805,2736,629,11,7,,1684,1715,2736,13557,1715,,,,,,,,,,,,,
20210127,"MA",509503,186108,30867,110612,13409,431,130,,39223,128723,110612,270168,128723,14304,10674,980,1083,357,11,5,,1121,73,1083,13148,73,18008,9421,1805,2736,629,11,7,,1684,1715,2736,13557,1715,,,,,,,,,,,,,
20210124,"MA",500037,173346,29226,104573,12410,408,125,,36536,143413,104573,252051,143413,14133,10331,950,1045,346,11,5,,1070,375,1045,12713,375,17556,9131,1768,2685,614,11,7,,1625,1715,2685,13156,1715,,,,,,,,,,,,,
20210120,"MA",481040,173346,29226,104573,12410,408,125,,36536,124416,104573,252051,124416,13829,10331,950,1045,346,11,5,,1070,71,1045,12713,71,17556,9131,1768,2685,614,11,7,,1625,1715,2685,13156,1715,,,,,,,,,,,,,
20210117,"MA",470140,159847,27547,98045,11332,366,118,,33560,139325,98045,232770,139325,13652,9988,928,1001,331,11,5,,1024,364,1001,12287,364,17109,8865,1726,2614,597,11,7,,1579,1710,2614,12785,1710,,,,,,,,,,,,,
20210113,"MA",448447,159847,27547,98045,11332,366,118,,33560,117632,98045,232770,117632,13359,9988,928,1001,331,11,5,,1024,71,1001,12287,71,17109,8865,1726,2614,597,11,7,,1579,1710,2614,12785,1710,,,,,,,,,,,,,
20210110,"MA",432791,142502,25505,89354,10088,330,110,,29987,134915,89354,208522,134915,13151,9616,911,950,319,11,5,,959,380,950,11821,380,16603,8548,1701,2531,580,11,7,,1522,1703,2531,12369,1703,,,,,,,,,,,,,
20210106,"MA",404053,142502,25505,89354,10088,330,110,,29987,106177,89354,208522,106177,12836,9616,911,950,319,11,5,,959,65,950,11821,65,16603,8548,1701,2531,580,11,7,,1522,1703,2531,12369,1703,,,,,,,,,,,,,
20210103,"MA",387662,127565,27605,82601,9105,,,,27605,116928,82601,188133,116928,12610,9255,892,901,309,,,,919,334,901,11375,334,16098,8222,1678,2466,566,,,,1489,1677,2466,11955,1677,,,,,,,,,,,,,
20201230,"MA",367918,114265,22277,76481,8298,,,,25012,121585,76481,169852,121585,12338,8921,869,861,296,,,,874,517,861,10960,517,15905,7928,1643,2406,545,,,,1433,1950,2406,11549,1950,,,,,,,,,,,,,
20201227,"MA",352736,114265,22277,76481,8298,,,,25012,106403,76481,169852,106403,12110,8921,869,861,296,,,,874,289,861,10960,289,15905,7928,1643,2406,545,,,,1433,1950,2406,11549,1950,,,,,,,,,,,,,
20201223,"MA",335988,101189,20734,69879,7429,,,,22454,114303,69879,151806,114303,11887,8649,853,829,289,,,,831,436,829,10622,436,15372,7700,1625,2356,524,,,,1380,1787,2356,11229,1787,,,,,,,,,,,,,
20201220,"MA",323531,101189,20734,69879,7429,,,,22454,101846,69879,151806,101846,11717,8649,853,829,289,,,,831,266,829,10622,266,15372,7700,1625,2356,524,,,,1380,1787,2356,11229,1787,,,,,,,,,,,,,
20201216,"MA",304112,88188,18890,62098,6532,,,,19478,108926,62098,133088,108926,11513,8396,836,793,282,,,,798,408,793,10312,408,14823,7454,1602,2288,510,,,,1315,1654,2288,10881,1654,,,,,,,,,,,,,
20201213,"MA",290578,88188,18890,62098,6532,,,,19478,95392,62098,133088,95392,11349,8396,836,793,282,,,,798,244,793,10312,244,14823,7454,1602,2288,510,,,,1315,1654,2288,10881,1654,,,,,,,,,,,,,
20201209,"MA",269412,75918,17223,54567,5579,,,,16683,99442,54567,115403,99442,11007,8145,828,758,270,,,,760,246,758,10003,246,14397,7222,1596,2228,481,,,,1275,1595,2228,10574,1595,,,,,,,,,,,,,
20201206,"MA",256844,75918,17223,54567,5579,,,,16683,86874,54567,115403,86874,11004,8145,828,758,270,,,,760,243,758,10003,243,14397,7222,1596,2228,481,,,,1275,1595,2228,10574,1595,,,,,,,,,,,,,
20201202,"MA",234232,69255,16290,50871,5085,,,,15097,77634,50871,105727,77634,10824,7997,817,731,266,,,,736,277,731,9816,277,14139,7093,1589,2177,470,,,,1245,1565,2177,10397,1565,,,,,,,,,,,,,
20201129,"MA",224964,69255,16290,50871,5085,,,,15097,68366,50871,105727,68366,10722,7997,817,731,266,,,,736,175,731,9816,175,14139,7093,1589,2177,470,,,,1245,1565,2177,10397,1565,,,,,,,,,,,,,
20201125,"MA",214594,62596,15494,46941,4589,,,,13575,71399,46941,96254,71399,10604,7862,807,712,259,,,,707,257,712,9635,257,13817,6920,1580,2112,452,,,,1208,1545,2112,10160,1545,,,,,,,,,,,,,
20201122,"MA",206850,62596,15494,46941,4589,,,,13575,63655,46941,96254,63655,10512,7862,807,712,259,,,,707,165,712,9635,165,13817,6920,1580,2112,452,,,,1208,1545,2112,10160,1545,,,,,,,,,,,,,
20201118,"MA",195868,56988,14757,42888,4147,,,,12309,64779,42888,88201,64779,10407,7727,798,699,250,,,,685,248,699,9460,248,13588,6820,1565,2059,443,,,,1166,1535,2059,9994,1535,,,,,,,,,,,,,
20201115,"MA",188275,56988,14757,42888,4147,,,,12309,57186,42888,88201,57186,10329,7727,798,699,250,,,,685,170,699,9460,170,13588,6820,1565,2059,443,,,,1166,1535,2059,9994,1535,,,,,,,,,,,,,
