"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939,,1131,,2519,,12,,,,,,222,,,,,5939,,1131,,2519,,12,,,,,,222,,,,
20200528,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6402,,1276,,2921,,14,,,,,,222,,,,,6402,,1276,,2921,,14,,,,,,222,,,,
20200604,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6697,,1368,,2921,,18,,,,,,227,,,,,6697,,1368,,2921,,18,,,,,,227,,,,
20200611,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7967,,1743,,4032,,23,,,,,,227,,,,,7967,,1743,,4032,,23,,,,,,227,,,,
20200618,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8042,,1804,,4123,,26,,,,,,227,,,,,8042,,1804,,4123,,26,,,,,,227,,,,
20200625,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223,,1852,,4239,,28,,,,,,227,,,,,8223,,1852,,4239,,28,,,,,,227,,,,
20200702,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8320,,1892,,4338,,28,,,,,,227,,,,,8320,,1892,,4338,,28,,,,,,227,,,,
20200709,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8464,,1932,,4470,,29,,,,,,227,,,,,8464,,1932,,4470,,29,,,,,,227,,,,
20200716,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8574,,1948,,4593,,30,,,,,,227,,,,,8574,,1948,,4593,,30,,,,,,227,,,,
20200723,"MD",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8727,,1971,,4788,,30,,,,,,227,,,,,8727,,1971,,4788,,30,,,,,,227,,,,
