"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MD",387319,134697,112033,62261,8867,,,,18321,51140,62261,273918,51140,7955,4078,2736,727,277,,,,80,57,727,7171,57,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"MD",383956,132787,110215,61746,8706,,,,17998,52504,61746,269706,52504,7919,4059,2723,724,273,,,,78,62,724,7133,62,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"MD",382099,132094,109532,61466,8623,,,,17938,52446,61466,268187,52446,7869,4033,2711,720,273,,,,76,56,720,7093,56,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"MD",378490,130687,108275,61045,8500,,,,17771,52212,61045,265233,52212,7789,3978,2670,711,270,,,,75,85,711,6993,85,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"MD",376355,129833,107496,60808,8444,,,,17674,52100,60808,263447,52100,7715,3937,2656,706,269,,,,75,72,706,6937,72,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"MD",372980,128441,106360,60448,8340,,,,17497,51894,60448,260638,51894,7630,3894,2631,700,264,,,,74,67,700,6863,67,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"MD",370983,127674,105686,60190,8269,,,,17372,51792,60190,259001,51792,7554,3848,2611,697,260,,,,74,64,697,6793,64,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"MD",366666,125916,104313,59637,8152,,,,17163,51485,59637,255544,51485,7446,3796,2574,694,256,,,,73,53,694,6699,53,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"MD",363650,124776,103326,59224,8046,,,,17038,51240,59224,253186,51240,7349,3746,2545,686,255,,,,74,43,686,6620,43,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"MD",357483,122277,101453,58447,7863,,,,16793,50650,58447,248386,50650,7220,3668,2510,672,253,,,,71,46,672,6502,46,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"MD",354473,121178,100529,58018,7773,,,,16650,50325,58018,246130,50325,7127,3617,2488,664,247,,,,66,45,664,6418,45,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"MD",346559,117997,98200,57054,7564,,,,16213,49531,57054,239974,49531,6996,3533,2445,657,240,,,,67,54,657,6285,54,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"MD",341452,116088,96685,56337,7398,,,,15969,48975,56337,236140,48975,6865,3449,2415,648,234,,,,66,53,648,6164,53,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"MD",332353,112492,94096,55152,7166,,,,15570,47877,55152,229324,47877,6689,3325,2378,633,231,,,,65,57,633,5999,57,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"MD",326445,110133,92478,54329,7013,,,,15297,47195,54329,224921,47195,6567,3242,2337,622,223,,,,65,78,622,5867,78,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"MD",314867,105437,89445,52739,6692,,,,14673,45881,52739,216247,45881,6404,3145,2303,612,216,,,,63,65,612,5727,65,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"MD",306674,102162,87442,51723,6490,,,,14272,44585,51723,210366,44585,6272,3059,2281,608,210,,,,62,52,608,5612,52,,,,,,,,,,,,,,,,,,,,,,,,,,
