"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,
20200611,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,
20200618,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,37,,95,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,212,,37,,95,,,,,,,,13,,,,
20200625,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,
20200702,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,
20200709,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,,,,,14,,,,
20200716,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,70,,224,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,351,,70,,224,,,,,,,,20,,,,
20200723,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,70,,227,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,359,,70,,227,,,,,,,,21,,,,
20200730,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,
20200806,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,
20200813,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,,,,,21,,,,
20200820,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,,,,,21,,,,
20200827,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,78,,258,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,412,,78,,258,,,,,,,,24,,,,
20200903,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,80,,266,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,415,,80,,266,,,,,,,,24,,,,
20200910,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,80,,270,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,419,,80,,270,,,,,,,,24,,,,
20200917,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,
20200924,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,
20201001,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,85,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,85,,270,,,,,,,,23,,,,
20201008,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,,86,,278,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,448,,86,,278,,,,,,,,25,,,,
20201015,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,86,,278,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,454,,86,,278,,,,,,,,25,,,,
20201022,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,89,,286,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,464,,89,,286,,,,,,,,26,,,,
20201029,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,
20201105,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,
20201112,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,
20201119,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,
20201126,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,,111,,481,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,753,,111,,481,,,,,,,,41,,,,
20201203,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,125,,514,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,858,,125,,514,,,,,,,,38,,,,
20201210,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,,150,,661,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,973,,150,,661,,,,,,,,51,,,,
20201217,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119,,165,,735,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,1119,,165,,735,,,,,,,,60,,,,
20201224,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,178,,831,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,1170,,178,,831,,,,,,,,69,,,,
20201231,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,178,,831,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,1170,,178,,831,,,,,,,,69,,,,
20210107,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744,,229,,1156,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,1744,,229,,1156,,,,,,,,86,,,,
20210114,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744,,229,,1156,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,1744,,229,,1156,,,,,,,,86,,,,
20210121,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179,,290,,1459,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,2179,,290,,1459,,,,,,,,107,,,,
20210128,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444,,332,,1602,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,2444,,332,,1602,,,,,,,,99,,,,
20210204,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447,,340,,1639,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,2447,,340,,1639,,,,,,,,103,,,,
20210211,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494,,345,,1672,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,2494,,345,,1672,,,,,,,,107,,,,
20210218,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494,,345,,1672,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,2494,,345,,1672,,,,,,,,107,,,,
20210225,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,,366,,1684,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,2570,,366,,1684,,,,,,,,127,,,,
20210304,"ME",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2571,,372,,1686,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,2571,,372,,1686,,,,,,,,109,,,,
20200521,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,
20200611,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,
20200618,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,37,,95,,,,143,,,,13,,,,,,,,,,,,,,,,,,,,,,212,,37,,95,,,,143,,,,13,,,,
20200625,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,143,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,143,,,,14,,,,
20200702,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,153,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,153,,,,14,,,,
20200709,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,166,,,,14,,,,,,,,,,,,,,,,,,,,,,228,,37,,102,,,,166,,,,14,,,,
20200716,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,70,,224,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,351,,70,,224,,,,,,,,20,,,,
20200723,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,70,,227,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,359,,70,,227,,,,,,,,21,,,,
20200730,"ME",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,
20200806,"ME",20200728,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,364,,70,,232,,,,,,,,21,,,,
20200813,"ME",20200813,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,16,,,,21,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,16,,,,21,,,,
20200820,"ME",20200820,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,16,,,,21,,,,,,,,,,,,,,,,,,,,,,377,,70,,241,,,,16,,,,21,,,,
20200827,"ME",20200826,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,78,,258,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,412,,78,,258,,,,,,,,24,,,,
20200903,"ME",20200826,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,80,,266,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,415,,80,,266,,,,,,,,24,,,,
20200910,"ME",20200910,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,80,,270,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,419,,80,,270,,,,,,,,24,,,,
20200917,"ME",20200917,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,
20200924,"ME",20200917,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,84,,270,,,,,,,,23,,,,
20201001,"ME",20200924,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,85,,270,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,431,,85,,270,,,,,,,,23,,,,
20201008,"ME",20201002,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,,86,,278,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,448,,86,,278,,,,,,,,25,,,,
20201015,"ME",20201013,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,86,,278,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,454,,86,,278,,,,,,,,26,,,,
20201022,"ME",20201021,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,89,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,89,,286,,,,,,,,,,,,
20201029,"ME",20201029,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,
20201105,"ME",20201029,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,473,,89,,289,,,,,,,,27,,,,
20201112,"ME",20201112,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,
20201119,"ME",20201112,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,596,,95,,343,,,,,,,,31,,,,
20201126,"ME",20201125,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,,111,,481,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,753,,111,,481,,,,,,,,41,,,,
20201203,"ME",20201203,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,125,,514,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,858,,125,,514,,,,,,,,38,,,,
