"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"ME",45794,36271,2252,,502,139,26,178,907,5519,695,31103,13996,706,602,10,,3,5,0,1,6,79,6,491,209,1570,1359,63,,22,7,0,3,30,86,22,1354,194,,,,,,,,,,,,,
20210303,"ME",45091,35657,2236,,496,137,22,173,905,5465,685,30557,13849,705,562,10,,3,5,0,0,6,119,6,463,236,1545,1339,63,,22,7,0,3,30,81,22,1335,188,,,,,,,,,,,,,
20210228,"ME",44634,35241,2227,,494,136,22,177,897,5440,677,30175,13782,703,562,10,,3,5,0,0,6,117,6,463,234,1527,1339,63,,22,7,0,3,30,63,22,1335,170,,,,,,,,,,,,,
20210224,"ME",43900,34571,2211,,489,133,22,170,894,5410,666,29540,13694,677,562,10,,3,5,0,0,6,91,6,463,208,1515,1339,63,,22,7,0,3,30,51,22,1335,158,,,,,,,,,,,,,
20210221,"ME",43497,34234,2195,,487,132,22,170,886,5371,658,29238,13601,658,554,10,,3,4,0,0,6,81,6,456,196,1506,1317,62,,21,8,0,3,29,66,22,1312,172,,,,,,,,,,,,,
20210217,"ME",42872,33709,2179,,482,130,19,160,880,5313,652,28757,13463,654,554,10,,3,4,0,0,6,77,6,456,192,1490,1317,62,,21,8,0,3,29,50,22,1312,156,,,,,,,,,,,,,
20210214,"ME",42529,33388,2175,,480,128,18,164,875,5301,647,28497,13385,649,541,10,,3,3,0,0,6,86,6,446,197,1484,1278,61,,21,7,0,3,28,86,21,1275,188,,,,,,,,,,,,,
20210210,"ME",41883,32812,2155,,475,125,17,156,870,5273,642,27981,13260,641,541,10,,3,3,0,0,6,78,6,446,189,1458,1278,61,,21,7,0,3,28,60,21,1275,162,,,,,,,,,,,,,
20210207,"ME",41218,32252,2136,,466,124,17,157,864,5202,636,27532,13050,635,507,7,,3,3,0,0,4,111,4,419,212,1442,1235,59,,20,6,0,3,25,94,21,1231,190,,,,,,,,,,,,,
20210203,"ME",40233,31476,2095,,451,115,17,159,850,5070,627,26904,12702,627,507,7,,3,3,0,0,4,103,4,419,204,1410,1235,59,,20,6,0,3,25,62,21,1231,158,,,,,,,,,,,,,
20210131,"ME",39324,30731,2062,,447,114,17,166,837,4950,621,26384,12319,590,466,7,,1,3,0,2,4,107,4,387,199,1390,1193,58,,19,6,0,3,23,88,21,1194,175,,,,,,,,,,,,,
20210127,"ME",38170,29622,2002,,424,111,16,357,820,4818,608,25685,11877,562,466,7,,1,3,0,2,4,79,4,387,171,1366,1193,58,,19,6,0,3,23,64,21,1194,151,,,,,,,,,,,,,
20210124,"ME",36598,28380,1955,,412,106,16,327,785,4617,597,24781,11220,544,436,7,,0,3,0,0,4,94,3,365,176,1322,1110,57,,18,6,1,5,21,104,18,1118,186,,,,,,,,,,,,,
20210120,"ME",34963,27102,1884,,388,100,16,343,763,4367,581,23815,10567,530,436,7,,0,3,0,0,4,80,3,365,162,1287,1110,57,,18,6,1,5,21,69,18,1118,151,,,,,,,,,,,,,
20210117,"ME",33559,25951,1832,,372,97,15,339,735,4218,567,22983,10009,511,370,8,,0,1,0,0,4,128,3,319,189,1244,1033,56,,18,5,1,2,19,110,17,1048,179,,,,,,,,,,,,,
20210113,"ME",31150,24086,1775,,353,88,14,303,678,3853,533,21675,8942,453,370,8,,0,1,0,0,4,70,3,319,131,1201,1033,56,,18,5,1,2,19,67,17,1048,136,,,,,,,,,,,,,
20210110,"ME",29298,22563,1746,,341,86,14,273,647,3628,523,20562,8213,432,302,8,,0,0,0,0,4,118,3,270,159,1158,975,55,,17,3,0,1,19,88,17,989,152,,,,,,,,,,,,,
20210106,"ME",27090,20858,1700,,314,81,14,236,614,3273,493,19259,7338,372,271,7,,0,0,0,0,4,90,3,239,130,1124,908,53,,17,3,0,1,17,125,17,923,184,,,,,,,,,,,,,
20210103,"ME",25592,19652,584,,292,78,13,234,584,3061,478,18351,6763,359,271,7,,0,0,0,0,4,77,3,239,117,1099,908,53,,17,3,0,1,17,100,17,923,159,,,,,,,,,,,,,
20201230,"ME",23499,18089,1611,,279,72,12,200,533,2703,446,17178,5875,334,271,7,,0,0,0,0,4,52,3,239,92,1039,908,53,,17,3,0,1,17,40,17,923,99,,,,,,,,,,,,,
20201227,"ME",21880,16842,1569,,270,68,11,181,489,2450,417,16253,5210,323,247,6,,0,0,0,0,4,66,2,220,101,1024,861,53,,17,3,0,1,15,74,16,879,129,,,,,,,,,,,,,
20201223,"ME",20491,15781,1527,,267,65,10,178,452,2211,400,15397,4694,311,247,6,,0,0,0,0,4,54,2,220,89,1000,861,53,,17,3,0,1,15,50,16,879,105,,,,,,,,,,,,,
20201220,"ME",18946,14652,1465,,252,59,10,158,418,1932,390,14415,4141,292,221,6,,0,0,0,0,4,61,1,199,92,979,778,50,,16,2,0,2,15,116,15,796,168,,,,,,,,,,,,,
20201216,"ME",17311,13427,1397,,238,52,10,125,379,1683,370,13332,3609,267,196,5,,0,0,0,0,4,62,1,180,86,934,675,47,,15,2,0,2,15,178,13,695,226,,,,,,,,,,,,,
20201213,"ME",15923,12356,1342,,228,49,10,115,356,1467,357,12428,3138,257,196,5,,0,0,0,0,4,52,1,180,76,878,675,47,,15,2,0,2,15,122,13,695,170,,,,,,,,,,,,,
