"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MI",656072,378135,74321,,10362,3596,,25954,35465,128239,33855,421946,200271,16658,11205,3634,,179,79,,270,425,866,480,13206,2972,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"MI",650762,374695,73719,,10287,3563,,25774,35251,127473,33670,418606,198486,16550,11135,3615,,178,79,,269,421,853,476,13130,2944,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"MI",645550,371056,73208,,10176,3522,,25582,35054,126952,33433,415008,197109,16508,11098,3608,,177,79,,268,419,859,473,13089,2946,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"MI",641270,368168,72690,,10086,3491,,25396,34848,126591,33227,411986,196057,16389,11019,3593,,176,78,,262,415,846,468,12995,2926,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"MI",636269,365053,72139,,9991,3458,,25248,34562,125818,32939,409016,194314,16342,10975,3585,,177,78,,260,412,855,459,12943,2940,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"MI",632772,362687,71678,,9915,3417,,25105,34397,125573,32785,406639,193348,16160,10843,3562,,174,76,,256,407,842,454,12808,2898,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"MI",628956,360144,71151,,9838,3399,,24978,34227,125219,32558,404024,192374,16119,10807,3558,,169,75,,256,406,848,446,12769,2904,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"MI",624970,357461,70580,,9718,3373,,24795,34022,125021,32312,401053,191605,15939,10668,3543,,166,75,,251,403,833,443,12627,2869,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"MI",620685,354363,69990,,9604,3341,,24608,33837,124942,32128,397978,190579,15854,10593,3529,,163,76,,248,404,841,442,12539,2873,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"MI",615860,351094,69395,,9508,3308,,24437,33603,124515,31859,394668,189333,15644,10442,3503,,158,76,,242,399,824,435,12376,2833,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"MI",610138,346982,68789,,9382,3273,,24239,33305,124168,31541,390629,187968,15525,10342,3493,,158,73,,241,395,823,426,12295,2804,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"MI",604233,343029,68066,,9228,3232,,24011,32991,123676,31258,386414,186561,15314,10190,3459,,156,73,,239,388,809,423,12138,2753,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"MI",596746,338033,67196,,9051,3188,,23725,32612,122941,30856,381236,184654,15181,10080,3440,,156,73,,232,390,810,423,12031,2727,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"MI",589869,333440,66397,,8890,3140,,23424,32258,122320,30468,376303,183098,14770,9773,3400,,153,67,,227,383,767,414,11721,2635,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"MI",581785,327989,65492,,8706,3095,,23111,31842,121550,30043,370643,181099,14669,9687,3379,,152,67,,228,383,773,409,11616,2644,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"MI",573278,322553,64518,,8487,3034,,22774,31421,120491,29585,364795,178898,14336,9413,3340,,148,66,,218,371,780,397,11374,2565,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"MI",562553,315477,63301,,8248,2961,,22276,30942,119348,28964,357076,176513,14145,9239,3317,,145,65,,218,376,785,389,11198,2558,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"MI",551498,308346,62022,,8018,2909,,21834,30411,117958,28387,348891,174220,13667,8866,3260,,143,64,,211,362,761,370,10817,2480,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"MI",538121,299670,29787,,7791,2817,,21291,29787,115992,27689,339637,170795,13306,8560,3226,,132,63,,218,349,758,356,10534,2416,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"MI",528621,294598,59619,,7681,2760,,21107,29293,113563,27287,333841,167493,13018,8354,3201,,131,62,,212,337,721,351,10327,2340,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"MI",516326,287278,58410,,7487,2671,,20643,28794,111043,26727,325831,163768,12690,8110,3160,,129,59,,204,324,704,334,10074,2282,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"MI",508449,283190,57569,,7381,2619,,20461,28364,108865,26409,321336,160704,12415,7916,3127,,125,58,,198,317,674,328,9860,2227,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"MI",496056,275055,55786,,7199,2530,,20060,27717,107709,25741,312111,158204,12074,7635,3089,,123,56,,196,307,668,317,9576,2181,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"MI",482815,267047,54090,,6985,2459,,19504,27137,105593,25018,302719,155078,11588,7272,3057,,121,48,,184,290,616,304,9230,2054,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"MI",465159,256622,51917,,6729,2374,,18831,26236,102450,24166,290647,150346,11195,6975,3016,,119,45,,175,277,588,295,8934,1966,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"MI",448418,246772,49983,,6530,2272,,18245,25445,99171,23251,279263,145904,10706,6619,2973,,114,42,,173,261,524,272,8587,1847,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"MI",426576,234082,47701,,6205,2171,,17702,24271,94444,22161,265148,139267,10321,6339,2924,,112,39,,165,251,491,265,8279,1777,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"MI",402886,220459,44949,,5920,2040,,17089,22995,89434,21085,249743,132058,9842,5992,2896,,110,37,,155,233,419,252,7946,1644,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"MI",378152,206994,43239,,5655,1878,,16386,21708,82292,20091,235319,122742,9467,5711,2861,,107,33,,142,220,393,243,7733,1491,,,,,,,,,,,,,,,,,,,,,,,,,,
