"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,663,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,2308,,663,,,,,,,,,,238,,,,
20200528,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2771,,787,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,2771,,787,,,,,,,,,,266,,,,
20200604,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,,896,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,3022,,896,,,,,,,,,,292,,,,
20200611,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273,,994,,,,,,,,,,314,,,,,,,,,,,,,,,,,,,,,,3273,,994,,,,,,,,,,314,,,,
20200618,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341,,1064,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,3341,,1064,,,,,,,,,,330,,,,
20200625,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,,1107,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,3450,,1107,,,,,,,,,,355,,,,
20200702,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,,1143,,1978,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,3512,,1143,,1978,,,,,,,,370,,,,
20200709,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3572,,1165,,1978,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,3572,,1165,,1978,,,,,,,,370,,,,
20200716,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3580,,1179,,1978,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,3580,,1179,,1978,,,,,,,,370,,,,
20200723,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3639,,1198,,2115,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,3639,,1198,,2115,,,,,,,,370,,,,
20200730,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,,1219,,2115,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,3718,,1219,,2115,,,,,,,,443,,,,
20200806,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,,1240,,2296,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,3890,,1240,,2296,,,,,,,,443,,,,
20200813,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006,,1263,,2296,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,4006,,1263,,2296,,,,,,,,519,,,,
20200820,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4193,,1298,,2626,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,4193,,1298,,2626,,,,,,,,519,,,,
20200827,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4388,,1331,,2626,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,4388,,1331,,2626,,,,,,,,561,,,,
20200903,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527,,1348,,2984,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,4527,,1348,,2984,,,,,,,,561,,,,
20200910,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4650,,1375,,2984,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,4650,,1375,,2984,,,,,,,,616,,,,
20200917,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758,,1408,,3316,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,4758,,1408,,3316,,,,,,,,616,,,,
20200924,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4920,,1435,,3316,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,4920,,1435,,3316,,,,,,,,616,,,,
20201001,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5113,,1465,,3316,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,5113,,1465,,3316,,,,,,,,616,,,,
20201008,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,,1501,,3316,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,5300,,1501,,3316,,,,,,,,616,,,,
20201015,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664,,1546,,3316,,,,,,,,616,,,,,,,,,,,,,,,,,,,,,,5664,,1546,,3316,,,,,,,,616,,,,
20201022,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5990,,1621,,3316,,,,,,,,805,,,,,,,,,,,,,,,,,,,,,,5990,,1621,,3316,,,,,,,,805,,,,
20201029,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6414,,1689,,4926,,,,,,,,805,,,,,,,,,,,,,,,,,,,,,,6414,,1689,,4926,,,,,,,,805,,,,
20201105,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6999,,1777,,4926,,,,,,,,849,,,,,,,,,,,,,,,,,,,,,,6999,,1777,,4926,,,,,,,,849,,,,
20201112,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7979,,1921,,6084,,,,,,,,849,,,,,,,,,,,,,,,,,,,,,,7979,,1921,,6084,,,,,,,,849,,,,
20201119,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9273,,2117,,6084,,,,,,,,906,,,,,,,,,,,,,,,,,,,,,,9273,,2117,,6084,,,,,,,,906,,,,
20201126,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10440,,2292,,8034,,,,,,,,906,,,,,,,,,,,,,,,,,,,,,,10440,,2292,,8034,,,,,,,,906,,,,
20201203,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11885,,2522,,8034,,,,,,,,973,,,,,,,,,,,,,,,,,,,,,,11885,,2522,,8034,,,,,,,,973,,,,
20201210,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13194,,2767,,10518,,,,,,,,973,,,,,,,,,,,,,,,,,,,,,,13194,,2767,,10518,,,,,,,,973,,,,
20201217,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14546,,3034,,10518,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,,,14546,,3034,,10518,,,,,,,,1012,,,,
20201224,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15325,,3220,,12468,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,,,15325,,3220,,12468,,,,,,,,1012,,,,
20201231,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15838,,3394,,12468,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,15838,,3394,,12468,,,,,,,,1030,,,,
20210107,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16495,,3576,,13376,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,16495,,3576,,13376,,,,,,,,1030,,,,
20210114,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16853,,3716,,13376,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,16853,,3716,,13376,,,,,,,,1030,,,,
20210121,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17137,,3825,,13376,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,17137,,3825,,13376,,,,,,,,1030,,,,
20210128,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17361,,3900,,13376,,,,,,,,1059,,,,,,,,,,,,,,,,,,,,,,17361,,3900,,13376,,,,,,,,1059,,,,
20210204,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17561,,3955,,14662,,,,,,,,1059,,,,,,,,,,,,,,,,,,,,,,17561,,3955,,14662,,,,,,,,1059,,,,
20210211,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17696,,3996,,14807,,,,,,,,1061,,,,,,,,,,,,,,,,,,,,,,17696,,3996,,14807,,,,,,,,1061,,,,
20210218,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17753,,4027,,14886,,,,,,,,1061,,,,,,,,,,,,,,,,,,,,,,17753,,4027,,14886,,,,,,,,1061,,,,
20210225,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17780,,4044,,15289,,,,,,,,1064,,,,,,,,,,,,,,,,,,,,,,17780,,4044,,15289,,,,,,,,1064,,,,
20210304,"MN",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17749,,4070,,15375,,,,,,,,1068,,,,,,,,,,,,,,,,,,,,,,17749,,4070,,15375,,,,,,,,1068,,,,
20200521,"MN",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,663,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,2308,,663,,,,,,,,,,211,,,,
20200528,"MN",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2771,,787,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,2771,,787,,,,,,,,,,238,,,,
20200604,"MN",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,,896,,,,,,,,,,266,,,,,,,,,,,,,,,,,,,,,,3022,,896,,,,,,,,,,266,,,,
