"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MN",490011,327714,39044,43792,21470,4634,556,8424,6470,37907,43792,408312,37907,6550,5440,319,203,259,90,6,101,23,109,203,6238,109,25978,16798,3007,2202,1470,457,31,665,237,1111,2202,22665,1111,,,,,,,,,,,,,
20210303,"MN",486434,324799,38593,43504,21179,4609,545,8313,6743,38149,43504,404781,38149,6507,5410,318,200,255,89,6,95,23,111,200,6196,111,25863,16604,2982,2173,1442,454,30,664,238,1276,2173,22414,1276,,,,,,,,,,,,,
20210228,"MN",484594,323312,38492,43383,21106,4597,545,8222,6718,38219,43383,402992,38219,6483,5392,316,197,255,89,6,92,24,112,197,6174,112,25719,16604,2982,2173,1442,454,30,664,238,1132,2173,22414,1132,,,,,,,,,,,,,
20210224,"MN",480845,320324,38279,43060,20905,4566,542,8213,6660,38296,43060,399489,38296,6443,5358,312,195,253,88,6,92,23,116,195,6132,116,25579,16390,2961,2146,1428,454,30,632,235,1303,2146,22130,1303,,,,,,,,,,,,,
20210221,"MN",479036,318946,38168,42899,20778,4553,540,8140,6648,38364,42899,397773,38364,6432,5348,311,195,253,88,6,92,23,116,195,6121,116,25455,16390,2961,2146,1428,454,30,632,235,1179,2146,22130,1179,,,,,,,,,,,,,
20210217,"MN",475379,316084,37972,42609,20595,4530,537,7968,6577,38507,42609,394263,38507,6390,5312,309,194,251,87,6,91,23,117,194,6079,117,25287,16146,2922,2118,1405,449,29,620,229,1369,2118,21800,1369,,,,,,,,,,,,,
20210214,"MN",473567,314712,37878,42481,20509,4520,538,7876,6559,38494,42481,392592,38494,6376,5302,309,193,249,87,6,91,23,116,193,6067,116,25156,16146,2922,2118,1405,449,29,620,229,1238,2118,21800,1238,,,,,,,,,,,,,
20210210,"MN",469905,311910,37655,42229,20323,4467,530,7693,6494,38604,42229,389072,38604,6319,5255,307,191,244,87,6,90,23,116,191,6012,116,24924,15809,2889,2090,1394,446,29,596,219,1452,2090,21382,1452,,,,,,,,,,,,,
20210207,"MN",468118,310511,37537,42109,20265,4461,526,7606,6465,38638,42109,387371,38638,6299,5235,306,191,244,87,6,90,24,116,191,5992,116,24745,15809,2889,2090,1394,446,29,596,219,1273,2090,21382,1273,,,,,,,,,,,,,
20210203,"MN",463766,307201,37257,41775,20100,4433,517,7391,6404,38688,41775,383303,38688,6234,5184,303,187,239,87,6,88,23,117,187,5930,117,24493,15505,2854,2055,1368,434,29,572,216,1460,2055,20978,1460,,,,,,,,,,,,,
20210131,"MN",461807,305681,37132,41583,20016,4415,515,7309,6377,38779,41583,381445,38779,6200,5159,300,185,234,87,6,88,23,118,185,5897,118,24308,15505,2854,2055,1368,434,29,572,216,1275,2055,20978,1275,,,,,,,,,,,,,
20210127,"MN",457317,302393,36841,41184,19840,4383,512,7097,6272,38795,41184,377338,38795,6124,5096,300,183,230,88,6,84,22,115,183,5826,115,24073,15194,2805,2009,1347,427,28,548,212,1503,2009,20561,1503,,,,,,,,,,,,,
20210124,"MN",454989,300591,36697,40956,19716,4359,511,7005,6251,38903,40956,375130,38903,6095,5076,299,181,224,87,6,83,22,117,181,5797,117,23884,15194,2805,2009,1347,427,28,548,212,1314,2009,20561,1314,,,,,,,,,,,,,
20210120,"MN",449492,296543,36273,40488,19505,4289,501,6824,6126,38943,40488,370061,38943,5979,4987,292,177,216,83,6,82,20,116,177,5686,116,23608,14781,2747,1967,1317,410,26,527,210,1623,1967,20018,1623,,,,,,,,,,,,,
20210117,"MN",446380,294318,36016,40173,19318,4263,499,6702,6088,39003,40173,367204,39003,5927,4947,290,177,213,82,6,80,19,113,177,5637,113,23367,14781,2747,1967,1317,410,26,527,210,1382,1967,20018,1382,,,,,,,,,,,,,
20210113,"MN",440354,290045,35516,39624,18998,4196,487,6525,6027,38936,39624,361794,38936,5774,4817,288,173,207,79,6,79,19,106,173,5495,106,23018,14328,2696,1944,1291,391,24,517,208,1619,1944,19455,1619,,,,,,,,,,,,,
20210110,"MN",436572,287390,35206,39266,18759,4155,479,6407,5986,38924,39266,358382,38924,5707,4754,287,172,206,79,6,79,19,105,172,5430,105,22763,14328,2696,1944,1291,391,24,517,208,1364,1944,19455,1364,,,,,,,,,,,,,
20210106,"MN",427587,280569,34514,38475,18270,4054,465,6081,5976,39183,38475,349929,39183,5528,4568,282,168,199,77,6,71,24,133,168,5227,133,22437,13754,2640,1905,1253,381,25,465,215,1799,1905,18733,1799,,,,,,,,,,,,,
20210103,"MN",420544,275526,5874,37881,17871,3981,457,5948,5874,38902,37881,343761,38902,5430,4486,277,169,197,74,5,68,23,131,169,5130,131,22095,13754,2640,1905,1253,381,25,465,215,1457,1905,18733,1457,,,,,,,,,,,,,
20201230,"MN",413107,270421,33649,37282,17488,3904,445,5788,5758,38372,37282,337453,38372,5262,4338,274,164,190,71,5,68,22,130,164,4968,130,21748,13190,2576,1867,1208,366,24,450,205,1862,1867,18019,1862,,,,,,,,,,,,,
20201227,"MN",409061,267534,33358,36923,17265,3864,437,5704,5699,38277,36923,333861,38277,5147,4246,272,160,183,70,4,67,21,124,160,4863,124,21315,13190,2576,1867,1208,366,24,450,205,1429,1867,18019,1429,,,,,,,,,,,,,
