"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MO",480643,252254,42276,,4317,942,22,108,63952,116772,17167,259531,203945,8161,5162,1069,,67,12,1,0,1295,555,170,6395,1596,,,,,,,,,,,,,,4565866,1781880,355094,,44514,6838,40,192,1602892,774416,81100,2166194,2318572
20210303,"MO",479069,250758,42045,,4285,939,22,108,63839,117073,17094,257746,204229,8148,5150,1067,,67,12,1,0,1298,553,170,6379,1599,,,,,,,,,,,,,,4508176,1749623,348828,,43523,6739,40,192,1588788,770443,79786,2124242,2304148
20210228,"MO",478224,249836,41906,,4273,935,22,107,63817,117328,17029,256675,204520,7919,4995,1033,,67,12,1,0,1271,540,165,6204,1550,,,,,,,,,,,,,,4482293,1734365,345809,,43117,6682,40,191,1583674,768415,79096,2104952,2298245
20210224,"MO",476351,247993,41603,,4223,927,22,107,63721,117755,16917,254602,204832,7894,4970,1030,,67,12,1,0,1272,542,164,6174,1556,,,,,,,,,,,,,,4422930,1699508,339265,,41661,6567,40,192,1570653,765044,77366,2061947,2283617
20210221,"MO",474997,246696,41408,,4198,919,22,107,63648,117999,16844,253134,205019,7715,4845,1011,,66,12,1,0,1253,527,160,6035,1520,,,,,,,,,,,,,,4395885,1681991,336299,,40838,6510,40,191,1565739,764277,76476,2038122,2281287
20210217,"MO",472741,244486,41149,,4149,911,22,106,63562,118356,16736,250766,205239,7470,4688,970,,64,12,1,0,1225,510,154,5863,1453,,,,,,,,,,,,,,4350392,1650890,331021,,39302,6418,40,190,1557297,765234,74770,1995946,2279676
20210214,"MO",471241,243406,41010,,4132,910,22,106,63450,118205,16670,249625,204946,7455,4664,963,,64,12,1,0,1237,514,154,5836,1465,,,,,,,,,,,,,,4331743,1638893,328925,,39060,6401,40,190,1553824,764410,74277,1981040,2276426
20210210,"MO",468189,241154,40704,,4094,900,22,104,63187,118024,16548,247181,204460,7161,4455,927,,60,12,1,0,1210,496,150,5589,1422,,,,,,,,,,,,,,4276558,1607159,323092,,38158,6302,40,189,1541451,760167,72914,1939383,2264261
20210207,"MO",466217,239636,40561,,4103,886,30,93,62939,117969,16317,245230,204670,7143,4443,921,,58,11,1,1,1214,494,150,5571,1422,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"MO",461720,236401,40170,,3694,831,30,92,62794,117708,16160,241941,203619,7098,4408,915,,58,11,1,1,1206,500,148,5538,1412,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"MO",458819,234457,39917,,3671,826,30,92,62399,117427,16058,239962,202799,6748,4177,883,,54,11,1,1,1153,468,141,5297,1310,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"MO",452937,230092,39406,,3986,906,30,91,61599,116827,15852,235527,201558,6709,4139,878,,48,10,1,1,1160,472,140,5246,1323,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"MO",449535,227689,39065,,3866,854,30,90,61946,115995,15868,233488,200179,6548,3934,771,,50,10,1,1,1328,453,125,4966,1457,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"MO",441789,222264,38347,,3799,839,30,88,61144,115278,15506,227963,198320,6461,3864,766,,49,10,1,1,1318,452,124,4890,1447,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"MO",437549,219562,38023,,3675,788,30,88,60688,114695,15357,225118,197074,6254,3735,748,,43,10,1,1,1278,438,122,4748,1384,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"MO",429177,213988,37338,,3691,815,30,86,59870,113359,15107,219609,194461,6171,3640,738,,43,9,1,1,1298,441,119,4651,1401,,,,,,,,,,,,,,,,,,,,,,,,,,
