"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MP",145,,,,,,,,,145,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"MP",144,,,,,,,,,144,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"MP",143,,,,,,,,,143,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"MP",143,,,,,,,,,143,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"MP",143,,,,,,,,,143,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"MP",135,,,,,,,,,135,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"MP",134,,,,,,,,,134,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"MP",133,,,,,,,,,133,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"MP",133,,,,,,,,,133,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"MP",133,,,,,,,,,133,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
