"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"MS",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,,289,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,1590,,289,,,,,,,,,,98,,,,
20200528,"MS",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,,352,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,1795,,352,,,,,,,,,,127,,,,
20200604,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,6,,,,,1993,,406,,,,,,,,,,127,,,,,,,,,,,,,,,,,1,,,,,1993,,406,,,,,,,,,,128,,,,
20200611,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,6,,,,,2137,,447,,,,,,,,,,127,,,,,,,,,,,,,,,,,1,,,,,2137,,447,,,,,,,,,,128,,,,
20200618,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,6,,,,,2266,,477,,,,,,,,,,127,,,,,,,,,,,,,,,,,3,,,,,2266,,477,,,,,,,,,,130,,,,
20200625,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,9,,,,,2487,,503,,,,,,,,,,127,,,,,,,,,,,,,,,,,3,,,,,2487,,503,,,,,,,,,,130,,,,
20200702,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,9,,,,,2686,,529,,,,,,,,,,127,,,,,,,,,,,,,,,,,3,,,,,2686,,529,,,,,,,,,,130,,,,
20200709,"MS",,"Aggregate",,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,9,,,,,2882,,580,,,,,,,,,,127,,,,,,,,,,,,,,,,,3,,,,,2882,,580,,,,,,,,,,130,,,,
20200716,"MS",,"Aggregate",,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,9,,,,,3109,,634,,,,,,,,,,130,,,,,,,,,,,,,,,,,22,,,,,3109,,634,,,,,,,,,,152,,,,
20200723,"MS",,"Aggregate",,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,9,,,,,3272,,671,,,,,,,,,,170,,,,,,,,,,,,,,,,,22,,,,,3272,,671,,,,,,,,,,192,,,,
