"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MS",297581,140893,97848,6525,1415,2215,,,10036,38649,6525,202316,88740,6808,3670,2671,60,18,114,,,103,172,60,5599,1149,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"MS",295675,139939,97262,6466,1399,2204,,,10007,38398,6466,200807,88402,6743,3639,2645,59,18,111,,,102,169,59,5541,1143,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"MS",294795,139461,96967,6443,1394,2193,,,9980,38357,6443,200046,88306,6681,3598,2626,59,18,110,,,102,168,59,5488,1134,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"MS",291891,137941,96095,6364,1375,2177,,,9927,38012,6364,197787,87740,6605,3552,2607,56,17,108,,,101,164,56,5427,1122,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"MS",290632,137241,95681,6344,1366,2166,,,9895,37939,6344,196674,87614,6553,3527,2582,56,17,108,,,100,163,56,5378,1119,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"MS",289398,136628,95455,6325,1362,2159,,,9878,37591,6325,195981,87092,6524,3512,2570,56,17,108,,,98,163,56,5351,1117,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"MS",287436,135143,94645,6267,1351,2139,,,9807,38084,6267,193842,87327,6462,3476,2545,56,17,108,,,98,162,56,5296,1110,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"MS",283753,133880,93790,6223,1334,2119,,,9762,36645,6223,191835,85695,6367,3425,2508,55,17,107,,,95,160,55,5227,1085,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"MS",281678,132313,92882,6171,1310,2105,,,9694,37203,6171,189487,86020,6269,3364,2474,55,17,107,,,90,162,55,5142,1072,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"MS",277322,130566,91776,6106,1278,2080,,,9611,35905,6106,186692,84524,6158,3294,2439,55,17,105,,,89,159,55,5042,1061,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"MS",275001,128970,90737,6034,1259,2045,,,9536,36420,6034,184198,84769,6045,3206,2396,55,17,104,,,87,180,55,4929,1061,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"MS",268672,126167,89066,5886,1224,2020,,,9435,34874,5886,180086,82700,5917,3145,2359,55,17,103,,,85,153,55,4844,1018,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"MS",264219,123196,87313,5769,1192,1988,,,9303,35458,5769,175699,82751,5772,3046,2303,54,17,101,,,81,170,54,4714,1004,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"MS",256827,120185,85293,5641,1154,1936,,,9157,33461,5641,171078,80108,5638,2975,2270,53,17,99,,,79,145,53,4624,961,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"MS",252475,117149,83569,5524,1113,1903,,,9015,34202,5524,166867,80084,5521,2877,2217,53,17,99,,,77,181,53,4496,972,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"MS",243899,113709,81418,5365,1076,1863,,,8879,31589,5365,161737,76797,5315,2770,2167,53,16,96,,,74,139,53,4360,902,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"MS",239082,110176,79353,5222,1019,1805,,,8675,32832,5222,156837,77023,5167,2666,2112,51,16,95,,,72,155,51,4231,885,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"MS",228235,105680,76680,5047,968,1755,,,8514,29591,5047,150630,72558,5013,2592,2063,51,15,94,,,69,129,51,4116,846,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"MS",222061,98689,8235,4827,889,1729,,,8235,34671,4827,141203,76031,4871,2454,1984,51,15,94,,,64,209,51,3930,890,,,,,,,,,,,,,,,,,,,,,,,,,,
