"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"MT",100914,63627,460,,342,8156,114,,6782,21433,2323,62230,36361,1381,856,1,,1,205,1,,121,196,25,905,451,4630,2233,23,,,453,,,,1921,,,,,,,,,,,,,,,,
20210303,"MT",100351,63169,457,,340,8136,112,,6741,21396,2304,61780,36267,1373,852,1,,1,203,1,,121,194,25,902,446,4600,2233,23,,,453,,,,1891,,,,,,,,,,,,,,,,
20210228,"MT",99954,62819,453,,339,8119,109,,6722,21393,2287,61387,36280,1357,838,1,,1,202,1,,120,194,25,896,436,4581,2233,23,,,453,,,,1872,,,,,,,,,,,,,,,,
20210224,"MT",99242,62248,452,,337,8102,108,,6696,21299,2271,60770,36201,1348,830,1,,1,202,1,,120,193,25,890,433,4559,2233,23,,,453,,,,1850,,,,,,,,,,,,,,,,
20210221,"MT",98779,61837,451,,336,8080,106,,6691,21278,2257,60258,36264,1342,825,1,,1,200,1,,120,194,25,880,437,4522,2233,23,,,453,,,,1813,,,,,,,,,,,,,,,,
20210217,"MT",97900,61130,442,,333,8036,105,,6669,21185,2238,59481,36181,1334,817,1,,1,200,1,,119,195,23,872,439,4477,2233,23,,,453,,,,1768,,,,,,,,,,,,,,,,
20210214,"MT",97401,60737,437,,326,8022,105,,6657,21117,2227,59067,36107,1327,811,1,,1,200,1,,119,194,23,867,437,4439,2233,23,,,453,,,,1730,,,,,,,,,,,,,,,,
20210210,"MT",96595,59999,433,,320,7979,103,,6613,21148,2190,58294,36111,1320,808,1,,1,198,0,,119,193,23,863,434,4116,2967,25,,,475,,,,649,,,,,,,,,,,,,,,,
20210207,"MT",95790,59438,427,,316,7947,103,,6561,20998,2174,57719,35897,1314,806,1,,1,197,0,,117,192,23,863,428,4116,2776,23,,,462,,,,855,,,,,,,,,,,,,,,,
20210203,"MT",94810,58638,421,,312,7861,101,,6507,20970,2137,56918,35755,1303,796,1,,1,197,0,,117,191,22,857,424,4116,2776,23,,,462,,,,855,,,,,,,,,,,,,,,,
20210131,"MT",93949,57812,418,,308,7793,100,,6463,21055,2105,56052,35792,1233,743,1,,1,194,0,,112,182,21,812,400,4116,2776,23,,,462,,,,855,,,,,,,,,,,,,,,,
20210127,"MT",92531,56589,406,,300,7717,100,,6372,21047,2054,54874,35603,1201,717,1,,1,191,0,,111,180,21,790,390,4116,2776,23,,,462,,,,855,,,,,,,,,,,,,,,,
20210124,"MT",91652,55790,397,,297,7722,,,6383,21063,2031,54032,35589,1151,617,,,,200,,,76,258,,,,3846,2592,22,,,498,,,,734,,,,,,,,,,,,,,,,
20210120,"MT",90255,54533,388,,289,7622,,,6321,21102,1971,52761,35523,1094,617,,,,200,,,76,201,,,,3846,2592,22,,,498,,,,734,,,,,,,,,,,,,,,,
20210117,"MT",89393,53653,379,,284,7545,,,6228,21304,1948,51936,35509,1092,617,,,,200,,,76,199,,,,3846,2592,22,,,498,,,,734,,,,,,,,,,,,,,,,
20210113,"MT",87653,52770,378,,275,7469,,,6115,20646,1923,51180,34550,1069,617,,,,200,,,76,176,,,,3846,2592,22,,,498,,,,734,,,,,,,,,,,,,,,,
20210110,"MT",86324,51915,374,,265,7379,,,5953,20438,1897,50328,34099,1056,548,,,,181,,,62,265,,,,3462,2389,21,,,482,,,,570,,,,,,,,,,,,,,,,
20210106,"MT",84060,50465,366,,256,7240,,,5798,19935,1856,49069,33135,1015,548,,,,181,,,62,224,,,,3462,2389,21,,,482,,,,570,,,,,,,,,,,,,,,,
20210103,"MT",82381,49540,5671,,253,7150,,,5671,19403,1829,48265,32287,972,548,,,,181,,,62,181,,,,3462,2389,21,,,482,,,,570,,,,,,,,,,,,,,,,
20201230,"MT",81300,48801,363,,253,7110,,,5603,19170,1809,47649,31842,950,548,,,,181,,,62,159,,,,3462,2389,21,,,482,,,,570,,,,,,,,,,,,,,,,
20201227,"MT",79780,47740,353,,249,7023,,,5519,18896,1768,46612,31400,924,499,,,,174,,,32,219,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201223,"MT",78522,46974,348,,246,7029,,,5420,18505,1755,45922,30845,914,499,,,,174,,,32,209,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201220,"MT",77170,45965,343,,241,6967,,,5379,18275,1728,44940,30502,865,499,,,,174,,,32,160,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201216,"MT",74644,44383,336,,235,6853,,,5181,17656,1676,43471,29497,836,499,,,,174,,,32,131,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201213,"MT",73303,43502,332,,231,6706,,,5050,17482,1639,42592,29072,818,392,,,,155,,,31,240,,,,2572,1858,20,,,409,,,,285,,,,,,,,,,,,,,,,
20201209,"MT",70133,41675,315,,220,6552,,,4798,16573,1569,40844,27720,771,392,,,,155,,,31,193,,,,2572,1859,20,,,410,,,,283,,,,,,,,,,,,,,,,
