"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"NC",,"Aggregate",1946,,378,,805,,2,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,46,,97,,0,,,,,,25,,,,,308,,46,,97,,0,,,,,,25,,,,
20200528,"NC",,"Aggregate",2171,,427,,918,,3,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,49,,129,,0,,,,,,30,,,,,348,,49,,129,,0,,,,,,30,,,,
20200604,"NC",,"Aggregate",2347,,490,,1018,,3,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,57,,193,,0,,,,,,35,,,,,493,,57,,193,,0,,,,,,35,,,,
20200611,"NC",,"Aggregate",2536,,535,,1141,,3,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,57,,193,,0,,,,,,32,,,,,493,,57,,193,,0,,,,,,32,,,,
20200618,"NC",,"Aggregate",2677,,582,,1231,,3,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,57,,215,,1,,,,,,38,,,,,493,,57,,215,,1,,,,,,38,,,,
20200625,"NC",,"Aggregate",,,,,,,,,4294,,646,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,,108,,40,,,,,,,,,,,,,1191,,108,,40,,,,
20200702,"NC",,"Aggregate",,,,,,,,,4385,,654,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,,113,,44,,,,,,,,,,,,,1220,,113,,44,,,,
20200709,"NC",,"Aggregate",,,,,,,,,4700,,688,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426,,120,,51,,,,,,,,,,,,,1426,,120,,51,,,,
20200716,"NC",,"Aggregate",,,,,,,,,5144,,721,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,,130,,61,,,,,,,,,,,,,1649,,130,,61,,,,
20200723,"NC",,"Aggregate",,,,,,,,,5571,,744,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899,,148,,72,,,,,,,,,,,,,1899,,148,,72,,,,
20200730,"NC",,"Aggregate",,,,,,,,,6112,,797,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,,162,,72,,,,,,,,,,,,,2168,,162,,72,,,,
20200806,"NC",,"Aggregate",,,,,,,,,6667,,870,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311,,177,,72,,,,,,,,,,,,,2311,,177,,72,,,,
20200813,"NC",,"Aggregate",,,,,,,,,7389,,938,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,197,,106,,,,,,,,,,,,,2520,,197,,106,,,,
20200820,"NC",,"Aggregate",,,,,,,,,8111,,997,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2738,,219,,106,,,,,,,,,,,,,2738,,219,,106,,,,
20200827,"NC",,"Aggregate",,,,,,,,,8649,,1043,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952,,241,,110,,,,,,,,,,,,,2952,,241,,110,,,,
20200903,"NC",,"Aggregate",,,,,,,,,9252,,1113,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3185,,258,,110,,,,,,,,,,,,,3185,,258,,110,,,,
20200910,"NC",,"Aggregate",,,,,,,,,10000,,1214,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405,,282,,110,,,,,,,,,,,,,3405,,282,,110,,,,
20200917,"NC",,"Aggregate",,,,,,,,,10696,,1304,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3592,,302,,110,,,,,,,,,,,,,3592,,302,,110,,,,
20200924,"NC",,"Aggregate",,,,,,,,,11256,,1388,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808,,321,,110,,,,,,,,,,,,,3808,,321,,110,,,,
20201001,"NC",,"Aggregate",,,,,,,,,12050,,1460,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4129,,356,,110,,,,,,,,,,,,,4129,,356,,110,,,,
20201008,"NC",,"Aggregate",,,,,,,,,12674,,1520,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4514,,377,,110,,,,,,,,,,,,,4514,,377,,110,,,,
20201015,"NC",,"Aggregate",,,,,,,,,13225,,1571,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4831,,393,,110,,,,,,,,,,,,,4831,,393,,110,,,,
20201022,"NC",,"Aggregate",,,,,,,,,13966,,1644,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119,,420,,110,,,,,,,,,,,,,5119,,420,,110,,,,
20201029,"NC",,"Aggregate",,,,,,,,,14617,,1709,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5510,,444,,110,,,,,,,,,,,,,5510,,444,,110,,,,
20201105,"NC",,"Aggregate",,,,,,,,,15198,,1785,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823,,478,,119,,,,,,,,,,,,,5823,,478,,119,,,,
20201112,"NC",,"Aggregate",,,,,,,,,15839,,1843,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6059,,490,,119,,,,,,,,,,,,,6059,,490,,119,,,,
20201119,"NC",,"Aggregate",,,,,,,,,16624,,1915,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6354,,511,,124,,,,,,,,,,,,,6354,,511,,124,,,,
20201126,"NC",,"Aggregate",,,,,,,,,17369,,1980,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6687,,542,,130,,,,,,,,,,,,,6687,,542,,130,,,,
20201203,"NC",,"Aggregate",,,,,,,,,18130,,2069,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7048,,576,,141,,,,,,,,,,,,,7048,,576,,141,,,,
20201210,"NC",,"Aggregate",,,,,,,,,19627,,2168,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7681,,612,,165,,,,,,,,,,,,,7681,,612,,165,,,,
20201217,"NC",,"Aggregate",,,,,,,,,20978,,2280,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8386,,641,,190,,,,,,,,,,,,,8386,,641,,190,,,,
20201224,"NC",,"Aggregate",,,,,,,,,22279,,2356,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9109,,669,,219,,,,,,,,,,,,,9109,,669,,219,,,,
20201231,"NC",,"Aggregate",,,,,,,,,23254,,2453,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9629,,698,,230,,,,,,,,,,,,,9629,,698,,230,,,,
20210107,"NC",,"Aggregate",,,,,,,,,25122,,2602,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10493,,743,,273,,,,,,,,,,,,,10493,,743,,273,,,,
20210114,"NC",,"Aggregate",,,,,,,,,26921,,2795,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11506,,788,,321,,,,,,,,,,,,,11506,,788,,321,,,,
