"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NC",872176,442322,146993,,13620,11199,,,98470,159572,118914,441831,311431,11502,7160,2662,,120,126,,,716,718,803,8916,1783,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"NC",865554,438462,145585,,13487,11141,,,97558,159321,118156,437229,310169,11363,7067,2633,,120,123,,,707,713,797,8805,1761,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"NC",858548,434480,144081,,13376,11067,,,96759,158785,117296,432533,308719,11212,6984,2603,,118,119,,,695,693,787,8704,1721,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"NC",849630,429471,142475,,13218,10938,,,95828,157700,116278,426784,306568,11074,6897,2573,,117,118,,,684,685,779,8599,1696,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"NC",842637,425667,141166,,13094,10830,,,95051,156829,115587,422261,304789,10926,6800,2550,,115,114,,,673,674,766,8489,1671,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"NC",829507,418517,138723,,12861,10502,,,93500,155404,114317,413998,301192,10670,6639,2480,,112,108,,,665,666,756,8273,1641,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"NC",821894,414315,137288,,12718,10445,,,92580,154548,113507,408994,299393,10491,6524,2433,,110,108,,,656,660,742,8128,1621,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"NC",805898,405738,134169,,12453,10316,,,90812,152410,111968,398883,295047,10181,6327,2378,,105,105,,,639,627,722,7894,1565,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"NC",796195,400704,132297,,12274,10210,,,89435,151275,110990,392867,292338,9983,6199,2337,,102,102,,,628,615,713,7744,1526,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"NC",776307,390219,128699,,11913,10068,,,87256,148152,109045,381490,285772,9578,5955,2263,,98,101,,,597,564,687,7442,1449,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"NC",757526,380253,125208,,11604,9923,,,85747,144791,107394,370412,279720,9335,5808,2210,,97,97,,,581,542,664,7271,1400,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"NC",733010,368321,120875,,11183,9682,,,82606,140343,104950,357439,270621,8915,5536,2128,,94,93,,,560,504,643,6953,1319,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"NC",718812,361591,118418,,10937,9535,,,80440,137891,103566,349884,265362,8695,5393,2083,,95,92,,,549,483,622,6790,1283,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"NC",690912,348506,113896,,10491,9146,,,77159,131714,100888,336090,253934,8200,5072,1984,,94,85,,,521,444,582,6427,1191,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"NC",674637,340513,111410,,10257,8943,,,74908,128606,99201,327836,247600,8083,4994,1968,,93,84,,,512,432,571,6344,1168,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"NC",641073,324458,106157,,9724,8427,,,71227,121080,95618,311389,234066,7745,4771,1908,,90,82,,,496,398,557,6097,1091,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"NC",623188,315636,103371,,9377,8167,,,69015,117622,93725,302652,226811,7567,4665,1867,,89,81,,,478,387,541,5954,1072,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"NC",582348,296107,97732,,8728,7654,,,63915,108212,89876,284225,208247,7076,4366,1771,,82,81,,,440,336,495,5610,971,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"NC",564924,287002,62297,,8438,7424,,,62297,104592,88062,275038,201824,6910,4257,1730,,82,81,,,434,326,484,5477,949,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"NC",532830,271212,91016,,7989,7017,,,58400,97196,84942,260797,187091,6729,4140,1692,,80,79,,,423,315,472,5350,907,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"NC",516828,262194,88622,,7710,6766,,,56575,94961,83247,251369,182212,6549,4024,1658,,78,79,,,410,300,461,5227,861,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"NC",494511,251213,85565,,7446,6452,,,54484,89351,80985,241727,171799,6360,3909,1616,,74,77,,,395,289,445,5088,827,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"NC",479168,243279,83368,,7254,6255,,,52912,86100,79278,234148,165742,6224,3817,1591,,72,77,,,389,278,438,4986,800,,,,,,,,,,,,,,,,,,,,,,,,,,
