"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"ND",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"ND",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"ND",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,
20200611,"ND",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,
20200618,"ND",,"Aggregate",152,,,,221,,,,,,,,34,,,,,71,,,,73,,,,,,,,23,,,,,,,55,,,,,,,,,,,,,,,27,,,,16,,,,,,,,10,,,,,27,,55,,16,,,,,,,,10,,,,
20200625,"ND",,"Aggregate",152,,,,221,,,,,,,,34,,,,,71,,,,73,,,,,,,,23,,,,,,,56,,,,,,,,,,,,,,,27,,,,16,,,,,,,,10,,,,,27,,56,,16,,,,,,,,10,,,,
20200702,"ND",,"Aggregate",165,,,,246,,,,,,,,41,,,,,76,,,,83,,,,,,,,28,,,,,,,56,,,,,,,,,,,,,,,30,,,,21,,,,,,,,12,,,,,30,,56,,21,,,,,,,,12,,,,
20200709,"ND",,"Aggregate",174,,45,,261,,,,,,,,41,,,,,84,,14,,88,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,30,,2,,22,,,,,,,,12,,,,,30,,2,,22,,,,,,,,12,,,,
20200716,"ND",,"Aggregate",183,,45,,271,,,,,,,,44,,,,,85,,14,,90,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,30,,2,,23,,,,,,,,12,,,,,30,,2,,23,,,,,,,,12,,,,
20200723,"ND",,"Aggregate",195,,45,,291,,,,,,,,46,,,,,88,,14,,93,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,30,,2,,39,,,,,,,,8,,,,,30,,2,,39,,,,,,,,8,,,,
20200730,"ND",,"Aggregate",195,,45,,291,,,,,,,,46,,,,,88,,14,,93,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,30,,2,,39,,,,,,,,,,,,,30,,2,,39,,,,,,,,,,,,
