"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"ND",100391,55720,2881,,1317,4376,,1377,28,34692,,,100391,1478,,,,,,,,,1478,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"ND",100067,55420,2873,,1314,4358,,1360,28,34714,,,100067,1478,,,,,,,,,1478,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"ND",99809,55202,2863,,1314,4344,,1344,28,34714,,,99809,1472,,,,,,,,,1472,,,1472,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"ND",99531,54919,2853,,1312,4331,,1324,27,34765,,,99531,1470,,,,,,,,,1470,,,1470,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"ND",99277,54719,2842,,1310,4317,,1313,26,34750,,,99277,1465,,,,,,,,,1465,,,1465,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"ND",98901,54385,2837,,1308,4305,,1293,26,34747,,,98901,1461,,,,,,,,,1461,,,1461,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"ND",98597,54128,2824,,1311,4287,,1282,26,34739,,,98597,1461,,,,,,,,,1461,,,1461,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"ND",98214,53795,2812,,1307,4260,,1271,25,34744,,,98214,1459,,,,,,,,,1459,,,1459,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"ND",98155,53694,2809,,1310,4245,,1265,25,34807,,,98155,1451,,,,,,,,,1451,,,1451,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"ND",97936,53445,2805,,1313,4223,,1255,25,34870,,,97936,1447,,,,,,,,,1447,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"ND",97630,53207,2796,,1310,4199,,1244,25,34849,,,97630,1442,,,,,,,,,1442,,,1442,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"ND",97160,52843,2787,,1298,4181,,1232,25,34794,,,97160,1441,,,,,,,,,1441,,,1441,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"ND",96817,52610,2782,,1287,4152,,1226,25,34735,,,96817,1428,,,,,,,,,1428,,,1428,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"ND",96222,52206,2763,,1284,4118,,1206,25,34620,,,96222,1409,,,,,,,,,1409,,,1409,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"ND",95864,51947,2755,,1280,4103,,1203,,34576,,,95864,1395,,,,,,,,,1395,,,1395,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"ND",95135,51431,2736,,1271,4071,,1187,23,34416,,,95135,1364,,,,,,,,,1364,,,1364,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"ND",94716,51191,2727,,1268,4036,,1181,22,34291,,,94716,1360,,,,,,,,,1360,,,1360,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"ND",93832,50569,2701,,1258,3993,,1158,21,34132,,,93832,1341,,,,,,,,,1341,,,1341,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"ND",93041,50089,21,,1256,3933,,1143,21,33908,,,93041,1317,,,,,,,,,1317,,,1317,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"ND",92202,49538,2678,,1255,3896,,1128,21,33686,,,92202,1289,,,,,,,,,1289,,,1289,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"ND",91466,49105,2662,,1250,3849,,1109,21,33470,,,91466,1271,,,,,,,,,1271,,,1271,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"ND",90723,48635,2642,,1244,3790,,1084,21,33307,,,90723,1249,,,,,,,,,1249,,,1249,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"ND",90039,48194,2630,,1238,3750,,1071,21,33135,,,90039,1237,,,,,,,,,1237,,,1237,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"ND",88686,47058,2592,,1213,3606,,1037,21,32540,,,88686,1201,,,,,,,,,1201,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"ND",87871,44405,2496,,1165,3392,,977,187,30359,,,87871,1158,,,,,,,,,1158,,,1158,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"ND",86149,44405,2496,,1165,3392,,977,187,30359,,,86149,1086,,,,,,,,,1086,,,1086,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"ND",82981,44405,2496,,1165,3392,,977,187,30359,,,82981,1019,,,,,,,,,1019,,,1019,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"ND",80135,42900,2432,,1131,3252,,951,177,29292,,,80135,972,,,,,,,,,972,,,972,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"ND",78658,42102,2409,,1110,3173,,927,174,28763,,,78658,680,,,,,,,,,680,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"ND",75478,40486,2355,,1078,3061,,897,168,27433,,,75478,680,,,,,,,,,680,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"ND",72683,39017,2296,,1043,2968,,866,166,26327,,,72683,673,,,,,,,,,673,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"ND",67230,36012,2183,,996,2776,,811,158,24294,,,67230,642,,,,,,,,,642,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"ND",63796,34166,2107,,956,2624,,771,152,23020,,,63796,570,,,,,,,,,570,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"ND",57373,30979,1984,,881,2390,,716,133,20290,,,57373,519,,,,,,,,,519,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"ND",54305,29323,1916,,838,2276,,688,125,19139,,,54305,480,,,,,,,,,480,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,
20201104,"ND",48301,26327,1778,,736,2066,,619,108,16667,,,48301,454,,,,,,,,,454,,,454,,,,,,,,,,,,,,,,,,,,,,,,,,
20201101,"ND",45043,24629,1718,,644,1954,,590,103,15405,,,45043,400,,,,,,,,,400,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,
20201028,"ND",39907,22235,1626,,568,1797,,547,85,13049,,,39907,378,,,,,,,,,378,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,
20201025,"ND",37719,21079,1594,,541,1732,,525,80,12168,,,37719,345,,,,,,,,,345,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,
20201021,"ND",34165,19501,1542,,470,1614,,498,72,10468,,,34165,328,,,,,,,,,328,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,
20201018,"ND",31978,18388,1505,,423,1553,,462,69,9578,,,31978,301,,,,,,,,,301,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,
20201014,"ND",28947,16804,1450,,393,1448,,425,59,8368,,,28947,277,,,,,,,,,277,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011,"ND",27265,15731,1411,,361,1393,,409,54,7906,,,27265,234,,,,,,,,,234,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,
20201007,"ND",24857,14278,1384,,332,1293,,386,49,7135,,,24857,226,,,,,,,,,226,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,
20201004,"ND",23550,13422,1361,,320,1244,,372,46,6785,,,23550,191,,,,,,,,,191,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,
20200930,"ND",21846,12404,1322,,301,1159,,342,42,6276,,,21846,191,,,,,,,,,191,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,
20200927,"ND",20724,11622,1293,,289,1103,,330,41,6046,,,20724,156,,,,,,,,,156,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,
20200923,"ND",18981,10573,1242,,276,1014,,303,37,5536,,,18981,156,,,,,,,,,156,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,
20200920,"ND",17958,9864,1220,,290,973,,271,35,5305,,,17958,142,,,,,,,,,142,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,
20200916,"ND",16333,8956,1149,,256,878,,269,33,4792,,,16333,141,,,,,,,,,141,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,
20200913,"ND",15577,8430,1124,,250,852,,257,33,4631,,,15577,133,,,,,,,,,133,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,
20200909,"ND",14110,7481,1064,,239,805,,240,31,4250,,,14110,129,,,,,,,,,129,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,
20200906,"ND",13631,7151,1046,,231,794,,234,30,4145,,,13631,125,,,,,,,,,125,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,
20200902,"ND",12267,6311,995,,225,751,,209,29,3747,,,12267,122,,,,,,,,,122,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20200830,"ND",11702,5939,962,,224,722,,204,29,3622,,,11702,118,,,,,,,,,118,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
20200826,"ND",10467,5166,930,,215,661,,194,25,3276,,,10467,117,,,,,,,,,117,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,
20200823,"ND",9876,4777,903,,209,636,,182,25,3144,,,9876,112,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200819,"ND",8968,4212,871,,201,593,,169,23,2899,,,8968,110,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200816,"ND",8587,,,,,,,,,8587,,,,105,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200812,"ND",7970,,,,,,,,,7970,,,,104,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200809,"ND",7596,,,,,,,,,7596,,,,98,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200805,"ND",7057,,,,,,,,,7057,,,,96,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200802,"ND",6660,,,,,,,,,6660,,,,96,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200729,"ND",6227,,,,,,,,,6227,,,,92,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200726,"ND",5876,,,,,,,,,5876,,,,91,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200722,"ND",5367,,,,,,,,,5367,,,,88,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200719,"ND",5019,,,,,,,,,5019,,,,82,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200715,"ND",4565,,,,,,,,,4565,,,,81,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200712,"ND",4334,,,,,,,,,4334,,,,87,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
