"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NE",201608,104512,5117,,2809,1257,224,,3861,83828,23560,82131,95917,2091,1360,58,,30,26,1,,26,590,161,1095,835,6147,4318,304,,133,93,12,,174,1113,1064,3538,1545,,,,,,,,,,,,,
20210303,"NE",201608,104512,5117,,2809,1257,224,,3861,83828,23560,82131,95917,2091,1360,58,,30,26,1,,26,590,161,1095,835,6147,4318,304,,133,93,12,,174,1113,1064,3538,1545,,,,,,,,,,,,,
20210228,"NE",200848,104320,5115,,2809,1256,224,,3860,83264,23510,81884,95454,2082,1358,58,,30,26,1,,26,583,161,1094,827,6102,4307,304,,133,92,12,,174,1080,1062,3526,1514,,,,,,,,,,,,,
20210224,"NE",199782,103920,5111,,2808,1251,223,,3824,82645,23377,81302,95103,2054,1351,58,,30,26,1,,25,563,159,1089,806,6059,4286,304,,133,92,12,,172,1060,1057,3491,1511,,,,,,,,,,,,,
20210221,"NE",198949,103634,5102,,2808,1252,223,,3819,82111,23310,80912,94727,2047,1351,58,,30,26,1,,25,556,159,1089,799,6034,4253,300,,133,92,12,,172,1072,1053,3443,1538,,,,,,,,,,,,,
20210217,"NE",197746,103103,5085,,2799,1250,221,,3796,81492,23177,80238,94331,2018,1332,58,,30,25,1,,24,548,158,1070,790,5981,4217,296,,132,91,12,,170,1063,1046,3377,1558,,,,,,,,,,,,,
20210214,"NE",197236,102827,5075,,2793,1245,220,,3786,81290,23101,79647,94488,2002,1329,58,,30,25,1,,24,535,157,1068,777,5950,4204,296,,132,91,12,,170,1045,1043,3363,1544,,,,,,,,,,,,,
20210210,"NE",194632,102303,5056,,2788,1238,219,,3769,79259,23021,79037,92574,1986,1275,56,,30,24,1,,23,577,149,999,838,5928,4161,296,,132,91,12,,169,1067,1035,3315,1578,,,,,,,,,,,,,
20210207,"NE",193722,101783,5046,,2780,1231,219,,3758,78905,22928,78387,92407,1968,1266,56,,29,24,1,,22,570,149,995,824,5896,4142,296,,131,91,12,,168,1056,1031,3291,1574,,,,,,,,,,,,,
20210203,"NE",192042,101118,5028,,2771,1228,219,,3730,77948,22807,77949,91286,1931,1256,56,,29,24,1,,22,543,149,987,795,5844,4109,296,,131,91,12,,166,1039,1022,3261,1561,,,,,,,,,,,,,
