"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,,186,,,,,,
20200528,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,214,,,,,,
20200604,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2239,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2239,,251,,,,,,
20200611,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392,,282,,,,,,
20200618,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529,,296,,,,,,
20200625,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598,,318,,,,,,
20200702,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2663,,329,,,,,,
20200709,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,336,,,,,,
20200716,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727,,340,,,,,,
20200723,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772,,346,,,,,,
20200730,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,,350,,,,,,
20200806,"NH",,"Aggregate",,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2837,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2837,,351,,,,,,
20200813,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,,354,,,,,,
20200820,"NH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889,,357,,,,,,
