"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NH",76861,39457,1025,4157,1036,87,0,394,2066,28639,4157,44065,28639,1184,1110,13,30,12,1,0,2,12,4,30,1150,4,1131,865,38,99,40,,,,25,64,99,968,64,,,,,,,,,,,,,
20210303,"NH",75990,38539,1008,4118,1020,86,0,380,2048,28791,4118,43081,28791,1175,889,12,23,8,1,0,2,10,230,23,922,230,1123,847,38,97,40,,,,23,78,97,948,78,,,,,,,,,,,,,
20210228,"NH",75424,38068,1000,4092,1014,86,0,375,2043,28746,4092,42586,28746,1170,884,12,23,8,1,0,2,10,230,23,917,230,1118,842,38,97,40,,,,23,78,97,943,78,,,,,,,,,,,,,
20210224,"NH",74258,37249,985,4035,984,81,0,363,2026,28535,4035,41688,28535,1157,872,12,23,8,1,0,2,10,229,23,905,229,1101,828,38,96,39,,,,23,77,96,928,77,,,,,,,,,,,,,
20210221,"NH",73413,36618,973,4001,961,81,0,357,2019,28403,4001,41009,28403,1154,870,12,23,8,1,0,2,10,228,23,903,228,1093,822,38,96,38,,,,22,77,96,920,77,,,,,,,,,,,,,
20210217,"NH",71965,35740,957,3965,938,79,0,344,1991,27951,3965,40049,27951,1148,868,12,23,8,1,0,1,10,225,23,900,225,1083,816,38,94,37,,,,22,76,94,913,76,,,,,,,,,,,,,
20210214,"NH",70785,35050,938,3923,923,78,0,336,1950,27587,3923,39275,27587,1133,863,12,23,8,1,0,1,10,215,23,895,215,1075,811,38,94,37,,,,22,73,94,908,73,,,,,,,,,,,,,
20210210,"NH",69247,34048,921,3854,903,77,0,328,1914,27202,3854,38191,27202,1116,851,12,23,8,1,0,1,9,211,23,882,211,1065,805,38,94,36,,,,21,71,94,900,71,,,,,,,,,,,,,
20210207,"NH",68379,33344,920,3812,887,77,0,319,1902,27118,3812,37449,27118,1104,845,12,22,7,1,0,1,9,207,22,875,207,1056,800,38,94,35,,,,19,70,94,892,70,,,,,,,,,,,,,
20210203,"NH",66721,32364,895,3759,875,73,0,305,1874,26576,3759,36386,26576,1076,824,12,22,7,1,0,1,7,202,22,852,202,1042,786,38,94,35,,,,19,70,94,878,70,,,,,,,,,,,,,
20210131,"NH",65695,31687,881,3718,854,74,0,300,1856,26325,3718,35652,26325,1057,811,12,21,7,1,0,1,7,197,21,839,197,1037,781,38,93,35,,,,19,71,93,873,71,,,,,,,,,,,,,
20210127,"NH",63563,30632,863,3674,822,74,0,294,1784,25420,3674,34469,25420,1006,775,12,20,7,1,0,0,4,187,20,799,187,1014,759,38,97,35,,,,19,66,97,851,66,,,,,,,,,,,,,
20210124,"NH",62337,29919,852,3692,806,72,0,286,1760,24950,3692,33695,24950,987,766,12,20,7,1,0,0,4,177,20,790,177,1000,746,38,97,35,,,,19,65,97,838,65,,,,,,,,,,,,,
20210120,"NH",59437,28427,824,3716,765,63,0,272,1679,23691,3716,32030,23691,950,740,12,20,7,1,0,0,4,166,20,764,166,976,725,38,95,35,,,,19,64,95,817,64,,,,,,,,,,,,,
20210117,"NH",56864,26600,800,3690,726,60,0,254,1547,23187,3690,29987,23187,933,720,12,23,6,1,0,0,4,167,23,743,167,957,710,38,92,35,,,,19,63,92,802,63,,,,,,,,,,,,,
20210113,"NH",54125,25696,790,3643,707,59,0,248,1528,21454,3643,29028,21454,885,689,12,24,6,1,0,0,3,150,24,711,150,942,696,38,93,35,,,,17,63,93,786,63,,,,,,,,,,,,,
20210110,"NH",51600,24594,769,3471,682,54,0,242,1429,20359,3471,27770,20359,869,680,12,22,6,1,0,0,3,145,22,702,145,930,683,38,90,34,,,,15,70,90,770,70,,,,,,,,,,,,,
20210106,"NH",48838,23356,741,3258,647,50,0,230,1303,19253,3258,26327,19253,816,643,12,20,6,0,0,0,3,132,20,664,132,919,682,38,88,34,,,,15,62,88,769,62,,,,,,,,,,,,,
20210103,"NH",46450,22255,1205,3029,628,48,0,215,1205,18349,3029,25072,18349,780,624,10,19,6,0,0,0,3,118,19,643,118,913,679,37,86,34,1,0,5,9,62,86,765,62,,,,,,,,,,,,,
20201230,"NH",43242,20851,699,2687,600,43,0,205,1062,17095,2687,23460,17095,741,593,10,19,5,0,0,0,2,112,19,610,112,901,670,36,86,34,1,0,5,8,61,86,754,61,,,,,,,,,,,,,
20201227,"NH",40809,19710,668,2465,575,40,0,190,965,16196,2465,22148,16196,708,573,10,19,5,0,0,0,1,100,19,589,100,895,666,36,86,34,1,0,5,8,59,86,750,59,,,,,,,,,,,,,
20201223,"NH",38512,18744,641,2217,548,36,0,179,870,15277,2217,21018,15277,677,550,10,19,4,0,0,0,1,93,19,565,93,892,665,35,86,34,1,0,4,8,59,86,747,59,,,,,,,,,,,,,
20201220,"NH",36542,17780,620,2146,519,31,0,168,810,14468,2146,19928,14468,656,539,9,19,4,0,0,0,1,84,19,553,84,889,662,35,86,34,1,0,4,8,59,86,744,59,,,,,,,,,,,,,
20201216,"NH",33433,16490,585,2019,486,29,11,158,651,13004,2019,18410,13004,625,520,9,18,4,0,0,0,1,73,18,534,73,870,647,35,85,32,1,0,4,7,59,85,726,59,,,,,,,,,,,,,
20201213,"NH",30956,15410,568,1923,454,29,11,152,543,11866,1923,17167,11866,603,503,9,17,4,0,0,0,1,69,17,517,69,861,638,35,85,32,1,0,4,7,59,85,717,59,,,,,,,,,,,,,
20201209,"NH",27592,14046,535,1802,430,29,11,139,376,10224,1802,15566,10224,570,483,9,16,4,0,0,0,1,57,16,497,57,851,631,34,85,32,1,0,4,7,57,85,709,57,,,,,,,,,,,,,
