"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19847,,5456,,9029,,98,,,,,,530,,,,,,,,,,,,,,,,,,,,,,19847,,5456,,9029,,98,,,,,,530,,,,
20200528,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21058,,5751,,10254,,104,,,,,,537,,,,,,,,,,,,,,,,,,,,,,21058,,5751,,10254,,104,,,,,,537,,,,
20200604,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22737,,6061,,11220,,108,,,,,,547,,,,,,,,,,,,,,,,,,,,,,22737,,6061,,11220,,108,,,,,,547,,,,
20200611,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23253,,6242,,11613,,113,,,,,,551,,,,,,,,,,,,,,,,,,,,,,23253,,6242,,11613,,113,,,,,,551,,,,
20200618,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23596,,6364,,11888,,117,,,,,,555,,,,,,,,,,,,,,,,,,,,,,23596,,6364,,11888,,117,,,,,,555,,,,
20200625,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24039,,6455,,12208,,133,,,,,,557,,,,,,,,,,,,,,,,,,,,,,24039,,6455,,12208,,133,,,,,,557,,,,
20200702,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,,6542,,12262,,117,,,,,,557,,,,,,,,,,,,,,,,,,,,,,24199,,6542,,12262,,117,,,,,,557,,,,
20200709,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24341,,6600,,12455,,119,,,,,,557,,,,,,,,,,,,,,,,,,,,,,24341,,6600,,12455,,119,,,,,,557,,,,
20200716,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24493,,6639,,12616,,120,,,,,,570,,,,,,,,,,,,,,,,,,,,,,24493,,6639,,12616,,120,,,,,,570,,,,
20200723,"NJ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24618,,6672,,12753,,119,,,,,,589,,,,,,,,,,,,,,,,,,,,,,24618,,6672,,12753,,119,,,,,,589,,,,
