"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NJ",812609,268537,69860,161066,30370,,,,107239,175537,161066,476006,175537,23574,12932,3743,4338,1178,,,,912,471,4338,18765,471,64396,26086,11312,15832,2843,,,,4241,4082,15832,44482,4082,,,,,,,,,,,,,
20210303,"NJ",799476,263063,68724,158392,29817,,,,105390,174090,158392,466994,174090,23449,12713,3690,4278,1167,,,,882,719,4278,18452,719,64050,25919,11259,15734,2832,,,,4217,4089,15734,44227,4089,,,,,,,,,,,,,
20210228,"NJ",789356,258650,67670,156256,29236,,,,103410,174134,156256,458966,174134,23252,12713,3690,4278,1167,,,,882,522,4278,18452,522,63713,25730,11193,15670,2813,,,,4192,4115,15670,43928,4115,,,,,,,,,,,,,
20210224,"NJ",775386,253066,66291,153221,28637,,,,101051,173120,153221,449045,173120,23077,12472,3625,4210,1145,,,,832,793,4210,18074,793,63252,25518,11110,15571,2792,,,,4156,4105,15571,43576,4105,,,,,,,,,,,,,
20210221,"NJ",766405,249670,65204,151397,28209,,,,99207,172718,151397,442290,172718,22858,12472,3625,4210,1145,,,,832,574,4210,18074,574,63108,25469,11078,15512,2780,,,,4101,4168,15512,43428,4168,,,,,,,,,,,,,
20210217,"NJ",755174,244975,64008,149105,27699,,,,97731,171656,149105,434413,171656,22632,12266,3578,4150,1125,,,,799,714,4150,17768,714,62718,25283,11005,15430,2757,,,,4080,4163,15430,43125,4163,,,,,,,,,,,,,
20210214,"NJ",745987,241067,63089,147253,27263,,,,96561,170754,147253,427980,170754,22454,12266,3578,4150,1125,,,,799,536,4150,17768,536,62406,25093,10968,15371,2736,,,,4066,4172,15371,42863,4172,,,,,,,,,,,,,
20210210,"NJ",732674,235798,61809,144469,26662,,,,94732,169204,144469,419001,169204,22250,11932,3513,4063,1096,,,,766,880,4063,17307,880,61952,24841,10875,15303,2716,,,,4058,4159,15303,42490,4159,,,,,,,,,,,,,
20210207,"NJ",722166,231435,60730,142366,26154,,,,93354,168128,142366,411673,168128,21989,11932,3513,4063,1096,,,,766,619,4063,17307,619,61523,24629,10777,15218,2697,,,,4041,4161,15218,42144,4161,,,,,,,,,,,,,
20210203,"NJ",705807,224998,59340,139524,25445,,,,91004,165496,139524,400787,165496,21693,11657,3442,3984,1077,,,,746,787,3984,16922,787,60984,24350,10680,15119,2666,,,,4027,4142,15119,41723,4142,,,,,,,,,,,,,
