"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NM",186922,32321,2360,87747,1688,30459,288,,4912,27147,87747,72028,27147,3808,1097,49,1471,27,1064,,,,100,1471,2237,100,13252,2460,141,4885,118,3966,24,,177,1481,4885,6886,1481,,,,,,,,,,,,,
20210303,"NM",185898,32026,2338,87200,1672,30341,285,,4877,27159,87200,71539,27159,3753,1097,49,1471,27,1064,,,,45,1471,2237,45,13190,2460,141,4885,118,3966,24,,177,1419,4885,6886,1419,,,,,,,,,,,,,
20210228,"NM",185132,31742,2322,86227,1654,30265,285,,4892,27745,86227,71160,27745,3716,1075,49,1426,26,1038,,,,102,1426,2188,102,13108,2333,137,4529,114,4128,23,,172,1672,4529,6907,1672,,,,,,,,,,,,,
20210224,"NM",183781,30688,2261,81956,1597,29998,273,,5010,31998,81956,69827,31998,3658,1075,49,1426,26,1038,,,,44,1426,2188,44,13024,2333,137,4529,114,4128,23,,172,1588,4529,6907,1588,,,,,,,,,,,,,
20210221,"NM",182789,30308,2242,80933,1586,29890,271,,5011,32548,80933,69308,32548,3624,1042,48,1385,26,1014,,,,109,1385,2130,109,12916,2321,135,4598,112,3846,22,,179,1703,4598,6615,1703,,,,,,,,,,,,,
20210217,"NM",181332,30010,2230,80402,1559,29647,,,,37484,80402,63446,37484,3562,1042,48,1385,26,1014,,,,47,1385,2130,47,12790,2321,135,4598,112,3846,22,,179,1577,4598,6615,1577,,,,,,,,,,,,,
20210214,"NM",180571,29776,2202,79992,1552,29505,,,,37544,79992,63035,37544,3529,999,47,1329,26,988,,,,140,1329,2060,140,12679,2182,128,4321,106,3693,21,,181,2047,4321,6311,2047,,,,,,,,,,,,,
20210210,"NM",178790,29267,2181,79329,1519,29321,,,,37173,79329,62288,37173,3461,999,47,1329,26,988,,,,72,1329,2060,72,12557,2182,128,4321,106,3693,21,,181,1925,4321,6311,1925,,,,,,,,,,,,,
20210207,"NM",177556,28977,2166,78728,1509,29172,,,,37004,78728,61824,37004,3399,964,45,1277,26,952,,,,135,1277,1987,135,12408,2182,128,4321,106,3693,21,,181,1776,4321,6311,1776,,,,,,,,,,,,,
20210203,"NM",175652,28561,2142,77989,1493,28947,,,,36520,77989,61143,36520,3338,964,45,1277,26,952,,,,74,1277,1987,74,12247,2182,128,4321,106,3693,21,,181,1615,4321,6311,1615,,,,,,,,,,,,,
