"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NV",296190,108109,22510,106628,24287,1480,,,33173,3,106628,189559,3,5037,2719,468,1203,594,45,,,5,3,1203,3831,3,,,,,,,,,,,,,,1427948,675419,137083,249890,99956,11423,,,254174,3,249890,1178055,3
20210303,"NV",294684,107372,22418,105897,23893,1474,,,33627,3,105897,188784,3,4987,2695,464,1193,584,44,,,4,3,1193,3791,3,,,,,,,,,,,,,,1417507,670480,136080,248063,99225,11340,,,252316,3,248063,1169441,3
20210228,"NV",293754,107220,22325,105163,23794,1468,,,33781,3,105163,188588,3,4957,2681,461,1179,584,44,,,4,4,1179,3774,4,,,,,,,,,,,,,,1410983,668063,135589,245756,98867,11299,,,251406,3,245756,1165224,3
20210224,"NV",292059,106601,22196,103973,23656,1460,,,34170,3,103973,188083,3,4919,2673,453,1166,576,44,,,4,3,1166,3750,3,,,,,,,,,,,,,,1400831,662593,134479,243744,98058,11206,,,250748,3,243744,1157084,3
20210221,"NV",290972,106204,22113,103295,23277,1454,,,34625,4,103295,187673,4,4872,2650,453,1149,570,43,,,4,3,1149,3720,3,,,,,,,,,,,,,,1392918,658192,133586,240734,97406,11132,,,251866,2,240734,1152182,2
20210217,"NV",289392,105628,21993,102444,23151,1446,,,34727,3,102444,186945,3,4774,2606,443,1126,549,42,,,4,4,1126,3644,4,,,,,,,,,,,,,,1383924,654596,132856,238034,96874,11071,,,250490,3,238034,1145887,3
20210214,"NV",288348,105429,21892,101685,23044,1440,,,34855,3,101685,186660,3,4709,2578,438,1103,542,42,,,4,2,1103,3604,2,,,,,,,,,,,,,,1374233,650012,130552,236368,96196,10993,,,250110,2,236368,1137863,2
20210210,"NV",285795,104419,21456,100700,22600,1430,,,35187,3,100700,185092,3,4582,2510,416,1072,531,45,,,4,4,1072,3506,4,,,,,,,,,,,,,,1361786,644124,129369,234227,93963,10894,,,249206,3,234227,1127556,3
20210207,"NV",284042,103779,21324,99798,22461,1421,,,35256,3,99798,184241,3,4520,2472,411,1066,524,40,,,4,3,1066,3451,3,,,,,,,,,,,,,,1352520,640382,128618,231512,93417,10830,,,247758,3,231512,1121005,3
20210203,"NV",280707,102458,21053,98528,22175,1403,,,35088,2,98528,182177,2,4373,2387,393,1036,511,39,,,4,3,1036,3334,3,,,,,,,,,,,,,,1339525,634229,127382,227947,92519,10726,,,246719,3,227947,1111575,3
20210131,"NV",278308,101582,20873,97407,21986,1391,,,35066,3,97407,180898,3,4270,2338,393,1004,491,38,,,4,2,1004,3264,2,,,,,,,,,,,,,,1331125,629622,126456,226291,91847,10649,,,246258,2,226291,1104832,2
20210127,"NV",273873,99590,20519,96033,21614,1367,,,34747,3,96033,177837,3,4134,2261,380,967,479,41,,,4,2,967,3165,2,,,,,,,,,,,,,,1316036,621863,124898,223502,90715,10517,,,244538,3,223502,1092531,3
20210124,"NV",270907,98511,20298,94993,21109,1353,,,34641,2,94993,175912,2,4026,2194,379,950,460,40,,,4,-1,950,3077,-1,,,,,,,,,,,,,,1306236,617849,124092,220753,90130,10449,,,242959,4,220753,1085479,4
