"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"NY",1681169,,,,,,,,,1681169,,,1681169,48591,17007,9812,9968,3011,,,,2834,5959,9968,32664,5959,89995,21649,23650,28494,8213,,,,,7989,28494,53512,7989,,,,,,,,,,,,,
20210303,"NY",1650184,,,,,,,,,1650184,,,1650184,48195,16855,9714,9883,2969,,,,2832,5942,9883,32370,5942,89995,21344,23320,28094,8053,,,,,9184,28094,52717,9184,,,,,,,,,,,,,
20210228,"NY",1630445,,,,,,,,,1630445,,,1630445,47873,16920,9448,9816,2942,,,,2681,6066,9816,31991,6066,89995,21134,23063,27786,7903,,,,,10109,27786,52100,10109,,,,,,,,,,,,,
20210224,"NY",1597774,,,,,,,,,1597774,,,1597774,47405,16709,9352,9714,2898,,,,2671,6061,9714,31630,6061,89995,20685,22611,27198,7690,,,,,11811,27198,50986,11811,,,,,,,,,,,,,
20210221,"NY",1578785,,,,,,,,,1578785,,,1578785,47068,16562,9283,9627,2846,,,,2728,6022,9627,31419,6022,89995,20490,22389,26892,7557,,,,,12667,26892,50436,12667,,,,,,,,,,,,,
20210217,"NY",1548979,,,,,,,,,1548979,,,1548979,46527,16297,9202,9513,2793,,,,2702,6020,9513,30994,6020,89995,20006,21972,26321,7309,,,,,14387,26321,49287,14387,,,,,,,,,,,,,
20210214,"NY",1521453,,,,,,,,,1521453,,,1521453,46150,16134,9149,9448,2755,,,,2678,5986,9448,30716,5986,89995,19691,21702,25986,7189,,,,,15427,25986,48582,15427,,,,,,,,,,,,,
20210210,"NY",1494187,,,,,,,,,1494187,,,1494187,45567,15843,9039,9328,2715,,,,2670,5972,9328,30267,5972,89995,19149,21229,25288,6937,,,,,17392,25288,47315,17392,,,,,,,,,,,,,
20210207,"NY",1470772,,,,,,,,,1470772,,,1470772,45101,15631,8968,9244,2682,,,,2640,5936,9244,29921,5936,89995,18837,20974,24955,6832,,,,,18397,24955,46643,18397,,,,,,,,,,,,,
20210203,"NY",1433304,,,,,,,,,1433304,,,1433304,44397,15272,8856,9132,2625,,,,2638,5874,9132,29391,5874,89995,18248,20304,24199,6529,,,,,20715,24199,45081,20715,,,,,,,,,,,,,
