"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666,,878,,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4666,,878,,2124,,,,,,,,,,,,
20200528,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323,,1073,,2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323,,1073,,2439,,,,,,,,,,,,
20200604,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5911,,1073,,2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5911,,1073,,2695,,,,,,,,,,,,
20200611,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6113,,1376,,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6113,,1376,,2804,,,,,,,,,,,,
20200618,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6404,,1491,,2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6404,,1491,,2977,,,,,,,,,,,,
20200625,"OH",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6735,,1580,,3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6735,,1580,,3193,,,,,,,,,,,,
20200702,"OH",,"Aggregate",6280,,,,2873,,,,,,,,500,,,,,685,,,,378,,,,,,,,120,,,,,,,1653,,,,,,,,,,,,,,,134,,,,117,,,,,,,,37,,,,,134,,1653,,117,,,,,,,,37,,,,
20200709,"OH",,"Aggregate",6628,,,,3076,,,,,,,,520,,,,,699,,,,402,,,,,,,,147,,,,,,,1732,,,,,,,,,,,,,,,194,,,,187,,,,,,,,52,,,,,194,,1732,,187,,,,,,,,52,,,,
20200716,"OH",,"Aggregate",6956,,,,3308,,,,,,,,548,,,,,755,,,,466,,,,,,,,154,,,,,,,1777,,,,,,,,,,,,,,,262,,,,213,,,,,,,,59,,,,,262,,1777,,213,,,,,,,,59,,,,
20200723,"OH",,"Aggregate",7215,,,,3546,,,,,,,,594,,,,,766,,,,474,,,,,,,,163,,,,,,,1868,,,,,,,,,,,,,,,288,,,,244,,,,,,,,53,,,,,288,,1868,,244,,,,,,,,53,,,,
