"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"OH",978471,579544,101785,,13511,1055,693,23359,53199,205325,30674,618476,329321,17656,15026,2157,,139,16,3,26,129,160,302,17199,155,50881,35458,9272,,631,65,55,1691,1290,2419,1710,42785,6386,,,,,,,,,,,,,
20210303,"OH",972605,575079,101248,,13398,1050,690,23211,52937,204992,30440,613159,329006,17189,14375,2068,,134,15,3,25,125,444,289,16460,440,50613,35203,9231,,629,65,54,1686,1289,2456,1701,42405,6507,,,,,,,,,,,,,
20210228,"OH",967422,570998,100684,,13314,1049,687,23091,52803,204796,30200,608254,328968,17297,13835,1943,,118,14,6,371,187,823,321,15132,1844,50279,34871,9168,,620,65,54,1678,1296,2527,1687,41885,6707,,,,,,,,,,,,,
20210224,"OH",959995,565866,99923,,13183,1040,691,22916,52459,203917,29916,602433,327646,17045,13584,1905,,118,14,5,369,188,862,312,14813,1920,49788,34492,9071,,614,64,54,1671,1284,2538,1672,41412,6704,,,,,,,,,,,,,
20210221,"OH",953767,561601,99300,,13083,1036,684,22805,52279,202979,29723,597585,326459,16816,13390,1889,,118,13,5,363,187,851,303,14608,1905,49372,34183,8990,,614,64,52,1665,1275,2529,1663,41029,6680,,,,,,,,,,,,,
20210217,"OH",945107,555486,98462,,12971,1023,677,22586,51908,201994,29459,590834,324814,16513,13086,1856,,117,13,5,359,185,892,297,14272,1944,48888,33803,8907,,607,64,51,1654,1272,2530,1656,40580,6652,,,,,,,,,,,,,
20210214,"OH",939350,551296,97903,,12898,1015,672,22448,51696,201422,29272,586408,323670,16346,12926,1857,,116,13,6,352,185,891,296,14105,1945,48556,33547,8854,,605,63,51,1646,1266,2524,1647,40289,6620,,,,,,,,,,,,,
20210210,"OH",928631,543623,96827,,12758,1003,665,22243,51246,200266,28929,577851,321851,11856,9221,1390,,76,8,5,227,146,783,225,10138,1493,48080,33146,8769,,598,61,52,1647,1263,2544,1633,39765,6682,,,,,,,,,,,,,
20210207,"OH",920217,537482,95873,,12662,998,654,22032,50928,199588,28646,571360,320211,11659,9063,1376,,74,8,5,224,143,766,221,9980,1458,47538,32728,8685,,596,60,51,1634,1242,2542,1616,39309,6613,,,,,,,,,,,,,
20210203,"OH",906727,528630,94558,,12526,989,649,21738,50298,197339,28226,561765,316736,11430,8882,1362,,73,8,5,221,142,737,215,9804,1411,46873,32208,8586,,588,59,51,1624,1225,2532,1593,38736,6544,,,,,,,,,,,,,
