"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,135,,424,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,135,,424,,2,,,,,,,,,,
20200528,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779,,151,,466,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,779,,151,,466,,2,,,,,,,,,,
20200604,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,,167,,493,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,,167,,493,,2,,,,,,,,,,
20200611,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,,181,,552,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,,181,,552,,3,,,,,,,,,,
20200618,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,,189,,576,,3,,,,,,123,,,,,,,,,,,,,,,,,,,,,,975,,189,,576,,3,,,,,,123,,,,
20200625,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,,195,,605,,3,,,,,,127,,,,,,,,,,,,,,,,,,,,,,1005,,195,,605,,3,,,,,,127,,,,
20200702,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,198,,625,,3,,,,,,145,,,,,,,,,,,,,,,,,,,,,,1022,,198,,625,,3,,,,,,145,,,,
20200709,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,,202,,648,,3,,,,,,158,,,,,,,,,,,,,,,,,,,,,,1063,,202,,648,,3,,,,,,158,,,,
20200716,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129,,209,,677,,3,,,,,,177,,,,,,,,,,,,,,,,,,,,,,1129,,209,,677,,3,,,,,,177,,,,
20200723,"OK",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,,218,,712,,3,,,,,,188,,,,,,,,,,,,,,,,,,,,,,1177,,218,,712,,3,,,,,,188,,,,
