"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"OK",428997,244180,23119,,7852,41839,,,14388,97619,42955,267383,118659,4534,3255,271,,57,399,,,119,433,232,3635,667,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"OK",425746,242565,22947,,7792,41492,,,14264,96686,42487,264255,119004,4534,3255,271,,57,399,,,119,433,222,3461,851,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"OK",424508,241922,22873,,7771,41442,,,14221,96279,42487,264255,117766,4428,3182,267,,57,392,,,117,413,222,3461,745,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"OK",421010,240020,22662,,7682,41167,,,14080,95399,41985,260431,118594,4264,3071,256,,57,373,,,111,396,210,3326,728,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"OK",419354,239132,22575,,7645,41080,,,14032,94890,41985,260431,116938,4181,3006,255,,56,370,,,110,384,210,3326,645,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"OK",415858,237197,22390,,7554,40812,,,13932,93973,41389,255589,118880,4089,2945,248,,54,359,,,107,376,203,3210,676,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"OK",413542,235853,22261,,7521,40659,,,13873,93375,41389,255589,116564,4024,2907,242,,54,356,,,106,359,203,3210,611,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"OK",407724,232435,21974,,7426,40187,,,13627,92075,40288,247230,120206,3900,2824,235,,52,343,,,103,343,189,3000,711,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"OK",403954,230313,21757,,7367,39865,,,13513,91139,40288,247230,116436,3813,2755,231,,52,341,,,103,331,189,3000,624,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"OK",394283,224553,21257,,7227,38965,,,13175,89106,38935,235909,119439,3654,2647,218,,49,328,,,99,313,184,2789,681,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"OK",389472,221795,20960,,7110,38483,,,13031,88093,38935,235909,114628,3547,2576,212,,48,318,,,96,297,184,2789,574,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"OK",379110,215553,20435,,6933,37366,,,12601,86222,37463,223746,117901,3388,2451,204,,46,303,,,93,291,170,2565,653,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"OK",373090,212167,20099,,6826,36781,,,12431,84786,37463,223746,111881,3279,2362,199,,45,295,,,92,286,170,2565,544,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"OK",360360,204737,19407,,6599,35404,,,11959,82254,35944,211194,113222,3085,2218,192,,45,276,,,87,267,159,2352,574,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"OK",354979,201525,19110,,6503,34955,,,11781,81105,35944,211194,107841,2987,2149,188,,43,265,,,86,256,159,2352,476,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"OK",341364,193978,18426,,6250,33496,,,11290,77924,33976,194678,112710,2848,2048,178,,41,249,,,84,248,146,2179,523,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"OK",331362,188501,18002,,6105,32501,,,11054,75199,33976,194678,102708,2761,1986,170,,40,243,,,82,240,146,2179,436,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"OK",311573,176290,17130,,5835,30377,,,10535,71406,32457,180744,98372,2633,1896,158,,39,233,,,77,230,141,2032,460,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"OK",304072,172186,10340,,5731,29422,,,10340,69561,32457,180744,90871,2547,1834,155,,39,228,,,76,215,141,2032,374,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"OK",287030,163706,16279,,5538,27830,,,9903,63774,31264,168771,86995,2453,1769,150,,37,216,,,74,207,127,1912,414,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"OK",279139,159097,15905,,5412,26934,,,9655,62136,31264,168771,79104,2370,1712,147,,34,208,,,72,197,127,1912,331,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"OK",269276,153382,15525,,5265,25957,,,9341,59806,29401,153431,86444,2283,1655,143,,34,193,,,69,189,120,1754,409,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"OK",260838,148761,15123,,5144,25054,,,9080,57676,29401,153431,78006,2212,1596,139,,34,191,,,67,185,120,1754,338,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"OK",245229,139902,14370,,4934,23340,,,8536,54147,27572,139486,78171,2128,1529,131,,33,185,,,66,184,111,1622,395,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"OK",237668,135595,13964,,4810,22527,,,8279,52493,27572,139486,70610,2064,1489,123,,32,179,,,65,176,111,1622,331,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"OK",222993,127185,13251,,4606,21024,,,7821,49106,25674,126653,70666,1945,1394,116,,32,175,,,61,167,105,1497,343,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"OK",216486,121404,12778,,4459,20094,,,7487,50264,25674,126653,64159,1896,1364,114,,30,165,,,60,163,105,1497,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"OK",202341,115640,12283,,4311,19053,,,7162,43892,22311,102529,77501,1812,1306,109,,30,155,,,57,155,93,1292,427,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"OK",195545,111665,11936,,4218,18473,,,6955,42298,22311,102529,70705,1736,1251,103,,29,152,,,55,146,93,1292,351,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"OK",184342,105498,11444,,4055,17609,,,6655,39081,22311,102529,59502,1680,1207,103,,28,148,,,53,141,93,1292,295,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"OK",174330,99882,11016,,3945,16966,,,6407,36114,22311,102529,49490,1634,1175,99,,28,146,,,52,134,93,1292,249,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"OK",161425,93026,10371,,3786,15730,,,5950,32562,20596,90998,49831,1570,1130,94,,26,139,,,52,129,88,1206,276,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"OK",154128,88810,9930,,3695,15140,,,5722,30831,20596,90998,42534,1528,1105,92,,26,132,,,51,122,88,1206,234,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"OK",142334,82301,9354,,3576,14025,,,5365,27713,19322,82329,40683,1470,1069,87,,26,128,,,47,113,84,1151,235,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"OK",136258,78970,9015,,3512,13521,,,5157,26083,19322,82329,34607,1438,1043,86,,25,127,,,47,110,84,1151,203,,,,,,,,,,,,,,,,,,,,,,,,,,
