"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"OR",157285,76447,3791,,4850,2769,1404,2534,36783,28707,40965,78492,37828,2296,1531,46,,58,41,20,47,183,370,211,1475,610,8714,5270,273,,311,220,146,160,1585,749,1765,5410,1539,,,,,,,,,,,,,
20210303,"OR",156287,76105,3778,,4839,2764,1400,2523,36691,28187,40865,78134,37288,2252,1508,45,,58,40,19,47,181,354,209,1451,592,8682,5249,271,,310,220,147,160,1585,740,1766,5382,1534,,,,,,,,,,,,,
20210228,"OR",155597,75252,3750,,4797,2735,1377,2482,36385,28819,40545,77215,37837,2208,1475,45,,56,40,18,47,177,350,206,1420,582,8570,5174,268,,306,219,145,159,1565,734,1748,5306,1516,,,,,,,,,,,,,
20210224,"OR",154062,74809,3723,,4773,2725,1370,2463,36225,27974,40378,76724,36960,2194,1468,45,,56,39,18,47,176,345,206,1411,577,8528,5147,267,,306,218,144,156,1559,731,1740,5278,1510,,,,,,,,,,,,,
20210221,"OR",152818,73392,3655,,4711,2651,1350,2428,35849,28782,39986,75342,37490,2155,1439,44,,56,39,18,47,169,343,200,1383,572,8403,5043,264,,303,216,142,152,1537,746,1715,5181,1507,,,,,,,,,,,,,
20210217,"OR",151257,73116,3641,,4701,2641,1346,2416,35779,27617,39910,75042,36305,2143,1436,44,,56,39,17,47,169,335,200,1379,564,8346,5021,260,,302,216,141,152,1533,721,1712,5157,1477,,,,,,,,,,,,,
20210214,"OR",150281,72144,3607,,4659,2615,1325,2391,35470,28070,39602,74014,36665,2137,1400,44,,56,38,17,46,166,370,196,1345,596,8185,4935,258,,299,210,137,148,1484,714,1677,5077,1431,,,,,,,,,,,,,
20210210,"OR",148475,71463,3586,,4628,2595,1313,2374,35204,27312,39360,73255,35860,2044,1360,44,,56,37,17,45,164,321,194,1312,538,8107,4877,257,,297,210,137,146,1468,715,1644,5030,1413,,,,,,,,,,,,,
20210207,"OR",147122,70144,3528,,4557,2563,1284,2327,34661,28058,38875,71766,36481,2023,1329,43,,56,37,17,45,160,336,190,1287,546,7971,4792,254,,291,207,136,146,1439,706,1644,4931,1396,,,,,,,,,,,,,
20210203,"OR",144605,69214,3472,,4522,2542,1269,2308,34324,26954,38542,70795,35268,1991,1316,43,,56,37,17,44,160,318,190,1276,525,7896,4744,250,,283,206,135,147,1425,706,1628,4887,1381,,,,,,,,,,,,,
20210131,"OR",142416,67591,3388,,4429,2510,1252,2251,33679,27316,37910,69066,35440,1957,1277,42,,57,37,17,42,157,328,185,1234,538,7738,4646,245,,281,204,134,137,1396,695,1596,4766,1376,,,,,,,,,,,,,
20210127,"OR",140063,66682,3345,,4372,2487,1240,2227,33288,26422,37575,68039,34449,1924,1267,42,,56,36,17,41,154,311,182,1221,521,7664,4587,244,,279,204,134,137,1383,696,1581,4704,1379,,,,,,,,,,,,,
20210124,"OR",138168,64833,3294,,4294,2457,1224,2176,32523,27367,36845,66268,35055,1880,1228,40,,55,35,17,41,149,315,177,1182,521,7469,4457,237,,275,201,131,135,1355,678,1549,4571,1349,,,,,,,,,,,,,
20210120,"OR",135142,63967,3262,,4262,2428,1219,2151,32152,25701,36444,65340,33358,1832,1204,39,,55,33,17,38,145,301,171,1158,503,7387,4409,235,,273,195,131,133,1339,672,1531,4523,1333,,,,,,,,,,,,,
20210117,"OR",133205,61779,3171,,4150,2376,1188,2088,31284,27169,35609,63123,34473,1800,1157,39,,54,32,16,37,141,324,166,1113,521,7198,4294,230,,266,193,123,130,1314,648,1503,4405,1290,,,,,,,,,,,,,
20210113,"OR",129109,60685,3128,,4105,2335,1170,2052,30900,24734,35147,62001,31961,1708,1129,39,,53,31,15,36,138,267,165,1084,459,7123,4245,228,,265,190,123,129,1301,642,1490,4357,1276,,,,,,,,,,,,,
20210110,"OR",125683,57486,2993,,3951,2257,1131,1949,29818,26098,33862,58929,32892,1605,1044,39,,49,29,14,34,132,264,157,1008,440,6864,4083,219,,256,184,117,121,1269,615,1455,4198,1211,,,,,,,,,,,,,
20210106,"OR",120223,56216,2938,,3897,2236,1114,1918,29392,22512,33419,57703,29101,1558,1033,38,,48,29,14,33,132,231,157,996,405,6793,4036,218,,251,185,116,117,1265,605,1443,4146,1204,,,,,,,,,,,,,
20210103,"OR",117745,53041,28250,,3749,2160,1080,1844,28250,24803,32221,54722,30802,1500,980,36,,44,25,14,32,128,241,154,940,406,6498,3848,214,,250,180,114,115,1216,561,1397,3975,1126,,,,,,,,,,,,,
20201230,"OR",112260,52280,2795,,3700,2146,1075,1822,27979,20463,31897,53977,26386,1468,976,36,,44,25,14,32,125,216,151,937,380,6455,3819,213,,249,175,114,114,1211,560,1392,3944,1119,,,,,,,,,,,,,
20201227,"OR",109725,49382,2689,,3531,2081,1050,1764,26973,22255,30839,51348,27538,1427,937,36,,40,23,14,31,123,223,150,893,384,6168,3649,207,,233,173,112,108,1169,517,1355,3775,1038,,,,,,,,,,,,,
20201223,"OR",105970,49018,2679,,3501,2067,1049,1757,26778,19121,30680,50947,24343,1403,931,36,,40,23,14,31,123,205,150,887,366,6122,3618,205,,231,170,112,107,1162,517,1347,3742,1033,,,,,,,,,,,,,
20201220,"OR",102930,46277,2590,,3302,1980,1032,1680,25632,20437,29478,48358,25094,1341,868,33,,34,20,14,31,118,223,144,836,361,5837,3437,195,,225,160,110,105,1118,487,1303,3567,967,,,,,,,,,,,,,
20201216,"OR",97622,44953,2538,,3221,1947,1017,1643,25127,17176,28837,47029,21756,1262,845,31,,33,19,14,31,116,173,141,816,305,5679,3348,194,,209,152,110,102,1099,465,1276,3474,929,,,,,,,,,,,,,
