"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14113,,,,2306,,,,,,3234,,570,,,,,,,,,,,,,,,,,,,,,,14113,,,,2306,,,,,,3234,,570,,,,
20200528,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15158,,,,2563,,,,,,3501,,600,,,,,,,,,,,,,,,,,,,,,,15158,,,,2563,,,,,,3501,,600,,,,
20200604,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16167,,,,2807,,,,,,4094,,615,,,,,,,,,,,,,,,,,,,,,,16167,,,,2807,,,,,,4094,,615,,,,
20200611,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16357,,,,2871,,,,,,4215,,627,,,,,,,,,,,,,,,,,,,,,,16357,,,,2871,,,,,,4215,,627,,,,
20200618,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16895,,,,3012,,,,,,4345,,651,,,,,,,,,,,,,,,,,,,,,,16895,,,,3012,,,,,,4345,,651,,,,
20200625,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17454,,,,3123,,,,,,4471,,676,,,,,,,,,,,,,,,,,,,,,,17454,,,,3123,,,,,,4471,,676,,,,
20200702,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17856,,,,3316,,,,,,4590,,702,,,,,,,,,,,,,,,,,,,,,,17856,,,,3316,,,,,,4590,,702,,,,
20200709,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092,,,,3396,,,,,,4667,,732,,,,,,,,,,,,,,,,,,,,,,18092,,,,3396,,,,,,4667,,732,,,,
20200716,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18430,,,,3534,,,,,,4777,,767,,,,,,,,,,,,,,,,,,,,,,18430,,,,3534,,,,,,4777,,767,,,,
20200723,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18892,,,,3707,,,,,,4829,,804,,,,,,,,,,,,,,,,,,,,,,18892,,,,3707,,,,,,4829,,804,,,,
20200730,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19366,,,,3918,,,,,,4887,,846,,,,,,,,,,,,,,,,,,,,,,19366,,,,3918,,,,,,4887,,846,,,,
20200806,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19799,,,,4071,,,,,,4943,,870,,,,,,,,,,,,,,,,,,,,,,19799,,,,4071,,,,,,4943,,870,,,,
20200813,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20244,,,,4192,,,,,,5037,,888,,,,,,,,,,,,,,,,,,,,,,20244,,,,4192,,,,,,5037,,888,,,,
20200820,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20522,,,,4315,,,,,,5107,,905,,,,,,,,,,,,,,,,,,,,,,20522,,,,4315,,,,,,5107,,905,,,,
20200827,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20870,,,,4440,,,,,,5157,,923,,,,,,,,,,,,,,,,,,,,,,20870,,,,4440,,,,,,5157,,923,,,,
20200903,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21198,,,,4553,,,,,,5218,,938,,,,,,,,,,,,,,,,,,,,,,21198,,,,4553,,,,,,5218,,938,,,,
20200910,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21644,,,,4702,,,,,,5280,,946,,,,,,,,,,,,,,,,,,,,,,21644,,,,4702,,,,,,5280,,946,,,,
20200917,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22095,,,,4825,,,,,,5327,,957,,,,,,,,,,,,,,,,,,,,,,22095,,,,4825,,,,,,5327,,957,,,,
20200924,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22498,,,,4936,,,,,,5397,,969,,,,,,,,,,,,,,,,,,,,,,22498,,,,4936,,,,,,5397,,969,,,,
20201001,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23029,,,,5100,,,,,,5456,,985,,,,,,,,,,,,,,,,,,,,,,23029,,,,5100,,,,,,5456,,985,,,,
20201008,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23611,,,,5229,,,,,,5528,,999,,,,,,,,,,,,,,,,,,,,,,23611,,,,5229,,,,,,5528,,999,,,,
20201015,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,,,,5332,,,,,,5585,,1014,,,,,,,,,,,,,,,,,,,,,,24213,,,,5332,,,,,,5585,,1014,,,,
20201022,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24990,,,,5436,,,,,,5670,,1036,,,,,,,,,,,,,,,,,,,,,,24990,,,,5436,,,,,,5670,,1036,,,,
20201029,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25624,,,,5539,,,,,,5706,,1052,,,,,,,,,,,,,,,,,,,,,,25624,,,,5539,,,,,,5706,,1052,,,,
20201105,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26902,,,,5785,,,,,,5860,,1100,,,,,,,,,,,,,,,,,,,,,,26902,,,,5785,,,,,,5860,,1100,,,,
20201112,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28576,,,,5972,,,,,,5999,,1132,,,,,,,,,,,,,,,,,,,,,,28576,,,,5972,,,,,,5999,,1132,,,,
20201119,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30786,,,,6265,,,,,,6169,,1184,,,,,,,,,,,,,,,,,,,,,,30786,,,,6265,,,,,,6169,,1184,,,,
20201126,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32915,,,,6466,,,,,,6430,,1232,,,,,,,,,,,,,,,,,,,,,,32915,,,,6466,,,,,,6430,,1232,,,,
20201203,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37324,,,,7027,,,,,,6751,,1300,,,,,,,,,,,,,,,,,,,,,,37324,,,,7027,,,,,,6751,,1300,,,,
20201210,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41735,,,,7742,,,,,,7249,,1373,,,,,,,,,,,,,,,,,,,,,,41735,,,,7742,,,,,,7249,,1373,,,,
20201217,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45858,,,,8411,,,,,,7871,,1418,,,,,,,,,,,,,,,,,,,,,,45858,,,,8411,,,,,,7871,,1418,,,,
20201224,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49042,,,,8942,,,,,,8138,,1435,,,,,,,,,,,,,,,,,,,,,,49042,,,,8942,,,,,,8138,,1435,,,,
20201231,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52642,,,,9587,,,,,,8849,,1468,,,,,,,,,,,,,,,,,,,,,,52642,,,,9587,,,,,,8849,,1468,,,,
20210107,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55864,,,,10313,,,,,,9311,,1489,,,,,,,,,,,,,,,,,,,,,,55864,,,,10313,,,,,,9311,,1489,,,,
20210114,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58577,,,,11010,,,,,,9823,,1507,,,,,,,,,,,,,,,,,,,,,,58577,,,,11010,,,,,,9823,,1507,,,,
20210121,"PA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60597,,,,11372,,,,,,10137,,1525,,,,,,,,,,,,,,,,,,,,,,60597,,,,11372,,,,,,10137,,1525,,,,
