"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"PA",948643,487131,81180,,16176,,,,12096,352060,59427,252700,636516,24349,19497,2829,,379,,,,1,1643,982,23280,87,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"PA",938411,480109,80161,,15907,,,,11522,350712,58657,248620,631134,24169,19497,2829,,379,,,,1,1463,952,22528,689,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"PA",931642,475819,79676,,15768,,,,11285,349094,58303,245937,627402,24021,19497,2829,,379,,,,1,1315,952,22528,541,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"PA",920634,469146,78582,,15560,,,,10941,346405,57722,241967,620945,23787,19497,2829,,379,,,,775,307,952,22528,307,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"PA",913497,464347,77898,,15393,,,,10714,345145,57121,238952,617424,23597,19497,2829,,379,,,,775,117,952,22528,117,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"PA",902650,457309,76864,,15138,,,,10419,342920,56308,234545,611797,23319,19055,2778,,369,,,,757,360,935,22024,360,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"PA",894915,452342,76294,,14980,,,,10062,341237,55914,231796,607205,23096,19055,2778,,369,,,,757,137,935,22024,137,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"PA",880291,442754,74669,,14633,,,,9227,339008,54796,226690,598805,22745,18444,2706,,353,,,,736,506,906,21333,506,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"PA",870321,437061,73997,,14505,,,,9151,335607,54347,222776,593198,22467,18444,2706,,353,,,,736,228,906,21333,228,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"PA",853616,426270,72874,,14275,,,,8735,331462,53555,215988,584073,21955,17767,2638,,347,,,,710,493,880,20582,493,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"PA",843224,420140,72320,,14124,,,,8558,328082,53055,211956,578213,21661,17767,2638,,347,,,,710,199,880,20582,199,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"PA",818369,402974,70568,,13642,,,,8005,323180,51566,201533,565270,21105,16747,2557,,329,,,,688,784,841,19480,784,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"PA",803933,394531,69680,,13326,,,,7601,318795,50656,197087,556190,20609,16747,2557,,329,,,,688,288,841,19480,288,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"PA",783170,382560,68297,,13040,,,,7276,311997,49563,190810,542797,19868,15527,2464,,308,,,,658,911,798,18159,911,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"PA",767800,373671,67335,,12764,,,,7088,306942,48700,186826,532274,19310,15527,2464,,308,,,,658,353,798,18159,353,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"PA",741389,358448,65607,,12325,,,,6850,298159,47009,179839,514541,18429,14137,2352,,286,,,,619,1035,758,16636,1035,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"PA",720816,347577,64365,,11963,,,,6592,290319,45789,174890,500137,17770,14137,2352,,286,,,,619,376,758,16636,376,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"PA",683389,325158,62330,,11384,,,,6078,278439,43376,164414,475599,16914,12896,2243,,266,,,,573,936,708,15270,936,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"PA",661871,313747,5883,,11126,,,,5883,270022,42194,159192,460485,16295,12896,2243,,266,,,,573,317,708,15270,317,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"PA",631333,296809,59167,,10746,,,,5586,259025,40254,152177,438902,15672,11775,2139,,253,,,,551,954,672,14046,954,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"PA",610025,285085,57920,,10421,,,,5375,251224,39135,146746,424144,15010,11775,2139,,253,,,,551,292,672,14046,292,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"PA",581156,269739,56155,,10032,,,,5100,240130,37439,140401,403316,14442,10788,2051,,245,,,,524,834,637,12971,834,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"PA",555702,256520,54753,,9730,,,,4948,229751,36239,134505,384958,13942,10788,2051,,245,,,,524,334,637,12971,334,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"PA",519369,237917,52240,,9248,,,,4657,215307,34186,126444,358739,13168,9580,1938,,224,,,,493,933,597,11638,933,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"PA",491802,224550,49946,,8902,,,,4473,203931,32820,120260,338722,12565,9580,1938,,224,,,,493,330,597,11638,330,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"PA",445317,200753,46530,,8217,,,,4077,185740,30247,109794,305276,11762,8576,1860,,207,,,,470,649,567,10546,649,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"PA",420114,188251,44658,,7857,,,,3880,175468,28867,103669,287578,11331,8576,1860,,207,,,,470,218,567,10546,218,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"PA",375431,168212,41307,,7224,,,,3575,155113,26536,94752,254143,10757,7799,1803,,192,,,,440,523,534,9700,523,,,,,,,,,,,,,,,,,,,,,,,,,,
