"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"PR",101327,,,,,,,,,101327,,,,2059,,,,,,,,,2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"PR",100765,,,,,,,,,100765,,,,2048,,,,,,,,,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"PR",100297,,,,,,,,,100297,,,,2036,,,,,,,,,2036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"PR",99519,,,,,,,,,99519,,,,2007,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"PR",99084,,,,,,,,,99084,,,,1979,,,,,,,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"PR",98428,,,,,,,,,98428,,,,1930,,,,,,,,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"PR",97609,,,,,,,,,97609,,,,1919,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"PR",96494,,,,,,,,,96494,,,,1897,,,,,,,,,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"PR",95839,,,,,,,,,95839,,,,1883,,,,,,,,,1883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"PR",94662,,,,,,,,,94662,,,,1853,,,,,,,,,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"PR",93624,,,,,,,,,93624,,,,1829,,,,,,,,,1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"PR",92244,,,,,,,,,92244,,,,1794,,,,,,,,,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"PR",91028,,,,,,,,,91028,,,,1773,,,,,,,,,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"PR",88513,,,,,,,,,88513,,,,1717,,,,,,,,,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"PR",87381,,,,,,,,,87381,,,,1703,,,,,,,,,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"PR",84639,,,,,,,,,84639,,,,1659,,,,,,,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"PR",83119,,,,,,,,,83119,,,,1630,,,,,,,,,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"PR",79612,,,,,,,,,79612,,,,1570,,,,,,,,,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"PR",78169,,,,,,,,,78169,,,,1545,,,,,,,,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"PR",75888,,,,,,,,,75888,,,,1484,,,,,,,,,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"PR",73227,,,,,,,,,73227,,,,1445,,,,,,,,,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"PR",70488,,,,,,,,,70488,,,,1408,,,,,,,,,1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"PR",68433,,,,,,,,,68433,,,,1368,,,,,,,,,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"PR",63686,,,,,,,,,63686,,,,1312,,,,,,,,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"PR",62431,,,,,,,,,62431,,,,1272,,,,,,,,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"PR",58962,,,,,,,,,58962,,,,1219,,,,,,,,,1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"PR",56671,,,,,,,,,56671,,,,1192,,,,,,,,,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"PR",53708,,,,,,,,,53708,,,,1144,,,,,,,,,1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"PR",51702,,,,,,,,,51702,,,,1094,,,,,,,,,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"PR",48725,,,,,,,,,48725,,,,1052,,,,,,,,,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"PR",47459,,,,,,,,,47459,,,,1017,,,,,,,,,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"PR",43910,,,,,,,,,43910,,,,971,,,,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"PR",42479,,,,,,,,,42479,,,,935,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"PR",39120,,,,,,,,,39120,,,,901,,,,,,,,,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"PR",38100,,,,,,,,,38100,,,,872,,,,,,,,,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201104,"PR",69020,,,,,,,,,69020,,,,850,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201101,"PR",66661,,,,,,,,,66661,,,,832,,,,,,,,,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201028,"PR",63587,,,,,,,,,63587,,,,813,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201025,"PR",62503,,,,,,,,,62503,,,,801,,,,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201021,"PR",58830,,,,,,,,,58830,,,,774,,,,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201018,"PR",57293,,,,,,,,,57293,,,,766,,,,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201014,"PR",55516,,,,,,,,,55516,,,,742,,,,,,,,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011,"PR",53671,,,,,,,,,53671,,,,730,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201007,"PR",51748,,,,,,,,,51748,,,,705,,,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201004,"PR",50675,,,,,,,,,50675,,,,686,,,,,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200930,"PR",48755,,,,,,,,,48755,,,,661,,,,,,,,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200927,"PR",46304,,,,,,,,,46304,,,,644,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200923,"PR",42660,,,,,,,,,42660,,,,617,,,,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200920,"PR",41838,,,,,,,,,41838,,,,608,,,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200916,"PR",38284,,,,,,,,,38284,,,,570,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200913,"PR",37380,,,,,,,,,37380,,,,539,,,,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200909,"PR",35507,,,,,,,,,35507,,,,500,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200906,"PR",34533,,,,,,,,,34533,,,,477,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200902,"PR",34003,,,,,,,,,34003,,,,443,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200830,"PR",32848,,,,,,,,,32848,,,,434,,,,,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200826,"PR",30744,,,,,,,,,30744,,,,404,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200823,"PR",29896,,,,,,,,,29896,,,,390,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200819,"PR",27934,,,,,,,,,27934,,,,356,,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200816,"PR",26006,,,,,,,,,26006,,,,335,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200812,"PR",24074,,,,,,,,,24074,,,,295,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200809,"PR",22121,,,,,,,,,22121,,,,279,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200805,"PR",19651,,,,,,,,,19651,,,,246,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
