"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,130,,20,,,,,,,,,,6,,,,,2105,,345,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,2105,,345,,,,,,,,,,47,,,,
20200528,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,150,,30,,,,,,,,,,9,,,,,2455,,520,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,2455,,520,,,,,,,,,,50,,,,
20200604,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,145,,30,,,,,,,,,,8,,,,,2455,,520,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,2455,,520,,,,,,,,,,48,,,,
20200611,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,165,,35,,,,,,,,,,9,,,,,2495,,625,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,2495,,625,,,,,,,,,,51,,,,
20200618,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,165,,35,,,,,,,,,,9,,,,,2495,,625,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,2495,,625,,,,,,,,,,51,,,,
20200625,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,175,,40,,,,,,,,,,10,,,,,2570,,675,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,2570,,675,,,,,,,,,,52,,,,
20200702,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,170,,40,,,,,,,,,,11,,,,,2650,,720,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,2650,,720,,,,,,,,,,52,,,,
20200709,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,170,,40,,,,,,,,,,10,,,,,2655,,725,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,2655,,725,,,,,,,,,,52,,,,
20200716,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,175,,40,,,,,,,,,,10,,,,,2660,,735,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,2660,,735,,,,,,,,,,52,,,,
20200723,"RI",,"Aggregate",,,,,,,,,,,,,,,,,,175,,40,,,,,,,,,,10,,,,,2660,,735,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,2660,,735,,,,,,,,,,52,,,,
