"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"RI",128121,59389,7780,31023,2342,309,0,1200,2332,23746,31023,73352,23746,2541,1816,104,207,37,1,0,1,1,374,207,1960,374,9020,4280,593,1886,167,20,0,39,203,1832,1886,5302,1832,802636,219702,18349,54284,8702,4717,521,3660,20203,472498,54284,275854,472498
20210303,"RI",127285,59389,7780,31023,2342,309,0,1200,2332,22910,31023,73352,22910,2534,1816,104,207,37,1,0,1,1,367,207,1960,367,8982,4280,593,1886,167,20,0,39,203,1794,1886,5302,1794,798827,219702,18349,54284,8702,4717,521,3660,20203,468689,54284,275854,468689
20210228,"RI",125622,58055,7679,30571,2290,290,0,1160,2291,23286,30571,71765,23286,2502,1754,103,200,37,1,0,1,1,405,200,1897,405,8900,4271,602,1875,164,19,0,40,204,1725,1875,5300,1725,791201,215231,18003,53422,8506,4690,511,3360,19969,467509,53422,270270,467509
20210224,"RI",124718,58055,7679,30571,2290,290,0,1160,2291,22382,30571,71765,22382,2487,1754,103,200,37,1,0,1,1,390,200,1897,390,8850,4271,602,1875,164,19,0,40,204,1675,1875,5300,1675,786854,215231,18003,53422,8506,4690,511,3360,19969,463162,53422,270270,463162
20210221,"RI",123145,56855,7556,30114,2238,280,0,1135,2249,22718,30114,70313,22718,2376,1710,103,195,36,1,0,1,1,329,195,1852,329,8870,4134,591,1847,157,17,0,36,200,1888,1847,5135,1888,778839,211190,17752,52654,8293,4659,507,3083,19720,460981,52654,265204,460981
20210217,"RI",122440,56855,7556,30114,2238,280,0,1135,2249,22013,30114,70313,22013,2352,1710,103,195,36,1,0,1,1,305,195,1852,305,8811,4134,591,1847,157,17,0,36,200,1829,1847,5135,1829,775240,211190,17752,52654,8293,4659,507,3083,19720,457382,52654,265204,457382
20210214,"RI",120821,55408,7408,29599,2164,264,0,1103,2199,22676,29599,68546,22676,2290,1658,100,188,35,1,0,1,1,306,188,1796,306,8689,3998,580,1819,153,16,0,30,195,1898,1819,4972,1898,766988,206662,17419,51704,8084,4625,505,2775,19420,455794,51704,259490,455794
20210210,"RI",119893,55408,7408,29599,2164,264,0,1103,2199,21748,29599,68546,21748,2259,1658,100,188,35,1,0,1,1,275,188,1796,275,8615,3998,580,1819,153,16,0,30,195,1824,1819,4972,1824,762405,206662,17419,51704,8084,4625,505,2775,19420,451211,51704,259490,451211
20210207,"RI",117891,53520,7225,29012,2068,255,0,1070,2133,22608,29012,66271,22608,2212,1600,99,182,34,1,0,1,1,294,182,1736,294,8468,3820,563,1784,147,13,0,30,196,1915,1784,4769,1915,752738,201590,17007,50658,7857,4572,499,2407,19090,449058,50658,253022,449058
20210203,"RI",116704,53520,7225,29012,2068,255,0,1070,2133,21421,29012,66271,21421,2198,1600,99,182,34,1,0,1,1,280,182,1736,280,8369,3820,563,1784,147,13,0,30,196,1816,1784,4769,1816,747804,201590,17007,50658,7857,4572,499,2407,19090,444124,50658,253022,444124
20210131,"RI",114438,48429,6787,28176,1955,238,0,955,1722,26176,28176,60086,26176,2154,1544,95,177,33,1,0,1,1,302,177,1675,302,8179,3459,541,1741,135,13,0,28,112,2150,1741,4288,2150,737890,194506,16495,49143,7577,4515,491,2074,18594,444495,49143,244252,444495
20210127,"RI",113009,48429,6787,28176,1955,238,0,955,1722,24747,28176,60086,24747,2135,1544,95,177,33,1,0,1,1,283,177,1675,283,8098,3459,541,1741,135,13,0,28,112,2069,1741,4288,2069,730629,194506,16495,49143,7577,4515,491,2074,18594,437234,49143,244252,437234
20210124,"RI",109735,45443,6529,27224,1869,221,0,891,1616,25942,27224,56569,25942,2083,1479,92,172,31,1,0,1,1,306,172,1605,306,7844,3233,527,1671,130,12,0,26,107,2138,1671,4035,2138,715438,187119,16035,47603,7238,4428,479,381,18219,433936,47603,233899,433936
