"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"SC",525865,238659,107296,,5178,,,,57311,117421,29233,307580,189052,8754,4727,2408,,54,,,,389,1176,211,6437,2106,20725,10646,7383,,166,,,,1166,1364,998,16674,3053,,,,,,,,,,,,,
20210303,"SC",519996,235488,106164,,5086,,,,56904,116354,28889,303313,187794,8546,4660,2366,,52,,,,382,1086,209,6340,1997,20488,10515,7309,,164,,,,1155,1345,987,16472,3029,,,,,,,,,,,,,
20210228,"SC",516823,233747,105469,,5035,,,,56575,115997,28677,300884,187262,8546,4625,2353,,51,,,,380,1137,207,6297,2042,20387,10455,7279,,162,,,,1142,1349,983,16377,3027,,,,,,,,,,,,,
20210224,"SC",509044,229736,103942,,4928,,,,55931,114507,28259,295571,185214,8398,4519,2278,,51,,,,367,1183,202,6130,2066,20117,10207,7149,,162,,,,1111,1488,963,16018,3136,,,,,,,,,,,,,
20210221,"SC",504149,227189,103049,,4874,,,,55578,113459,27996,292165,183988,8324,4519,2278,,51,,,,367,1109,202,6130,1992,19966,10207,7149,,162,,,,1111,1337,963,16018,2985,,,,,,,,,,,,,
20210217,"SC",492369,221376,100985,,4752,,,,54655,110601,27463,284547,180359,8117,4400,2229,,51,,,,356,1081,200,5976,1941,19572,9986,7038,,159,,,,1082,1307,944,15696,2932,,,,,,,,,,,,,
20210214,"SC",487293,218691,99929,,4691,,,,54121,109861,27217,280824,179252,7998,4338,2204,,50,,,,346,1060,199,5898,1901,19396,9900,6970,,159,,,,1070,1297,943,15553,2900,,,,,,,,,,,,,
20210210,"SC",473140,211672,97238,,4545,,,,53010,106675,26590,271840,174710,7742,4185,2150,,49,,,,322,1036,193,5709,1840,18941,9634,6826,,157,,,,1043,1281,924,15172,2845,,,,,,,,,,,,,
20210207,"SC",466373,208178,95812,,4457,,,,52398,105528,26222,267250,172901,7651,4125,2127,,49,,,,319,1031,190,5635,1826,18756,9518,6763,,157,,,,1036,1282,918,15012,2826,,,,,,,,,,,,,
20210203,"SC",450794,201406,93253,,4315,,,,48555,103265,25566,257956,167272,7394,3987,2061,,47,,,,285,1014,186,5424,1784,18324,9292,6637,,154,,,,978,1263,900,14649,2775,,,,,,,,,,,,,
20210131,"SC",443386,197690,91865,,4214,,,,47685,101932,25202,253046,165138,7042,3799,1987,,45,,,,254,957,180,5193,1669,18090,9170,6574,,152,,,,957,1237,896,14458,2736,,,,,,,,,,,,,
20210127,"SC",427231,190344,88638,,4058,,,,45879,98312,24453,242996,159782,6673,3582,1899,,43,,,,229,920,172,4908,1593,17580,8880,6418,,144,,,,927,1211,873,14032,2675,,,,,,,,,,,,,
20210124,"SC",418325,186491,86711,,3976,,,,44683,96464,24089,237772,156464,6547,3511,1863,,43,,,,221,909,168,4812,1567,17289,8717,6335,,144,,,,909,1184,862,13795,2632,,,,,,,,,,,,,
