"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"SD",113589,84776,2519,4145,1468,13518,,,1662,5501,4145,103943,5501,1900,1499,7,23,16,265,,,14,76,23,1801,76,6705,4785,134,170,72,1305,,,71,168,170,6367,168,,,,,,,,,,,,,
20210303,"SD",112833,84145,2505,4116,1463,13460,,,1653,5491,4116,103226,5491,1893,1494,7,23,16,264,,,14,75,23,1795,75,6654,4748,134,168,70,1295,,,70,169,168,6317,169,,,,,,,,,,,,,
20210228,"SD",112427,83802,2497,4099,1461,13429,,,1651,5488,4099,102840,5488,1888,1489,7,23,16,264,,,14,75,23,1790,75,6626,4725,133,166,70,1294,,,70,168,166,6292,168,,,,,,,,,,,,,
20210224,"SD",111808,83274,2491,4070,1455,13383,,,1645,5490,4070,102248,5490,1864,1472,7,23,16,258,,,14,74,23,1767,74,6570,4686,133,164,69,1281,,,70,167,164,6239,167,,,,,,,,,,,,,
20210221,"SD",111304,82878,2483,4057,1451,13341,,,1644,5450,4057,101797,5450,1863,1471,7,23,16,258,,,14,74,23,1766,74,6524,4651,131,163,69,1274,,,70,166,163,6195,166,,,,,,,,,,,,,
20210217,"SD",110685,82369,2465,4033,1442,13288,,,1636,5452,4033,101200,5452,1844,1457,7,22,16,254,,,14,74,22,1748,74,6466,4602,131,161,69,1266,,,68,169,161,6136,169,,,,,,,,,,,,,
20210214,"SD",110315,82062,2460,4024,1435,13271,,,1625,5438,4024,100853,5438,1844,1457,7,22,16,254,,,14,74,22,1748,74,6438,4578,131,161,69,1264,,,66,169,161,6108,169,,,,,,,,,,,,,
20210210,"SD",109580,81419,2443,4002,1427,13215,,,1622,5452,4002,100126,5452,1815,1434,7,22,16,248,,,14,74,22,1719,74,6397,4545,130,160,69,1258,,,65,170,160,6067,170,,,,,,,,,,,,,
20210207,"SD",109229,81112,2437,3996,1426,13185,,,1626,5447,3996,99786,5447,1809,1429,7,22,16,247,,,14,74,22,1713,74,6370,4522,131,160,69,1252,,,65,171,160,6039,171,,,,,,,,,,,,,
20210203,"SD",108639,80625,2426,3980,1423,13145,,,1617,5423,3980,99236,5423,1782,1405,7,22,16,243,,,14,75,22,1685,75,6321,4475,131,160,68,1251,,,65,171,160,5990,171,,,,,,,,,,,,,
