"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"TN",,"Aggregate",,,81,,,,,,810,,,,33,,,,,,,27,,,,,,174,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,2,,,,1,,,,
20200528,"TN",,"Aggregate",,,95,,,,,,852,,,,37,,,,,,,30,,,,,,221,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,2,,,,1,,,,
20200604,"TN",,"Aggregate",,,104,,,,,,915,,,,38,,,,,,,33,,,,,,230,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,2,,,,1,,,,
20200611,"TN",,"Aggregate",,,121,,,,,,1062,,,,48,,,,,,,34,,,,,,261,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,2,,,,1,,,,
20200618,"TN",,"Aggregate",569,,107,,275,,,,,,,,48,,,,,147,,25,,64,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,1,,,,
20200625,"TN",,"Aggregate",712,,120,,318,,,,,,,,48,,,,,147,,25,,64,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,1,,,,
20200702,"TN",,"Aggregate",,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,28,,,,,,,213,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,1688,,,,,,,,
20200709,"TN",,"Aggregate",,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,28,,,,,,,213,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,1688,,,,,,,,
20200716,"TN",,"Aggregate",,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,28,,,,,,,213,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,1688,,,,,,,,
20200723,"TN",,"Aggregate",,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,28,,,,,,,213,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,1688,,,,,,,,
