"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"TN",783484,489782,102220,,6937,1032,564,,61751,121198,48832,522046,212606,11547,8730,1994,,67,9,6,,385,356,303,10314,930,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"TN",777935,485671,101485,,6849,1025,553,,61586,120766,48584,517550,211801,11459,8663,1979,,63,9,6,,383,356,303,10230,926,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"TN",775004,481693,100731,,6805,1009,551,,61489,122726,48341,510926,215737,11411,8610,1963,,62,9,6,,382,379,301,10141,969,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"TN",768946,473668,98909,,6702,1004,542,,61023,127098,47788,496951,224207,11266,8474,1930,,60,9,6,,375,412,296,9916,1054,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"TN",760303,468620,97622,,6660,985,539,,60629,130082,47373,488511,229253,11133,8361,1904,,58,9,6,,375,420,295,9754,1084,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"TN",760303,465274,97173,,6596,978,534,,60499,129249,47197,485257,227849,10985,8248,1884,,57,9,6,,373,408,296,9640,1049,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"TN",757418,460125,95983,,6560,971,533,,60164,133082,46899,475168,235351,10933,8181,1877,,57,9,6,,369,434,294,9523,1116,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"TN",750409,455259,95163,,6488,962,517,,59936,132084,46623,470488,233298,10731,8039,1840,,56,9,6,,358,423,289,9368,1074,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"TN",744600,449475,94051,,6419,950,515,,59700,133490,46305,462392,235903,10469,7807,1785,,53,9,6,,347,462,281,9093,1095,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"TN",733216,442562,92873,,6302,937,504,,59248,130790,45894,456358,230964,10033,7474,1724,,51,9,5,,338,432,278,8751,1004,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"TN",727861,437584,91824,,6229,927,502,,58951,131844,45562,449339,232960,9650,7169,1675,,49,9,5,,320,423,270,8417,963,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"TN",715806,428745,90099,,6104,908,482,,58243,131225,45016,438365,232425,9316,6906,1634,,46,9,5,,303,413,262,8136,918,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"TN",708717,423101,88903,,5995,898,477,,57951,131392,44688,430781,233248,8859,6537,1567,,42,9,4,,300,400,254,7705,900,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"TN",694291,412767,86780,,5829,880,467,,57213,130355,43991,418875,231425,8556,6290,1517,,41,9,4,,288,407,249,7413,894,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"TN",685321,407366,85850,,5722,872,464,,56787,128260,43706,413943,227672,8391,6173,1497,,41,9,4,,285,382,248,7308,835,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"TN",665499,395401,83751,,5468,837,451,,55439,124152,42837,403891,218771,8148,6005,1454,,39,9,4,,275,362,243,7127,778,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"TN",653869,387419,82149,,5345,823,441,,54750,122942,42355,394951,216563,7785,5729,1391,,37,9,4,,264,351,233,6817,735,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"TN",625237,370618,79331,,5039,784,420,,52857,116188,41229,380432,203576,7381,5433,1327,,37,8,4,,252,320,228,6500,653,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"TN",608297,358470,51862,,4879,761,411,,51862,114691,40504,366448,201345,7025,5186,1283,,37,8,4,,238,269,222,6199,604,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"TN",580809,340235,74248,,4675,716,388,,49923,110624,39547,347477,193785,6810,5014,1250,,37,8,4,,231,266,217,5987,606,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"TN",564080,326253,71856,,4523,691,376,,48945,111436,38805,330356,194919,6512,4776,1206,,36,8,4,,220,262,212,5703,597,,,,,,,,,,,,,,,,,,,,,,,,,,
