"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"TX",2686818,25581,12672,27728,933,,,,428,2619476,27728,39614,2619476,44451,18276,4252,20453,898,,,,231,341,20453,23657,341,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"TX",2663414,25415,12626,27662,934,,,,422,2596355,27662,39397,2596355,43563,17662,4074,19735,858,,,,222,1012,19735,22816,1012,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"TX",2644024,25415,12626,27662,934,,,,422,2576965,27662,39397,2576965,42936,17662,4074,19735,858,,,,222,385,19735,22816,385,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"TX",2613792,24275,12369,27435,928,,,,400,2548385,27435,37972,2548385,41980,16598,3816,18648,800,,,,211,1907,18648,21425,1907,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"TX",2588101,24275,12369,27435,928,,,,400,2522694,27435,37972,2522694,41343,16598,3816,18648,800,,,,211,1270,18648,21425,1270,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"TX",2571063,24275,12369,27435,928,,,,400,2505656,27435,37972,2505656,40717,16598,3816,18648,800,,,,211,644,18648,21425,644,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"TX",2553127,24275,12369,27435,928,,,,400,2487720,27435,37972,2487720,40378,16598,3816,18648,800,,,,211,305,18648,21425,305,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"TX",2517453,23170,12018,27129,922,,,,385,2453829,27129,36495,2453829,39386,15719,3629,17824,735,,,,200,1279,17824,20283,1279,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"TX",2483742,23170,12018,27129,922,,,,385,2420118,27129,36495,2420118,38643,15719,3629,17824,735,,,,200,536,17824,20283,536,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"TX",2433110,22453,11750,26927,920,,,,365,2370695,26927,35488,2370695,37288,14709,3413,16964,690,,,,191,1321,16964,19003,1321,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"TX",2360632,22453,11750,26927,920,,,,365,2298217,26927,35488,2298217,36491,14709,3413,16964,690,,,,191,524,16964,19003,524,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"TX",2292732,21947,11474,26718,914,,,,353,2231326,26718,34688,2231326,35168,13544,3220,16092,648,,,,182,1482,16092,17594,1482,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"TX",2240526,21947,11474,26718,914,,,,353,2179120,26718,34688,2179120,34322,13544,3220,16092,648,,,,182,636,16092,17594,636,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"TX",2166283,21537,11296,26631,913,,,,346,2105560,26631,34092,2105560,32844,12344,3038,15286,595,,,,167,1414,15286,16144,1414,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"TX",2113962,21537,11296,26631,913,,,,346,2053239,26631,34092,2053239,32038,12344,3038,15286,595,,,,167,608,15286,16144,608,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"TX",2022635,21119,11098,26457,908,,,,348,1962705,26457,33473,1962705,30624,11226,2861,14500,550,,,,154,1333,14500,14791,1333,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"TX",1954406,21119,11098,26457,908,,,,348,1894476,26457,33473,1894476,29877,11226,2861,14500,550,,,,154,586,14500,14791,586,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"TX",1867163,20892,11024,26363,907,,,,342,1807635,26363,33165,1807635,28545,10395,2753,13956,504,,,,144,793,13956,13796,793,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"TX",1793341,20892,342,26363,907,,,,342,1733813,26363,33165,1733813,27917,10395,2753,13956,504,,,,144,165,13956,13796,165,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"TX",1737447,20770,11010,26322,907,,,,341,1678097,26322,33028,1678097,27088,9671,2632,13480,473,,,,133,699,13480,12909,699,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"TX",1668597,20770,11010,26322,907,,,,341,1609247,26322,33028,1609247,26472,9671,2632,13480,473,,,,133,83,13480,12909,83,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"TX",1636458,20523,10899,26198,907,,,,337,1577594,26198,32666,1577594,25900,8958,2515,12899,444,,,,122,962,12899,12039,962,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"TX",1581668,20523,10899,26198,907,,,,337,1522804,26198,32666,1522804,25348,8958,2515,12899,444,,,,122,410,12899,12039,410,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"TX",1519340,19552,10582,25189,892,,,,308,1462817,25189,31334,1462817,24394,8293,2405,12318,418,,,,117,843,12318,11233,843,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"TX",1472711,19552,10582,25189,892,,,,308,1416188,25189,31334,1416188,23911,8293,2405,12318,418,,,,117,360,12318,11233,360,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"TX",1283674,19214,10443,24913,886,,,,306,1227912,24913,30849,1227912,23081,7630,2316,11786,398,,,,112,839,11786,10456,839,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"TX",1249323,19214,10443,24913,886,,,,306,1193561,24913,30849,1193561,22594,7630,2316,11786,398,,,,112,352,11786,10456,352,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"TX",1200674,18965,10258,24618,882,,,,302,1145649,24618,30407,1145649,21756,7111,2238,11352,385,,,,109,561,11352,9843,561,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"TX",1157273,18965,10258,24618,882,,,,302,1102248,24618,30407,1102248,21357,7111,2238,11352,385,,,,109,162,11352,9843,162,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"TX",1130980,18716,10097,24266,875,,,,298,1076728,24266,29986,1076728,20950,6666,2169,10969,375,,,,105,666,10969,9315,666,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"TX",1094275,18716,10097,24266,875,,,,298,1040023,24266,29986,1040023,20556,6666,2169,10969,375,,,,105,272,10969,9315,272,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"TX",1048383,18258,9865,23718,860,,,,287,995395,23718,29270,995395,19833,6225,2081,10547,352,,,,103,525,10547,8761,525,,,,,,,,,,,,,,,,,,,,,,,,,,
20201115,"TX",1020721,18258,9865,23718,860,,,,287,967733,23718,29270,967733,19559,6225,2081,10547,352,,,,103,251,10547,8761,251,,,,,,,,,,,,,,,,,,,,,,,,,,
20201111,"TX",985380,18001,9737,23455,857,,,,283,933047,23455,28878,933047,19004,5918,2013,10209,338,,,,99,427,10209,8368,427,,,,,,,,,,,,,,,,,,,,,,,,,,
20201108,"TX",956234,18001,9737,23455,857,,,,283,903901,23455,28878,903901,18743,5918,2013,10209,338,,,,99,166,10209,8368,166,,,,,,,,,,,,,,,,,,,,,,,,,,
20201104,"TX",926400,17595,9533,22986,847,,,,273,875166,22986,28248,875166,18320,5626,1949,9925,326,,,,96,398,9925,7997,398,,,,,,,,,,,,,,,,,,,,,,,,,,
20201101,"TX",904855,17595,9533,22986,847,,,,273,853621,22986,28248,853621,18077,5626,1949,9925,326,,,,96,155,9925,7997,155,,,,,,,,,,,,,,,,,,,,,,,,,,
20201028,"TX",879994,17165,9392,22518,833,,,,259,829827,22518,27649,829827,17700,5375,1908,9672,318,,,,92,335,9672,7693,335,,,,,,,,,,,,,,,,,,,,,,,,,,
20201025,"TX",862375,17165,9392,22518,833,,,,259,812208,22518,27649,812208,17504,5375,1908,9672,318,,,,92,139,9672,7693,139,,,,,,,,,,,,,,,,,,,,,,,,,,
20201021,"TX",838809,16911,9286,22227,825,,,,256,789304,22227,27278,789304,17201,5164,1867,9464,307,,,,91,308,9464,7429,308,,,,,,,,,,,,,,,,,,,,,,,,,,
20201018,"TX",823779,16911,9286,22227,825,,,,256,774274,22227,27278,774274,17014,5164,1867,9464,307,,,,91,121,9464,7429,121,,,,,,,,,,,,,,,,,,,,,,,,,,
20201014,"TX",805082,16675,9193,21901,815,,,,250,756248,21901,26933,756248,16717,4984,1824,9219,304,,,,91,295,9219,7203,295,,,,,,,,,,,,,,,,,,,,,,,,,,
20201011,"TX",792478,16675,9193,21901,815,,,,250,743644,21901,26933,743644,16557,4984,1824,9219,304,,,,91,135,9219,7203,135,,,,,,,,,,,,,,,,,,,,,,,,,,
20201007,"TX",777556,16358,9027,21472,812,,,,242,729645,21472,26439,729645,16230,4813,1774,8916,295,,,,87,345,8916,6969,345,,,,,,,,,,,,,,,,,,,,,,,,,,
20201004,"TX",765894,16358,9027,21472,812,,,,242,717983,21472,26439,717983,16025,4813,1774,8916,295,,,,87,140,8916,6969,140,,,,,,,,,,,,,,,,,,,,,,,,,,
20200930,"TX",748967,15977,8888,21204,801,,,,242,701855,21204,25908,701855,15711,4629,1738,8618,288,,,,82,356,8618,6737,356,,,,,,,,,,,,,,,,,,,,,,,,,,
20200927,"TX",735132,15977,8888,21204,801,,,,242,688020,21204,25908,688020,15522,4629,1738,8618,288,,,,82,167,8618,6737,167,,,,,,,,,,,,,,,,,,,,,,,,,,
20200923,"TX",719599,15798,8797,21074,793,,,,241,672896,21074,25629,672896,15129,4552,1713,8488,286,,,,82,8,8488,6633,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20200920,"TX",688534,15399,8587,20728,789,,,,236,642795,20728,25011,642795,14893,4489,1691,8342,282,,,,81,8,8342,6543,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20200916,"TX",674772,14872,8297,20251,778,,,,231,630343,20251,24178,630343,14478,4373,1643,8096,279,,,,80,7,8096,6375,7,,,,,,,,,,,,,,,,,,,,,,,,,,
