"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"UT",374850,238411,5001,77215,7107,5016,8931,,26238,34321,77215,263314,34321,1976,1329,18,282,59,72,57,,119,119,282,1575,119,14891,9312,246,3268,349,459,765,,1114,360,3268,11263,360,2248121,1508818,29013,282286,42053,23644,32491,,131519,268832,282286,1697003,268832
20210303,"UT",372708,238411,5001,77215,7107,5016,8931,,26238,34321,77215,261172,34321,1955,1329,18,282,59,72,57,,119,119,282,1554,119,14783,9312,246,3268,349,459,765,,1114,360,3268,11155,360,2222755,1508818,29013,282286,42053,23644,32491,,131519,268832,282286,1671637,268832
20210228,"UT",371235,237249,4976,77011,7082,4994,8901,,26163,34323,77011,259901,34323,1935,1314,18,280,58,71,57,,119,117,280,1538,117,14695,9243,244,3259,345,456,765,,1111,359,3259,11077,359,2205791,1496032,28735,280181,41638,23474,32208,,130624,268119,280181,1657491,268119
20210224,"UT",368601,235221,4938,76643,7031,4946,8857,,26022,34283,76643,257675,34283,1879,1265,18,278,58,70,56,,117,116,278,1485,116,14554,9138,241,3237,340,454,763,,1105,356,3237,10961,356,2180594,1476598,28313,277019,41034,23194,31769,,129407,266848,277019,1636727,266848
20210221,"UT",366725,233792,4909,76375,7009,4911,8818,,25934,34238,76375,256112,34238,1852,1248,17,274,57,70,55,,116,113,274,1465,113,14445,9072,241,3216,338,449,756,,1100,349,3216,10880,349,2163613,1461584,27983,274596,40604,23016,31447,,128361,266148,274596,1622869,266148
20210217,"UT",363248,231126,4864,75868,6926,4874,8772,,25752,34122,75868,253258,34122,1806,1215,17,267,54,70,55,,114,110,267,1429,110,14294,8956,237,3194,334,447,756,,1093,346,3194,10754,346,2136588,1444185,27654,271781,40179,22813,31148,,127248,265520,271781,1599287,265520
20210214,"UT",361294,229636,4841,75583,6897,4857,8742,,25661,34035,75583,251676,34035,1794,1206,17,265,53,70,55,,113,111,265,1418,111,14189,8886,235,3171,333,445,751,,1090,342,3171,10676,342,2122197,1430344,27368,269447,39715,22638,30830,,126290,264333,269447,1588417,264333
20210210,"UT",357339,226664,4768,74997,6820,4797,8666,,25474,33871,74997,248471,33871,1765,1187,17,264,53,70,53,,113,104,264,1397,104,14007,8750,230,3145,329,437,749,,1084,341,3145,10521,341,2094809,1408639,26904,265792,38978,22341,30407,,124864,263287,265792,1565730,263287
20210207,"UT",354608,224646,4735,74595,6767,4772,8608,,25352,33706,74595,246307,33706,1736,1160,17,264,53,69,52,,113,104,264,1368,104,13862,8636,230,3125,325,434,742,,1081,342,3125,10395,342,2076035,1392956,26545,263092,38508,22111,30053,,123753,262415,263092,1550528,262415
20210203,"UT",350000,221173,4681,73946,6678,4734,8519,,25084,33500,73946,242554,33500,1697,1133,17,258,52,69,52,,110,100,258,1339,100,13648,8477,227,3088,324,431,736,,1065,336,3088,10224,336,2044811,1370131,26051,259341,37851,21803,29613,,122305,261513,259341,1523957,261513
