"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"VA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304,,654,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4304,,654,,186,,,,
20200528,"VA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614,,755,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614,,755,,197,,,,
20200604,"VA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5096,,816,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5096,,816,,217,,,,
20200611,"VA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369,,858,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369,,858,,224,,,,
20200618,"VA",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747,,945,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747,,945,,230,,,,
20200625,"VA",,"Aggregate",,,,,,,,,3729,,516,,81,,,,,,,,,,,,,1226,,171,,69,,,,,,,,,,,,,359,,77,,52,,,,,,,,,,,,,1358,,259,,33,,,,,,,,,,,,,1717,,336,,85,,,,
20200702,"VA",,"Aggregate",,,,,,,,,3867,,570,,83,,,,,,,,,,,,,1195,,177,,72,,,,,,,,,,,,,379,,82,,53,,,,,,,,,,,,,1448,,270,,34,,,,,,,,,,,,,1827,,352,,87,,,,
20200709,"VA",,"Aggregate",,,,,,,,,3977,,34,,93,,,,,,,,,,,,,1259,,184,,79,,,,,,,,,,,,,432,,656,,58,,,,,,,,,,,,,1438,,285,,34,,,,,,,,,,,,,1870,,941,,92,,,,
20200716,"VA",,"Aggregate",,,,,,,,,4153,,620,,98,,,,,,,,,,,,,1301,,186,,83,,,,,,,,,,,,,510,,93,,64,,,,,,,,,,,,,1445,,285,,35,,,,,,,,,,,,,1955,,378,,99,,,,
20200723,"VA",,"Aggregate",,,,,,,,,4302,,638,,112,,,,,,,,,,,,,1378,,189,,91,,,,,,,,,,,,,510,,86,,63,,,,,,,,,,,,,1478,,286,,37,,,,,,,,,,,,,1988,,372,,100,,,,
20200730,"VA",,"Aggregate",,,,,,,,,4501,,648,,117,,,,,,,,,,,,,1466,,200,,94,,,,,,,,,,,,,549,,82,,67,,,,,,,,,,,,,1487,,288,,38,,,,,,,,,,,,,2036,,370,,105,,,,
20200806,"VA",,"Aggregate",,,,,,,,,4746,,690,,121,,,,,,,,,,,,,1514,,204,,98,,,,,,,,,,,,,561,,90,,59,,,,,,,,,,,,,1499,,289,,38,,,,,,,,,,,,,2060,,379,,97,,,,
20200813,"VA",,"Aggregate",,,,,,,,,4963,,710,,127,,,,,,,,,,,,,1554,,207,,102,,,,,,,,,,,,,615,,89,,73,,,,,,,,,,,,,1522,,288,,40,,,,,,,,,,,,,2137,,377,,113,,,,
20200820,"VA",,"Aggregate",,,,,,,,,5136,,720,,136,,,,,,,,,,,,,1628,,208,,111,,,,,,,,,,,,,647,,96,,78,,,,,,,,,,,,,1553,,287,,43,,,,,,,,,,,,,2200,,383,,121,,,,
20200827,"VA",,"Aggregate",,,,,,,,,5276,,739,,140,,,,,,,,,,,,,1706,,213,,117,,,,,,,,,,,,,617,,97,,76,,,,,,,,,,,,,1564,,287,,44,,,,,,,,,,,,,2181,,384,,120,,,,
20200903,"VA",,"Aggregate",,,,,,,,,5434,,756,,146,,,,,,,,,,,,,1746,,220,,119,,,,,,,,,,,,,677,,103,,82,,,,,,,,,,,,,1613,,295,,44,,,,,,,,,,,,,2290,,398,,126,,,,
20200910,"VA",,"Aggregate",,,,,,,,,5592,,773,,149,,,,,,,,,,,,,1813,,221,,120,,,,,,,,,,,,,692,,106,,86,,,,,,,,,,,,,1637,,295,,44,,,,,,,,,,,,,2329,,401,,130,,,,
20200917,"VA",,"Aggregate",,,,,,,,,5780,,823,,153,,,,,,,,,,,,,1867,,226,,123,,,,,,,,,,,,,766,,107,,91,,,,,,,,,,,,,1693,,300,,48,,,,,,,,,,,,,2459,,407,,139,,,,
20200924,"VA",,"Aggregate",,,,,,,,,5988,,880,,158,,,,,,,,,,,,,1867,,226,,123,,,,,,,,,,,,,780,,126,,91,,,,,,,,,,,,,1786,,306,,48,,,,,,,,,,,,,2566,,432,,139,,,,
20201001,"VA",,"Aggregate",,,,,,,,,6271,,919,,160,,,,,,,,,,,,,1986,,254,,128,,,,,,,,,,,,,814,,114,,94,,,,,,,,,,,,,1887,,321,,54,,,,,,,,,,,,,2701,,435,,148,,,,
20201008,"VA",,"Aggregate",,,,,,,,,6414,,934,,164,,,,,,,,,,,,,2021,,258,,130,,,,,,,,,,,,,817,,119,,93,,,,,,,,,,,,,1952,,335,,55,,,,,,,,,,,,,2769,,454,,148,,,,
20201015,"VA",,"Aggregate",,,,,,,,,6751,,952,,170,,,,,,,,,,,,,2078,,259,,133,,,,,,,,,,,,,835,,123,,94,,,,,,,,,,,,,1974,,336,,58,,,,,,,,,,,,,2809,,459,,152,,,,
20201022,"VA",,"Aggregate",,,,,,,,,7010,,991,,172,,,,,,,,,,,,,2128,,268,,136,,,,,,,,,,,,,868,,124,,96,,,,,,,,,,,,,2012,,333,,58,,,,,,,,,,,,,2880,,457,,154,,,,
20201029,"VA",,"Aggregate",,,,,,,,,7272,,1042,,179,,,,,,,,,,,,,2211,,278,,139,,,,,,,,,,,,,932,,124,,102,,,,,,,,,,,,,2070,,338,,61,,,,,,,,,,,,,3002,,462,,163,,,,
20201105,"VA",,"Aggregate",,,,,,,,,7342,,1043,,180,,,,,,,,,,,,,2294,,278,,143,,,,,,,,,,,,,1248,,150,,116,,,,,,,,,,,,,2094,,338,,64,,,,,,,,,,,,,3342,,488,,180,,,,
