"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"VA",585700,235269,99166,76875,19984,756,,5823,15947,131880,76875,376945,131880,9596,6002,2262,640,337,24,,62,66,203,640,8753,203,24661,10858,6760,4376,1087,36,,194,494,856,4376,19429,856,,,,,,,,,,,,,
20210303,"VA",580108,232389,98005,76254,19631,747,,5763,15835,131484,76254,372370,131484,9326,5816,2198,623,334,21,,62,62,210,623,8493,210,24354,10687,6668,4349,1083,33,,193,486,855,4349,19150,855,,,,,,,,,,,,,
20210228,"VA",576050,230288,97025,75784,19328,735,,5717,15760,131413,75784,368853,131413,8552,5351,2003,579,309,18,,49,59,184,579,7789,184,24115,10547,6597,4338,1071,32,,187,484,859,4338,18918,859,,,,,,,,,,,,,
20210224,"VA",568946,226943,95548,75085,18938,723,,5649,15606,130454,75085,363407,130454,7807,4875,1836,536,281,17,,30,54,178,536,7093,178,23798,10359,6502,4316,1064,31,,183,478,865,4316,18617,865,,,,,,,,,,,,,
20210221,"VA",564115,224524,94455,74559,18648,708,,5606,15486,130129,74559,359427,130129,7331,4559,1724,515,261,16,,30,51,175,515,6641,175,23481,10193,6414,4297,1045,30,,180,470,852,4297,18332,852,,,,,,,,,,,,,
20210217,"VA",555592,220283,92612,73844,18255,698,,5567,15351,128982,73844,352766,128982,7075,4379,1638,494,252,12,,70,51,179,494,6402,179,23179,10033,6307,4281,1036,25,,195,457,845,4281,18053,845,,,,,,,,,,,,,
20210214,"VA",549999,217599,91385,73325,17990,682,,5509,15259,128250,73325,348424,128250,7012,4340,1624,491,251,11,,67,52,176,491,6345,176,22906,9901,6226,4260,1029,24,,193,456,817,4260,17829,817,,,,,,,,,,,,,
20210210,"VA",537319,212179,89047,72244,17470,661,,5409,15024,125285,72244,339790,125285,6932,4241,1599,489,247,12,,74,67,203,489,6240,203,22470,9655,6102,4225,1013,24,,188,465,798,4225,17447,798,,,,,,,,,,,,,
20210207,"VA",529125,208605,87476,71493,17199,652,,5336,14846,123518,71493,334114,123518,6778,4129,1547,484,239,12,,77,72,218,484,6076,218,22102,9458,6000,4201,992,23,,182,459,787,4201,17114,787,,,,,,,,,,,,,
20210203,"VA",513339,202210,84690,70216,16574,625,,5227,14473,119324,70216,323799,119324,6575,3980,1509,480,233,12,,77,71,213,480,5882,213,21638,9209,5880,4160,971,22,,182,449,765,4160,16713,765,,,,,,,,,,,,,
20210131,"VA",504779,198455,83135,69538,16230,611,,5159,14265,117386,69538,317855,117386,6464,3916,1483,471,227,12,,77,71,207,471,5786,207,21409,9093,5820,4145,951,22,,182,445,751,4145,16513,751,,,,,,,,,,,,,
20210127,"VA",488553,192140,80558,68233,15695,590,,5087,13855,112395,68233,307925,112395,6228,3772,1436,450,218,10,,75,67,200,450,5578,200,20986,8869,5720,4105,927,21,,180,432,732,4105,16149,732,,,,,,,,,,,,,
20210124,"VA",472447,186293,78004,67048,15179,578,,5020,13435,106890,67048,298509,106890,6078,3685,1397,440,213,10,,71,65,197,440,5441,197,20712,8726,5650,4094,914,19,,179,425,705,4094,15913,705,,,,,,,,,,,,,
20210120,"VA",455591,179665,75289,65801,14640,564,,4915,13054,101663,65801,288127,101663,5861,3539,1345,432,206,10,,68,64,197,432,5232,197,20231,8441,5550,4059,886,18,,176,414,687,4059,15485,687,,,,,,,,,,,,,
20210117,"VA",439305,173309,72530,64589,14124,545,,4863,12548,96797,64589,277919,96797,5729,3429,1332,429,203,10,,66,63,197,429,5103,197,19913,8267,5469,4036,879,18,,177,404,663,4036,15214,663,,,,,,,,,,,,,
20210113,"VA",412545,162723,68377,62317,13244,521,,4745,11674,88944,62317,261284,88944,5552,3301,1312,421,197,9,,66,60,186,421,4945,186,19470,8009,5381,3999,859,17,,175,394,636,3999,14835,636,,,,,,,,,,,,,
