"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"VI",2714,,,,,,,,,2714,,,2714,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"VI",2695,,,,,,,,,2695,,,2695,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"VI",2646,,,,,,,,,2646,,,2646,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"VI",2613,,,,,,,,,2613,,,2613,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"VI",2575,,,,,,,,,2575,,,2575,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"VI",2545,,,,,,,,,2545,,,2545,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"VI",2524,,,,,,,,,2524,,,2524,25,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"VI",2485,,,,,,,,,2485,,,2485,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"VI",2466,,,,,,,,,2466,,,2466,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"VI",2430,,,,,,,,,2430,,,2430,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"VI",2398,,,,,,,,,2398,,,2398,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"VI",2373,,,,,,,,,2373,,,2373,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"VI",2341,,,,,,,,,2341,,,2341,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"VI",2283,,,,,,,,,2283,,,2283,24,,,,,,,,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
