"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"VT",16083,12735,613,,746,20,,,414,1555,368,13160,2555,208,185,2,,5,1,,,2,13,0,179,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"VT",15487,12291,599,,717,17,,,384,1479,337,12682,2468,207,184,2,,5,1,,,2,13,0,178,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"VT",15198,12060,594,,699,17,,,375,1453,326,12436,2436,204,181,2,,5,1,,,2,13,0,176,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"VT",14768,11719,583,,672,15,,,359,1420,315,12089,2364,201,179,2,,5,1,,,2,12,0,174,27,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"VT",14493,11503,577,,649,15,,,354,1395,311,11849,2333,197,176,1,,5,1,,,2,12,0,171,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"VT",13996,11132,571,,605,15,,,332,1341,292,11448,2256,191,170,1,,5,1,,,2,12,0,165,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"VT",13677,10900,566,,600,15,,,323,1273,286,11200,2191,189,168,1,,5,1,,,2,12,0,163,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"VT",13122,10400,550,,581,15,,,295,1281,268,10800,2054,187,166,1,,5,1,,,2,12,0,161,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"VT",12900,10200,549,,574,15,,,288,1274,266,10600,2034,183,163,1,,4,1,,,2,12,0,158,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"VT",12329,9800,540,,569,13,,,276,1131,263,10100,1966,179,159,1,,4,1,,,2,12,0,154,25,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"VT",11965,9500,534,,560,13,,,259,1099,253,9800,1912,174,154,1,,4,1,,,2,12,0,150,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"VT",11379,9000,518,,550,12,,,236,1063,240,9300,1839,172,152,1,,4,1,,,2,12,0,148,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"VT",11033,8700,511,,549,12,,,224,1037,231,9000,1802,170,150,1,,4,1,,,2,12,0,146,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"VT",10471,8200,494,,537,12,,,209,1019,219,8500,1752,165,145,1,,4,1,,,2,12,0,142,23,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"VT",10057,7900,486,,520,12,,,190,949,202,8200,1655,163,143,1,,4,1,,,2,12,0,140,23,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"VT",9368,7400,449,,502,12,,,173,832,185,7700,1483,158,137,1,,4,1,,,2,13,0,136,22,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"VT",8967,7000,432,,492,10,,,167,866,183,7300,1484,156,137,1,,2,1,,,2,13,0,134,22,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"VT",8158,6400,406,,439,10,,,147,756,167,6700,1291,152,134,1,,2,1,,,2,12,0,131,21,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"VT",7793,6100,137,,413,10,,,137,737,157,6400,1236,140,124,1,,2,1,,,2,10,0,125,15,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"VT",7276,5800,366,,372,10,,,113,615,149,6000,1127,134,118,1,,2,1,,,2,10,0,120,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"VT",7029,5600,358,,359,9,,,110,593,148,5800,1081,127,114,1,,2,1,,,2,7,0,116,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"VT",6680,5300,340,,328,9,,,102,601,142,5500,1038,117,107,1,,2,1,,,2,4,0,108,9,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"VT",6443,5100,326,,310,9,,,99,599,140,5300,1003,111,103,1,,2,1,,,2,2,0,105,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"VT",6009,4800,283,,278,7,,,94,547,129,4900,980,105,90,1,,2,1,,,2,9,0,94,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"VT",5753,4600,264,,256,6,,,92,535,128,4700,925,95,82,1,,2,1,,,2,7,0,87,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"VT",5285,4300,244,,212,6,,,84,439,119,4400,766,86,76,0,,2,1,,,2,5,0,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"VT",5015,4100,240,,195,6,,,78,396,115,4200,700,79,73,0,,2,1,,,2,1,0,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"VT",4461,3700,230,,159,5,,,67,300,104,3700,657,74,68,,,2,1,,,2,1,0,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,
