"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"WA",344532,96572,10932,62537,12525,3231,3691,5823,3133,146088,62537,135907,146088,5041,3571,161,596,383,107,81,59,71,12,596,4433,12,19599,6056,623,2621,871,236,355,239,220,8378,2621,8600,8378,,,,,,,,,,,,,
20210303,"WA",342236,95657,10859,62189,12422,3190,3657,5791,3119,145352,62189,134695,145352,5012,3548,160,595,379,107,80,59,72,12,595,4405,12,19466,6008,621,2609,864,234,353,237,219,8321,2609,8536,8321,,,,,,,,,,,,,
20210228,"WA",339773,94878,10803,61827,12306,3166,3640,5760,3103,144290,61827,133656,144290,4956,3500,157,592,376,107,80,58,72,14,592,4350,14,19319,5944,617,2597,854,232,351,238,218,8268,2597,8454,8268,,,,,,,,,,,,,
20210224,"WA",336565,93664,10729,61450,12161,3136,3610,5719,3069,143027,61450,132088,143027,4912,3470,156,589,371,105,78,58,71,14,589,4309,14,19211,5897,615,2595,846,232,348,237,219,8222,2595,8394,8222,,,,,,,,,,,,,
20210221,"WA",333794,92671,10660,61150,12037,3102,3576,5689,3052,141857,61150,130787,141857,4822,3408,151,578,364,104,76,57,71,13,578,4231,13,19033,5834,610,2580,840,228,345,235,217,8144,2580,8309,8144,,,,,,,,,,,,,
20210217,"WA",330807,91749,10595,60818,11948,3050,3549,5637,3028,140433,60818,129556,140433,4759,3368,149,573,353,104,75,57,68,12,573,4174,12,18861,5779,610,2575,834,226,343,231,217,8046,2575,8240,8046,,,,,,,,,,,,,
20210214,"WA",328047,90732,10527,60457,11784,3015,3511,5583,3008,139430,60457,128160,139430,4675,3304,147,564,347,104,74,56,67,12,564,4099,12,18643,5713,604,2560,826,224,341,227,216,7932,2560,8151,7932,,,,,,,,,,,,,
20210210,"WA",324706,89803,10455,60102,11646,2983,3465,5519,2987,137746,60102,126858,137746,4603,3260,145,549,340,102,73,55,67,12,549,4042,12,18516,5690,598,2551,825,224,339,223,217,7849,2551,8116,7849,,,,,,,,,,,,,
20210207,"WA",320146,88520,10343,59598,11438,2921,3404,5459,2972,135491,59598,125057,135491,4449,3158,140,519,335,96,72,52,65,12,519,3918,12,18283,5606,592,2520,808,220,333,222,214,7768,2520,7995,7768,,,,,,,,,,,,,
20210203,"WA",316294,87216,10224,59013,11272,2867,3355,5391,2957,133999,59013,123282,133999,4388,3113,138,514,328,96,72,52,64,11,514,3863,11,17987,5540,587,2492,799,218,331,221,213,7586,2492,7909,7586,,,,,,,,,,,,,
20210131,"WA",311597,85656,10092,58287,11036,2798,3295,5317,2924,132192,58287,121118,132192,4285,3043,136,501,315,94,69,52,63,12,501,3772,12,17706,5469,581,2474,787,218,327,217,208,7425,2474,7807,7425,,,,,,,,,,,,,
20210127,"WA",305289,83910,9962,57551,10857,2738,3237,5257,2891,128886,57551,118852,128886,4211,2984,135,497,311,92,69,50,61,12,497,3702,12,17449,5381,574,2458,784,216,325,215,207,7289,2458,7702,7289,,,,,,,,,,,,,
20210124,"WA",300198,79486,9007,56077,10554,2399,3174,4845,2636,132020,56077,112101,132020,4114,2914,128,492,304,88,69,48,60,11,492,3611,11,17129,5231,557,2419,753,208,322,190,202,7247,2419,7463,7247,,,,,,,,,,,,,
20210120,"WA",294017,77977,8869,55388,10319,2353,3120,4746,2605,128640,55388,109989,128640,3940,2798,125,475,284,80,65,45,57,11,475,3454,11,16848,5167,554,2400,741,200,319,185,199,7083,2400,7365,7083,,,,,,,,,,,,,
20210117,"WA",289939,76340,8736,54564,10078,2307,3065,4658,2574,127617,54564,107758,127617,3903,2592,121,458,263,78,61,43,56,231,458,3214,231,16558,5092,549,2379,728,194,317,181,196,6922,2379,7257,6922,,,,,,,,,,,,,
20210113,"WA",281202,74235,8547,53468,9743,2228,3002,4537,2533,122909,53468,104825,122909,3838,2722,124,467,276,79,60,43,57,10,467,3361,10,16080,5012,544,2356,715,192,315,182,196,6568,2356,7156,6568,,,,,,,,,,,,,
20210110,"WA",271595,70969,8312,51864,9300,2162,2896,4363,2471,119258,51864,100473,119258,3699,2614,120,457,264,78,57,43,57,9,457,3233,9,15771,4874,539,2318,687,186,312,175,193,6487,2318,6966,6487,,,,,,,,,,,,,
20210106,"WA",260752,68250,8104,50712,8976,2094,2826,4208,2431,113151,50712,96889,113151,3605,2538,117,450,256,78,57,43,57,9,450,3146,9,15415,4811,533,2292,676,185,308,172,192,6246,2292,6877,6246,,,,,,,,,,,,,
20210103,"WA",255396,66421,2392,49747,8699,2060,2774,4101,2392,111225,49747,94424,111225,3461,2430,108,442,244,74,57,43,54,9,442,3010,9,15111,4704,527,2270,662,182,302,168,190,6106,2270,6735,6106,,,,,,,,,,,,,
20201230,"WA",242330,64289,7753,48516,8348,2012,2683,3968,2329,102432,48516,91382,102432,3420,2405,107,434,242,73,55,43,53,8,434,2978,8,14571,4625,515,2249,642,178,295,167,189,5711,2249,6611,5711,,,,,,,,,,,,,
20201227,"WA",236719,62082,7587,47359,8072,1959,2619,3869,2268,100904,47359,79532,109828,3184,2229,94,419,224,68,50,41,52,7,419,2758,7,14096,4508,513,2215,620,170,291,165,188,5426,2215,6455,5426,,,,,,,,,,,,,
20201223,"WA",230202,60860,7473,46805,7856,1923,2580,3791,2236,96678,46805,86719,96678,3162,2210,93,417,224,68,50,41,52,7,417,2738,7,13617,4431,502,2189,608,167,288,158,188,5086,2189,6342,5086,,,,,,,,,,,,,
20201220,"WA",222600,58657,7251,45502,7473,1848,2519,3645,2198,93507,45502,83591,93507,3104,2172,92,411,214,66,50,40,52,7,411,2686,7,13391,4310,493,2155,581,162,286,154,183,5067,2155,6169,5067,,,,,,,,,,,,,
20201216,"WA",205069,54986,6955,41271,7000,1722,2440,3394,2084,85217,41271,78581,85217,2953,2056,89,390,202,63,49,38,51,15,390,2548,15,12773,4143,471,2073,560,155,282,141,175,4773,2073,5927,4773,,,,,,,,,,,,,
20201213,"WA",202063,53662,6814,40500,6764,1695,2405,3315,2050,84858,40500,76705,84858,2879,2004,86,383,198,60,46,38,50,14,383,2482,14,12525,4073,462,2043,549,153,277,140,172,4656,2043,5826,4656,,,,,,,,,,,,,
20201209,"WA",189863,51144,6543,38716,6361,1599,2334,3157,1976,78033,38716,73114,78033,3016,2062,91,395,201,63,49,41,52,62,395,2559,62,11996,3932,452,2000,539,148,269,134,169,4353,2000,5643,4353,,,,,,,,,,,,,
20201206,"WA",177447,48982,6303,37505,6032,1555,2253,2999,1904,69914,37505,70028,69914,2925,2002,89,387,194,65,48,39,51,50,387,2488,50,11544,3822,440,1956,519,145,265,133,165,4099,1956,5489,4099,,,,,,,,,,,,,
