"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"WI",621654,481041,40549,,15553,7580,,,34002,42929,63651,470050,87953,7106,6144,478,,127,97,,,106,154,389,6404,313,26457,18668,3023,2491,563,410,,,312,990,2491,22976,990,,,,,,,,,,,,,
20210303,"WI",619087,478865,40406,,15458,7553,,,33891,42914,63408,467869,87810,7069,6111,479,,126,95,,,106,152,388,6367,314,26279,18527,3012,2478,561,408,,,310,983,2478,22818,983,,,,,,,,,,,,,
20210228,"WI",617367,477418,40309,,15397,7542,,,33818,42883,63274,466377,87716,7014,6062,477,,124,95,,,105,151,386,6314,314,26127,18426,2992,2463,557,406,,,304,979,2463,22685,979,,,,,,,,,,,,,
20210224,"WI",614260,474905,40150,,15302,7521,,,33671,42711,63039,463814,87407,6936,5992,470,,122,95,,,107,150,383,6238,315,25893,18264,2971,2438,552,402,,,300,966,2438,22489,966,,,,,,,,,,,,,
20210221,"WI",612240,473063,40057,,15232,7499,,,33617,42772,62860,461969,87411,6871,5923,466,,122,95,,,108,157,381,6162,328,25743,18166,2947,2417,547,401,,,301,964,2417,22362,964,,,,,,,,,,,,,
20210217,"WI",609189,468197,39887,,15131,7464,,,33461,45049,62618,456554,90017,6798,5831,461,,121,93,,,107,185,379,6060,359,25498,17921,2924,2402,545,395,,,294,1017,2402,22079,1017,,,,,,,,,,,,,
20210214,"WI",607213,466464,39764,,15034,7447,,,33474,45030,62491,454808,89914,6745,5796,446,,119,92,,,108,184,376,6015,354,25302,17765,2911,2392,541,394,,,292,1007,2392,21903,1007,,,,,,,,,,,,,
20210210,"WI",603255,460947,39056,,14766,7348,,,32639,48499,61328,446392,95535,6705,5751,443,,119,90,,,104,198,376,5945,384,25090,17560,2873,2346,532,389,,,291,1099,2346,21645,1099,,,,,,,,,,,,,
20210207,"WI",600782,458861,38919,,14656,7333,,,32515,48498,61116,444232,95434,6613,5670,440,,118,87,,,101,197,371,5860,382,24885,17402,2859,2329,529,385,,,287,1094,2329,21462,1094,,,,,,,,,,,,,
20210203,"WI",595756,454932,38610,,14456,7289,,,32266,48203,60701,440262,94793,6496,5571,432,,114,87,,,97,195,364,5755,377,24554,17145,2833,2308,517,380,,,285,1086,2308,21160,1086,,,,,,,,,,,,,
20210131,"WI",592140,452036,38403,,14302,7258,,,32097,48044,60411,437371,94358,6434,5522,427,,112,86,,,95,192,361,5705,368,24298,16946,2811,2292,515,371,,,284,1079,2292,20927,1079,,,,,,,,,,,,,
20210127,"WI",585600,446875,38030,,14077,7192,,,31781,47645,59874,432187,93539,6302,5390,420,,111,82,,,101,198,357,5569,376,23976,16694,2788,2271,511,364,,,283,1065,2271,20640,1065,,,,,,,,,,,,,
20210124,"WI",581377,443294,37802,,13937,7151,,,31664,47529,59494,428473,93410,6190,5282,414,,111,82,,,100,201,352,5464,374,23692,16486,2762,2248,506,362,,,280,1048,2248,20396,1048,,,,,,,,,,,,,
20210120,"WI",573119,436829,37335,,13660,7058,,,31252,46985,58838,421877,92404,6035,5116,412,,110,80,,,105,212,347,5291,397,23363,16235,2740,2227,495,353,,,280,1033,2227,20103,1033,,,,,,,,,,,,,
