"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,153,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,183,,,,153,,,,,,,,10,,,,
20200528,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,150,,,,,,32,,10,,,,,,,,,,,,,,,,,,,,,,183,,,,150,,,,,,32,,10,,,,
20200604,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,
20200611,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,
20200618,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200625,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200702,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200709,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,151,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,234,,,,151,,,,,,43,,32,,,,
20200716,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,
20200723,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,
20200730,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,180,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,247,,,,180,,,,,,43,,32,,,,
20200806,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,220,,,,,,48,,124,,,,,,,,,,,,,,,,,,,,,,289,,,,220,,,,,,48,,124,,,,
20200813,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,220,,,,,,48,,124,,,,,,,,,,,,,,,,,,,,,,340,,,,220,,,,,,48,,124,,,,
20200820,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,328,,,,,,71,,123,,,,,,,,,,,,,,,,,,,,,,478,,,,328,,,,,,71,,123,,,,
20200827,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,458,,,,,,82,,123,,,,,,,,,,,,,,,,,,,,,,644,,,,458,,,,,,82,,123,,,,
20200903,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,,,,503,,,,,,114,,123,,,,,,,,,,,,,,,,,,,,,,722,,,,503,,,,,,114,,123,,,,
20200910,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,555,,,,,,123,,123,,,,,,,,,,,,,,,,,,,,,,780,,,,555,,,,,,123,,123,,,,
20200917,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,,,,603,,,,,,130,,123,,,,,,,,,,,,,,,,,,,,,,833,,,,603,,,,,,130,,123,,,,
20200924,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,654,,,,,,153,,123,,,,,,,,,,,,,,,,,,,,,,880,,,,654,,,,,,153,,123,,,,
20201001,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,699,,,,,,160,,123,,,,,,,,,,,,,,,,,,,,,,913,,,,699,,,,,,160,,123,,,,
20201008,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947,,,,729,,,,,,167,,123,,,,,,,,,,,,,,,,,,,,,,947,,,,729,,,,,,167,,123,,,,
20201015,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,,,,780,,,,,,175,,123,,,,,,,,,,,,,,,,,,,,,,1015,,,,780,,,,,,175,,123,,,,
20201022,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,854,,,,,,178,,123,,,,,,,,,,,,,,,,,,,,,,1131,,,,854,,,,,,178,,123,,,,
20201029,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,,,956,,,,,,187,,123,,,,,,,,,,,,,,,,,,,,,,1250,,,,956,,,,,,187,,123,,,,
20201105,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405,,,,1060,,,,,,201,,106,,,,,,,,,,,,,,,,,,,,,,1405,,,,1060,,,,,,201,,106,,,,
20201112,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405,,,,1060,,,,,,201,,107,,,,,,,,,,,,,,,,,,,,,,1405,,,,1060,,,,,,201,,107,,,,
20201119,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,,,,1257,,,,,,234,,109,,,,,,,,,,,,,,,,,,,,,,1533,,,,1257,,,,,,234,,109,,,,
20201126,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,,,,1381,,,,,,267,,111,,,,,,,,,,,,,,,,,,,,,,1707,,,,1381,,,,,,267,,111,,,,
20201203,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956,,,,1557,,,,,,280,,115,,,,,,,,,,,,,,,,,,,,,,1956,,,,1557,,,,,,280,,115,,,,
20201210,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,,,,1743,,,,,,327,,116,,,,,,,,,,,,,,,,,,,,,,2225,,,,1743,,,,,,327,,116,,,,
20201217,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258,,,,1767,,,,,,329,,116,,,,,,,,,,,,,,,,,,,,,,2258,,,,1767,,,,,,329,,116,,,,
20201224,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,,,,2249,,,,,,395,,118,,,,,,,,,,,,,,,,,,,,,,2728,,,,2249,,,,,,395,,118,,,,
20201231,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,,,,2455,,,,,,430,,121,,,,,,,,,,,,,,,,,,,,,,2978,,,,2455,,,,,,430,,121,,,,
20210107,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,,,,2455,,,,,,430,,121,,,,,,,,,,,,,,,,,,,,,,2978,,,,2455,,,,,,430,,121,,,,
20210114,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3466,,,,2769,,,,,,522,,122,,,,,,,,,,,,,,,,,,,,,,3466,,,,2769,,,,,,522,,122,,,,
20210121,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553,,,,2892,,,,,,578,,122,,,,,,,,,,,,,,,,,,,,,,3553,,,,2892,,,,,,578,,122,,,,
20210128,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3715,,,,2995,,,,,,620,,123,,,,,,,,,,,,,,,,,,,,,,3715,,,,2995,,,,,,620,,123,,,,
20210204,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3907,,,,3099,,,,,,643,,123,,,,,,,,,,,,,,,,,,,,,,3907,,,,3099,,,,,,643,,123,,,,
20210211,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4047,,,,3197,,,,,,670,,123,,,,,,,,,,,,,,,,,,,,,,4047,,,,3197,,,,,,670,,123,,,,
20210218,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014,,,,3213,,,,,,681,,123,,,,,,,,,,,,,,,,,,,,,,4014,,,,3213,,,,,,681,,123,,,,
20210225,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099,,,,3301,,,,,,685,,123,,,,,,,,,,,,,,,,,,,,,,4099,,,,3301,,,,,,685,,123,,,,
20210304,"WV",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4109,,,,3303,,,,,,686,,123,,,,,,,,,,,,,,,,,,,,,,4109,,,,3303,,,,,,686,,123,,,,
20200521,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,153,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,183,,,,153,,,,,,,,10,,,,
20200528,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,150,,,,,,32,,10,,,,,,,,,,,,,,,,,,,,,,183,,,,150,,,,,,32,,10,,,,
20200604,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,
20200611,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,224,,,,147,,,,,,43,,14,,,,
20200618,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200625,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200702,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,,,,,,,,,,,,,,,,,,,225,,,,147,,,,,,43,,14,,,,
20200709,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,151,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,234,,,,151,,,,,,43,,32,,,,
20200716,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,
20200723,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,240,,,,172,,,,,,43,,32,,,,
20200730,"WV",,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,180,,,,,,43,,32,,,,,,,,,,,,,,,,,,,,,,247,,,,180,,,,,,43,,32,,,,
20200806,"WV",20200731,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,,220,,,,,,48,,41,,,,,,,,,,,,,,,,,,,,,,289,,,,220,,,,,,48,,41,,,,
20200813,"WV",44050,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,220,,,,,,48,,50,,,,,,,,,,,,,,,,,,,,,,340,,,,220,,,,,,48,,50,,,,
20200820,"WV",20200819,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,328,,,,,,71,,55,,,,,,,,,,,,,,,,,,,,,,478,,,,328,,,,,,71,,55,,,,
20200827,"WV",20200827,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,458,,,,,,82,,62,,,,,,,,,,,,,,,,,,,,,,644,,,,458,,,,,,82,,62,,,,
20200903,"WV",20200902,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,,,,503,,,,,,114,,69,,,,,,,,,,,,,,,,,,,,,,722,,,,503,,,,,,114,,69,,,,
20200910,"WV",20200908,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,555,,,,,,123,,71,,,,,,,,,,,,,,,,,,,,,,780,,,,555,,,,,,123,,71,,,,
20200917,"WV",20200916,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,,,,603,,,,,,130,,75,,,,,,,,,,,,,,,,,,,,,,833,,,,603,,,,,,130,,75,,,,
20200924,"WV",20200923,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,654,,,,,,153,,77,,,,,,,,,,,,,,,,,,,,,,880,,,,654,,,,,,153,,77,,,,
20201001,"WV",20200930,"Cumulative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,699,,,,,,160,,88,,,,,,,,,,,,,,,,,,,,,,913,,,,699,,,,,,160,,88,,,,
