"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"WV",133445,111202,4623,,,,,,3092,14528,,,133445,2325,2049,57,,,,,,34,185,,,2325,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"WV",132416,110202,4552,,,,,,3031,14631,,,132416,2309,2034,57,,,,,,34,184,,,2309,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"WV",131855,86958,3487,,,,,,2565,38845,,,131855,2300,1653,38,,,,,,30,579,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"WV",130382,85861,3427,,,,,,2477,38617,,,130382,2285,1639,38,,,,,,30,578,,,2285,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"WV",129616,85011,3387,,,,,,2485,38733,,,129616,2261,1622,36,,,,,,28,575,,,2261,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"WV",128405,83849,3317,,,,,,2435,38804,,,128405,2225,1588,36,,,,,,27,574,,,2225,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"WV",127588,83104,3284,,,,,,2421,38779,,,127588,2210,1571,36,,,,,,27,576,,,2210,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"WV",125951,81807,3214,,,,,191,2159,38580,,,125951,2175,1540,36,,,,,2,24,573,,,2175,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"WV",124708,80454,3145,,,,,181,2136,38792,,,124708,2129,1501,34,,,,,2,23,569,,,2129,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"WV",122470,78220,2997,,,,,174,2071,39008,,,122470,2058,1435,32,,,,,2,22,567,,,2058,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"WV",121001,76388,2888,,,,,170,2070,39485,,,,2024,1401,31,,,,,2,20,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"WV",117775,73760,2736,,,,,158,1989,39132,,,,1953,1334,31,,,,,2,20,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"WV",115307,71635,2664,,,,,152,1953,38903,,,,1895,1293,29,,,,,2,19,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"WV",111677,68839,2542,,,,,145,1830,38321,,,,1836,1248,25,,,,,2,19,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"WV",108821,66444,2451,,,,,139,1786,38001,,,,1776,1201,23,,,,,2,19,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"WV",104392,57644,2162,,,,,23,1330,43233,,,,1671,1112,23,,,,,0,17,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"WV",101212,56497,2138,,,,,17,1319,41241,,,,1582,1059,21,,,,,0,17,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"WV",94678,54973,2516,,,,,5,878,36306,,,,1481,995,24,,,,,,9,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"WV",91058,53150,2469,,,,,2,2469,34600,,,,1376,930,23,,,,,,9,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"WV",84225,51413,2057,,,,,,1098,29657,,,,1318,896,20,,,,,,11,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"WV",80710,48965,2006,,,,,,1013,28726,,,,1254,859,20,,,,,,11,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"WV",75936,47413,1959,,,,,,992,25572,,,,1194,814,20,,,,,,11,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"WV",72342,45119,1889,,,,,,957,24377,,,,1128,773,19,,,,,,11,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"WV",66849,42230,1797,,,,,,913,21909,,,,1039,724,19,,,,,,10,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"WV",63217,39938,1727,,,,,,868,20684,,,,968,686,18,,,,,,9,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"WV",58462,36968,1649,,,,,,819,19026,,,,901,660,17,,,,,,9,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"WV",54997,34648,1589,,,,,,777,17983,,,,838,627,16,,,,,,9,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201202,"WV",49905,31877,1524,,,,,,732,15772,,,,778,587,16,,,,,,8,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201129,"WV",46997,30073,1482,,,,,,15442,0,,,,729,555,16,,,,,,158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201125,"WV",43050,28399,1443,,,,,,13208,0,,,,695,536,15,,,,,,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201122,"WV",40478,26616,1400,,,,,,12462,0,,,,662,504,15,,,,,,143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201118,"WV",36277,24384,1279,,,,,,10614,0,,,,612,471,15,,,,,,126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
