"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"WY",,"Aggregate",6,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"WY",,"Aggregate",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"WY",,"Aggregate",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200611,"WY",,"Aggregate",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200618,"WY",,"Aggregate",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200625,"WY",,"Aggregate",16,,6,,12,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200702,"WY",,"Aggregate",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200709,"WY",,"Aggregate",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200716,"WY",,"Aggregate",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,"WY",,"Aggregate",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,"WY",,"Aggregate",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,"WY",,"Aggregate",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,"WY",,"Aggregate",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200820,"WY",,"Aggregate",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200827,"WY",,"Aggregate",20,,7,,15,,,,,,,,5,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,,,,,,,1,,,,,3,,,,9,,,,,,,,1,,,,
20200903,"WY",,"Aggregate",20,,7,,15,,,,,,,,5,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,,,,,,,1,,,,,3,,,,9,,,,,,,,1,,,,
20200910,"WY",,"Aggregate",20,,7,,15,,,,,,,,5,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,,,,,,,1,,,,,3,,,,9,,,,,,,,1,,,,
20200917,"WY",,"Aggregate",20,,7,,15,,,,,,,,5,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,,22,,,,,,,,1,,,,,12,,,,22,,,,,,,,1,,,,
20200924,"WY",,"Aggregate",23,,7,,15,,,,,,,,5,,,,,19,,,,9,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12,,,,22,,,,,,,,1,,,,,12,,,,22,,,,,,,,1,,,,
20201001,"WY",,"Aggregate",35,,7,,24,,,,,,,,7,,,,,22,1,,,13,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,12,,,,22,,,,,,,,1,,,,,12,,,,22,,,,,,,,1,,,,
20201008,"WY",,"Aggregate",50,,7,,38,,,,,,,,10,,,,,27,1,1,,16,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201015,"WY",,"Aggregate",86,,8,,64,,,,,,,,14,,,,,38,1,1,,16,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201022,"WY",,"Aggregate",137,,10,,79,,,,,,,,15,,,,,42,1,2,,19,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201029,"WY",,"Aggregate",186,,16,,91,,,,,,,,15,,,,,44,1,2,,22,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201105,"WY",,"Aggregate",186,,16,,91,,,,,,,,15,,,,,44,1,2,,22,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201112,"WY",,"Aggregate",407,,65,,331,,,,,,,,18,,,,,65,1,4,,40,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,2,,,,,15,,,,24,,,,,,,,2,,,,
20201119,"WY",,"Aggregate",457,,53,,363,,,,,,,,20,,,,,77,1,4,,54,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201126,"WY",,"Aggregate",457,,53,,363,,,,,,,,20,,,,,77,1,4,,54,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201203,"WY",,"Aggregate",605,1,77,,534,,,,,,,,25,,,,,90,1,4,,61,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201210,"WY",,"Aggregate",692,3,77,,608,,,,,,,,27,,,,,118,1,4,,69,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201217,"WY",,"Aggregate",752,34,102,,657,35,,,,,,,28,,,,,119,1,4,,83,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201224,"WY",,"Aggregate",752,34,102,,657,35,,,,,,,28,,,,,119,1,4,,83,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20201231,"WY",,"Aggregate",851,9,126,,727,51,,,,,,,28,,,,,150,13,6,,102,35,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210107,"WY",,"Aggregate",920,9,134,,779,46,,,,,,,28,,,,,152,13,6,,90,24,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210114,"WY",,"Aggregate",956,9,136,,799,48,,,,,,,28,,,,,166,20,6,,90,30,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210121,"WY",,"Aggregate",969,9,136,,818,48,,,,,,,28,,,,,165,25,5,,87,26,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210128,"WY",,"Aggregate",969,9,136,,818,48,,,,,,,28,,,,,165,25,5,,87,26,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210204,"WY",,"Aggregate",1007,9,171,,849,48,,,,,,,29,,,,,186,29,8,,95,28,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210211,"WY",,"Aggregate",1007,9,171,,849,48,,,,,,,29,,,,,186,29,8,,95,28,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,15,,,,24,,,,,,,,1,,,,,15,,,,24,,,,,,,,1,,,,
20210218,"WY",,"Aggregate",1035,17,172,,870,53,,,,,,,29,,,,,185,27,11,,98,32,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,16,,,,26,,,,,,,,1,,,,,16,,,,26,,,,,,,,1,,,,
20210225,"WY",,"Aggregate",1035,17,172,,870,53,,,,,,,29,,,,,185,27,11,,98,32,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,16,,,,26,,,,,,,,1,,,,,16,,,,26,,,,,,,,1,,,,
20210304,"WY",,"Aggregate",1044,15,181,,879,53,,,,,,,29,,,,,186,27,13,,98,32,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,16,,,,26,,,,,,,,1,,,,,16,,,,26,,,,,,,,1,,,,
20200521,"WY",,"Cumulative",6,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"WY",,"Cumulative",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"WY",,"Cumulative",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200611,"WY",,"Cumulative",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200618,"WY",,"Cumulative",12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200625,"WY",,"Cumulative",16,,6,,12,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200702,"WY",,"Cumulative",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200709,"WY",,"Cumulative",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200716,"WY",,"Cumulative",18,,7,,13,,,,,,,,3,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,"WY",,"Cumulative",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,"WY",,"Cumulative",19,,7,,15,,,,,,,,4,,,,,17,,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
