"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"WY",54764,28117,425,4134,281,2250,134,,1726,21292,4134,32933,21292,682,606,2,58,6,51,1,,8,11,58,613,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"WY",54616,28022,424,4119,281,2234,134,,1710,21278,4119,32805,21278,682,606,2,58,6,51,1,,8,11,58,613,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"WY",54394,27870,423,4111,279,2227,133,,1700,21222,4111,32632,21222,671,595,2,57,6,51,1,,8,11,57,603,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"WY",53988,27671,417,4095,277,2220,132,,1655,21072,4095,32372,21072,671,595,2,57,6,51,1,,8,11,57,603,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"WY",53795,27553,417,4085,274,2202,132,,1651,21012,4085,32229,21012,662,588,2,57,6,50,1,,8,11,57,594,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"WY",53450,27411,414,4073,274,2189,132,,1589,20876,4073,32009,20876,662,587,2,56,6,50,1,,8,11,56,595,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"WY",53136,27245,411,4062,272,2177,132,,1563,20769,4062,31800,20769,647,572,2,56,6,50,1,,8,11,56,580,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"WY",52874,27084,408,4056,268,2148,134,,1534,20726,4056,31576,20726,647,572,2,56,6,50,1,,8,11,56,580,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"WY",52627,26921,406,4042,269,2129,130,,1527,20667,4042,31382,20667,624,550,2,54,6,50,1,,8,10,54,560,10,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"WY",52288,26697,405,4019,264,2117,129,,1495,20593,4019,31107,20593,624,550,2,54,6,50,1,,8,10,54,560,10,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"WY",51912,26384,397,3984,259,2100,129,,1464,20587,3984,30733,20587,596,499,2,48,5,50,1,,7,31,48,517,31,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"WY",51368,26045,393,3942,257,2078,129,,1427,20441,3942,30329,20441,596,499,2,48,5,50,1,,7,31,48,517,31,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"WY",50898,25659,387,3900,249,2055,127,,1425,20382,3900,29902,20382,571,479,2,46,5,47,1,,6,31,46,494,31,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"WY",50124,25285,379,3843,244,2031,127,,1383,20058,3843,29449,20058,550,460,2,44,5,45,1,,6,31,44,475,31,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"WY",49363,24774,369,3764,241,2003,127,,1368,19849,3764,28882,19849,522,436,2,41,5,44,1,,4,30,41,451,30,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"WY",48289,24320,364,3694,236,1988,126,,1323,19300,3694,28357,19300,522,436,2,41,5,44,1,,4,30,41,451,30,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"WY",46832,23733,361,3608,234,1959,123,,1279,18517,3608,27689,18517,489,404,2,34,5,43,1,,4,29,34,426,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"WY",45890,23209,1260,3551,223,1935,118,,1260,18171,3551,27098,18171,464,382,2,33,4,41,1,,4,29,33,402,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"WY",44875,22612,347,3477,219,1909,116,,1239,17810,3477,26442,17810,438,359,1,31,4,40,1,,4,29,31,378,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"WY",44133,22274,343,3423,216,1894,114,,1222,17445,3423,26063,17445,405,330,1,26,4,37,1,,4,28,26,351,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"WY",43200,21785,336,3361,214,1863,114,,1205,17062,3361,25517,17062,373,301,1,23,4,34,1,,4,28,23,322,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"WY",42664,21499,333,3319,215,1853,114,,1186,16841,3319,25200,16841,373,301,1,23,4,34,1,,4,28,23,322,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"WY",41662,21064,325,3250,213,1825,112,,1164,10645,3250,24703,13709,351,279,1,20,4,34,1,,3,28,20,303,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"WY",40310,20577,319,3173,209,1795,109,,1126,10104,3173,24135,13002,328,259,1,19,4,34,1,,3,26,19,283,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"WY",39360,19968,313,3071,204,1757,107,,1094,10071,3071,23443,12846,321,252,1,19,4,34,1,,3,26,19,276,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20201209,"WY",37885,19247,296,2968,197,1713,103,,1050,9617,2968,22606,12311,299,233,1,17,4,32,1,,,26,17,256,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20201206,"WY",36317,18224,280,2810,188,1655,97,,1001,9426,2810,21445,12062,257,196,1,13,2,29,1,,,27,13,217,27,,,,,,,,,,,,,,,,,,,,,,,,,,
